seed,collapse_round,max_amp_early,straggler_share_early_mean,best_macro_f1,final_macro_f1,amp_source
42,36.0,35.61130091601552,0.39992065879480637,0.24547039198462234,,reconstructed
123,11.0,35.623953952510796,0.27435108776366557,0.3460460695476241,,reconstructed
456,16.0,19.89219479292976,0.29397544364170125,0.24538558223671653,,reconstructed
789,36.0,15.720065215982881,0.38903380749268635,0.27864640063833596,,reconstructed
999,107.0,19.93402759896739,0.4018931297646676,0.24992707208483722,,reconstructed
2024,14.0,23.015272561361282,0.322806592377618,0.29577120556557385,,reconstructed
31337,,33.69827328838174,0.44267516411533947,0.11450772777730338,,reconstructed
161803,,18.769114057892036,0.39263267956709724,0.11450772777730338,,reconstructed
271828,,7.62670027592113,0.2890246672574736,0.11450772777730338,,reconstructed
8675309,8.0,18.453475401780572,0.24098651119339315,0.36428188201740225,,reconstructed
