round,a_eff,mean_tau,global_update_norm,straggler_share,dominating_cid,max_contribution_share,server_lr
1,4297.282718287086,438.7282717282717,2.4063320979336478,0.24512633441445422,0,0.24512633441445422,1.0
2,4575.152809380751,466.51519908662766,3.3343088385346213,0.015615181101231173,2,0.39334040859494046,1.0
3,4937.992034974814,502.7992007992008,3.385546903085964,0.26298665905571084,1,0.26298665905571084,1.0
4,4063.1900378537457,415.31811046096766,3.9662603838597406,0.42878298023308714,4,0.42878298023308714,1.0
5,4720.3239673398275,481.0323961752533,4.028156164219766,0.2733272867169404,5,0.2733272867169404,1.0
6,4222.743108283081,431.23861852433276,7.129645906381829,0.6709059664679728,5,0.6709059664679728,1.0
7,4681.975468337964,477.1975167689453,6.720348587568169,0.4318579178148628,2,0.4318579178148628,1.0
8,4946.846913284857,503.59954331382903,7.007727567249276,0.4243852927383314,6,0.4243852927383314,1.0
9,4578.889315061932,466.88054802340514,7.962038181960239,0.0008500370679006762,2,0.45872476764140885,1.0
10,4573.368060649066,466.33680605109174,7.349476344277953,0.23272862013735038,3,0.23272862013735038,1.0
11,4352.732981307912,444.273298130441,6.718474918438367,0.33655071509889295,5,0.33655071509889295,1.0
12,5254.671043242473,534.4671043242471,6.195159712383833,0.2357229721698884,5,0.2357229721698884,1.0
13,4188.923256637607,427.82146425003566,7.69231215221457,0.4192524761601048,3,0.42888764919649053,1.0
14,5032.621664050239,512.2621664050235,7.167773007322851,0.3330627339703115,0,0.3330627339703115,1.0
15,4484.127301270247,457.41273012701583,6.7624045340877155,0.1699918066388832,0,0.20734703859413856,1.0
16,4150.214955563818,424.0196945911232,6.493709786671773,0.29922669668782753,1,0.29922669668782753,1.0
17,4988.846867421755,507.88468674182957,5.894944100178851,0.30253776791136716,3,0.30253776791136716,1.0
18,4670.28542899495,476.02854288568574,5.553347811306961,0.3063937956159051,3,0.3063937956159051,1.0
19,4751.669758952728,484.1669758812616,5.268629913130771,0.29920257949782114,4,0.29920257949782114,1.0
20,4797.418519199724,488.7418295989725,5.234820409423657,0.32676475346784306,5,0.32676475346784306,1.0
21,4921.280148499462,501.1280148423005,4.827768439558191,0.09363614051571433,0,0.1881559500979802,1.0
22,4986.093356175588,507.5737120022834,14.057277446700496,0.8575613164466822,5,0.8575613164466822,1.0
23,4495.48308834374,458.54830883402315,12.749557443211412,0.1448042549015982,0,0.21529993941178968,1.0
24,4708.9581848198595,479.89581846724707,11.577721425684606,0.3492044707673229,5,0.3492044707673229,1.0
25,5055.980547505755,514.5979734551163,10.493945985021341,0.2176733357180864,2,0.22416819291793127,1.0
26,4395.571571324118,448.5571571285857,9.73580901478828,0.2905475353204399,0,0.2905475353204399,1.0
27,4184.529226693547,427.45112030826306,8.831719045842414,0.319107505486524,4,0.3342892839312768,1.0
28,3579.564198119846,366.9212216355073,8.49873823862209,0.48632598888640627,3,0.48632598888640627,1.0
29,4643.160752383065,473.30769230769226,7.982461563803596,0.2282631019272696,0,0.2476371275579871,1.0
30,5670.392464678922,576.0392464678179,7.2928929899572665,0.02232076131101161,4,0.23120160039680548,1.0
31,4007.9225253007376,409.75567289853007,9.5206912671846,0.4245850639882155,4,0.4245850639882155,1.0
32,4916.828885403773,500.6828885400314,5.937548929240613,0.35043345605786846,3,0.35043345605786846,1.0
33,3851.535612985364,394.15356072498923,8.518766777827464,0.24565614399689992,3,0.29442396352641165,1.0
34,5161.88166306122,525.1880976166691,6.480373149255551,0.41235514547595026,1,0.41235514547595026,1.0
35,4660.771471867934,475.0770657913515,4.777834873479659,0.009698740085121022,1,0.34833321402699796,1.0
36,5534.673897531042,562.467389753104,5.624901936023573,0.35115677055484673,4,0.35115677055484673,1.0
37,4991.742543171116,508.1742543171114,5.6805161122407615,0.3312332356794095,4,0.3312332356794095,1.0
38,4282.803788707417,437.2447552447553,6.775390323277315,0.47549367101069795,5,0.47549367101069795,1.0
39,4804.322447830563,489.4238618524332,5.310074130363245,0.41304976224337003,6,0.41304976224337003,1.0
40,4928.779241787543,501.8423005565863,4.435835702898282,0.5231878992216051,5,0.5231878992216051,1.0
41,3485.5736388651967,357.50834879406307,5.655102747676333,0.28636202038194314,1,0.28636202038194314,1.0
42,5039.494790923452,512.9494790923363,6.799799394509356,0.07929711428273613,1,0.24420033625773493,1.0
43,4427.853575134524,451.78535749964317,4.78724972282183,0.19449394102813466,5,0.23417111021384868,1.0
44,4823.552162238193,491.3552162123591,4.500838404046096,0.1739629725527864,5,0.2832741995988518,1.0
45,4870.184322211311,496.0184101612673,3.499408150557986,0.3896207445469288,2,0.3896207445469288,1.0
