seed,round,a_eff,mean_tau,global_update_norm,straggler_share,dominating_cid,max_contribution_share,server_lr,max_amp,source
123,1,4297.282718287086,438.7282717282717,2.3967075999863976,0.245913020745127,0,0.245913020745127,1.0,2.9433443129276236,logged
123,2,4575.15280938075,466.51519908662766,2.415277639634362,0.0126332433300456,2,0.395753022632215,1.0,5.791270621770599,logged
123,3,4937.992034974814,502.7992007992008,2.1329894521668935,0.3092045471983808,1,0.3092045471983808,1.0,4.293905405388553,logged
123,4,4063.1900378537457,415.31811046096755,3.2635974507526324,0.5283519076458189,4,0.5283519076458189,1.0,6.660351552011986,logged
123,5,4720.3239673398275,481.0323961752533,1.3232844273757012,0.1787564089803333,4,0.1853729560181394,1.0,3.603300641237023,logged
123,6,4222.743108283081,431.2386185243328,2.683296823851255,0.4611309588986951,5,0.4611309588986951,1.0,16.101801257960865,logged
123,7,4681.975468337965,477.1975167689453,3.803498067897825,0.5299064392479196,2,0.5299064392479196,1.0,4.8770506083154945,logged
123,8,4946.846913284857,503.5995433138291,3.344004232662556,0.3571771657256111,6,0.3571771657256111,1.0,35.623953952510796,logged
123,9,4578.889315061932,466.88054802340514,4.6215129133780835,1.0189883967540888e-06,2,0.4696152764214495,1.0,13.049998069401704,logged
123,10,4573.368060649065,466.3368060510917,1.5448775795419711,0.2223487491336183,3,0.2223487491336183,1.0,2.755040998923085,logged
123,11,4352.732981307911,444.273298130441,1.3812966168542304,0.2839733115680043,5,0.2839733115680043,1.0,2.165538796646749,logged
123,12,5254.671043242473,534.4671043242472,1.285029759972517,0.1794348540420025,5,0.1794348540420025,1.0,1.3975188944793806,logged
123,13,4188.923256637607,427.82146425003566,3.3090000929424765,0.3944526073440159,3,0.4028798574232496,1.0,15.972842305023148,logged
123,14,5032.621664050239,512.2621664050235,3.000651927265966,0.268864979750683,0,0.268864979750683,1.0,1.8639339496482252,logged
123,15,4484.127301270247,457.4127301270158,1.539150717888363,0.2445474465861892,2,0.2445474465861892,1.0,1.9000539412157595,logged
123,16,4150.214955563818,424.01969459112314,1.7631244449931045,0.4083798128648624,1,0.4083798128648624,1.0,7.8286592172657405,logged
123,17,4988.846867421755,507.8846867418296,1.7064265512563448,0.2594744602124479,3,0.2594744602124479,1.0,2.4820133668491553,logged
123,18,4670.28542899495,476.02854288568585,1.263193610721339,0.2331450218119482,3,0.2331450218119482,1.0,2.813424955726848,logged
123,19,4751.669758952728,484.1669758812616,1.315013912184871,0.2343169400077935,4,0.2343169400077935,1.0,2.862451660494568,logged
123,20,4797.418519199725,488.7418295989725,1.5118687273196834,0.3105246652623674,5,0.3105246652623674,1.0,4.997303609476777,logged
123,21,4921.280148499462,501.12801484230056,1.511066846649597,0.0589752696952631,1,0.1784998977935867,1.0,2.946874339014185,logged
123,22,4986.093356175587,507.5737120022834,7.380649964827063,0.760640035249804,5,0.760640035249804,1.0,19.012542846211968,logged
123,23,4495.48308834374,458.54830883402315,3.22940770935137,0.1786848157118833,0,0.1883425426831352,1.0,2.2365587503951354,logged
123,24,4708.958184819859,479.8958184672471,2.1364886072876317,0.2972683763775806,5,0.2972683763775806,1.0,2.8367217965728138,logged
123,25,5055.980547505756,514.5979734551163,1.706132388879286,0.0694277797464036,2,0.1992118480982648,1.0,6.3999068072606855,logged
123,26,4395.571571324118,448.5571571285857,1.4714295153715005,0.1977650132158136,2,0.2201736852064626,1.0,2.483373768720251,logged
123,27,4184.529226693547,427.4511203082632,1.9350938616516116,0.3590204828542956,0,0.3590204828542956,1.0,7.893387126022218,logged
123,28,3579.564198119846,366.9212216355073,6.655629306126934,0.6088889437857463,3,0.6088889437857463,1.0,13.64928669119835,logged
123,29,4643.160752383065,473.30769230769226,10.696453706406473,0.5505575676836052,6,0.5505575676836052,1.0,13.23317396103103,logged
123,30,5670.392464678922,576.0392464678179,2.8834878893442344,0.0109034370044498,4,0.2319328828257868,1.0,2.68738979367686,logged
123,31,4007.922525300737,409.75567289853007,3.3349298600643427,0.4832741092080461,4,0.4832741092080461,1.0,15.282665865491447,logged
123,32,4916.828885403772,500.68288854003134,4.488312891992167,0.390128574155449,3,0.390128574155449,1.0,2.4461835250495585,logged
123,33,3851.535612985364,394.1535607249892,1.0457011242720629,0.325879353874323,4,0.325879353874323,1.0,2.940103442060689,logged
123,34,5161.88166306122,525.1880976166691,1.2365220899449891,0.3379444707388636,1,0.3379444707388636,1.0,6.1450606548498135,logged
123,35,4660.7714718679335,475.0770657913515,0.4692251630546796,0.1636231633946011,1,0.1902438420582479,1.0,5.8996475143895,logged
123,36,5534.673897531042,562.467389753104,0.6897699746325044,0.2341052112284919,4,0.2341052112284919,1.0,1.4719877387050635,logged
123,37,4991.742543171116,508.1742543171115,0.1255181733571527,0.1964286253813278,4,0.1964286253813278,1.0,1.4638541182319986,logged
123,38,4282.803788707417,437.24475524475525,2.011041067748154,0.4936380034333843,5,0.4936380034333843,1.0,16.330819484931286,logged
123,39,4804.322447830564,489.4238618524333,3.5582296210777766,0.3954936092477827,6,0.3954936092477827,1.0,13.692490548469202,logged
123,40,4928.779241787543,501.8423005565863,4.416916254296972,0.6213640121502174,5,0.6213640121502174,1.0,18.793997588902307,logged
123,41,3485.5736388651976,357.50834879406307,6.546048297639455,0.3967115063226923,1,0.3967115063226923,1.0,15.600036571337384,logged
123,42,5039.494790923451,512.9494790923362,3.3964237289125676,0.3831264325819678,5,0.3831264325819678,1.0,2.1353791486958755,logged
123,43,4427.853575134524,451.7853574996432,0.8140980752988206,0.3005084324415903,3,0.3005084324415903,1.0,2.6673816703465736,logged
123,44,4823.552162238192,491.3552162123591,0.722311802384934,0.1225998618270941,1,0.2244792954495565,1.0,2.8883545867898217,logged
123,45,4870.184322211311,496.0184101612673,1.5029935963020256,0.4307384459775034,2,0.4307384459775034,1.0,5.073101209494575,logged
123,46,3788.4768519292625,387.8467247038675,1.8146819168528945,0.4026182245655421,5,0.4026182245655421,1.0,6.210043696070115,logged
123,47,4209.562845766505,429.92107892107896,2.1481443034786545,0.464696208835927,2,0.464696208835927,1.0,16.051543413207447,logged
123,48,5268.359662476807,535.8341658341659,1.9053305207747553,0.3903752937567345,1,0.3903752937567345,1.0,9.93784487625821,logged
123,49,4908.2446180520665,499.8244612530326,1.4159231847179798,0.3733681555442267,2,0.3733681555442267,1.0,3.746751515774072,logged
123,50,4563.9460539461425,465.3946053946054,1.09781624073659,0.2647509336614814,4,0.2647509336614814,1.0,1.933875446586894,logged
123,51,5074.82376116209,516.482374768089,0.3367001015608812,0.1317938413135143,4,0.2869105235829245,1.0,4.125872701217611,logged
123,52,4901.067503962794,499.1067503924647,1.1315367524464095,0.2674750873432904,1,0.2674750873432904,1.0,2.7689646910701993,logged
123,53,4214.0311925579335,430.4021692593122,1.3378592457937122,0.3996949810392542,3,0.3996949810392542,1.0,6.907609275495673,logged
123,54,5738.9324961518105,582.8932496075354,1.8628912436508,0.1984272357300452,6,0.1984272357300452,1.0,3.43648652300377,logged
123,55,4102.940137893283,419.29399172256313,1.7653318992629776,0.3884177969881117,2,0.3884177969881117,1.0,4.273889692655277,logged
123,56,4639.325117679851,472.93064078778366,2.6962318596073107,0.3023399604702496,0,0.3023399604702496,1.0,8.751280532042395,logged
123,57,4374.023146110907,446.40231197374055,1.392249250312369,0.1498688020042877,5,0.315303341920317,1.0,3.8034977572571287,logged
123,58,4301.14885674632,439.11488511488506,0.5127581532444601,0.2490442630596157,4,0.2490442630596157,1.0,3.283319649414678,logged
123,59,3339.367300905514,342.88953903239616,2.1370639438944212,0.2428835032862956,2,0.2556768588456405,1.0,14.945675351221276,logged
