round,accuracy,balanced_accuracy,macro_f1,worst_class_f1,worst_class_recall,f1_actinic_keratoses_an,recall_actinic_keratoses_an,f1_basal_cell_carcinoma,recall_basal_cell_carcinoma,f1_benign_keratosis-lik,recall_benign_keratosis-lik,f1_dermatofibroma,recall_dermatofibroma,f1_melanoma,recall_melanoma,f1_melanocytic_nevi,recall_melanocytic_nevi,f1_vascular_lesions,recall_vascular_lesions,loss
57,0.7367896311066799,0.2835100254304001,0.3053680676654668,0.0,0.0,0.2857142857142857,0.24242424242424243,0.0,0.0,0.48205128205128206,0.42727272727272725,0.0,0.0,0.375,0.2702702702702703,0.8614775725593667,0.9731743666169895,0.13333333333333333,0.07142857142857142,0.7346831198822584
58,0.7337986041874377,0.32620609447307336,0.34345641281125155,0.0,0.0,0.3870967741935484,0.5454545454545454,0.0,0.0,0.4,0.2909090909090909,0.15384615384615385,0.08333333333333333,0.34838709677419355,0.24324324324324326,0.8648648648648649,0.977645305514158,0.25,0.14285714285714285,0.7116895950327842
59,0.7457627118644068,0.3337517389039637,0.347629981300425,0.0,0.0,0.4,0.48484848484848486,0.0,0.0,0.5263157894736842,0.45454545454545453,0.0,0.0,0.3878787878787879,0.2882882882882883,0.869215291750503,0.9657228017883756,0.25,0.14285714285714285,0.7233879807463671
60,0.7357926221335992,0.3115154830611505,0.3449274330155654,0.0,0.0,0.3611111111111111,0.3939393939393939,0.0,0.0,0.46511627906976744,0.36363636363636365,0.15384615384615385,0.08333333333333333,0.32653061224489793,0.21621621621621623,0.8578878748370273,0.9806259314456036,0.25,0.14285714285714285,0.7456156804578254
61,0.7457627118644068,0.3308486974763321,0.35493356661361425,0.0,0.0,0.3783783783783784,0.42424242424242425,0.0,0.0,0.5588235294117647,0.5181818181818182,0.15384615384615385,0.08333333333333333,0.2753623188405797,0.17117117117117117,0.8681245858184228,0.9761549925484352,0.25,0.14285714285714285,0.7215404766625683
62,0.7258225324027916,0.29656200499291835,0.3137232220118595,0.0,0.0,0.3466666666666667,0.3939393939393939,0.0,0.0,0.3954802259887006,0.3181818181818182,0.0,0.0,0.34355828220858897,0.25225225225225223,0.8603573792190602,0.9687034277198212,0.25,0.14285714285714285,0.7610537441872647
63,0.7537387836490529,0.3685655073242895,0.37981141048976175,0.0,0.0,0.38636363636363635,0.5151515151515151,0.0,0.0,0.5529953917050692,0.5454545454545454,0.15384615384615385,0.08333333333333333,0.4318181818181818,0.34234234234234234,0.8836565096952909,0.9508196721311475,0.25,0.14285714285714285,0.7044722367141206
64,0.7407776669990029,0.3281973981037213,0.35113321001065206,0.0,0.0,0.3902439024390244,0.48484848484848486,0.0,0.0,0.4808743169398907,0.4,0.15384615384615385,0.08333333333333333,0.3150684931506849,0.2072072072072072,0.8678996036988111,0.9791356184798807,0.25,0.14285714285714285,0.7281982986663179
65,0.748753738783649,0.3661296032490412,0.38076632528826765,0.0,0.0,0.4090909090909091,0.5454545454545454,0.0,0.0,0.5181347150259067,0.45454545454545453,0.15384615384615385,0.08333333333333333,0.45989304812834225,0.38738738738738737,0.8743994509265615,0.9493293591654247,0.25,0.14285714285714285,0.6933421369564022
66,0.7347956131605184,0.31112228594664193,0.3383341009552198,0.0,0.0,0.358974358974359,0.42424242424242425,0.0,0.0,0.4678362573099415,0.36363636363636365,0.14285714285714285,0.08333333333333333,0.2898550724637681,0.18018018018018017,0.8588158750813273,0.9836065573770492,0.25,0.14285714285714285,0.7232706372069932
67,0.7268195413758723,0.310341070411328,0.34036219426421305,0.0,0.0,0.3684210526315789,0.42424242424242425,0.0,0.0,0.3576158940397351,0.24545454545454545,0.15384615384615385,0.08333333333333333,0.4,0.3063063063063063,0.8526522593320236,0.970193740685544,0.25,0.14285714285714285,0.741545758658606
68,0.7507477567298105,0.35414380437799636,0.3658662099064845,0.0,0.0,0.34408602150537637,0.48484848484848486,0.0,0.0,0.5607476635514018,0.5454545454545454,0.15384615384615385,0.08333333333333333,0.36942675159235666,0.26126126126126126,0.8829568788501027,0.9612518628912071,0.25,0.14285714285714285,0.7196588099062264
69,0.7318045862412762,0.3159524727440418,0.34739709672639546,0.0,0.0,0.3466666666666667,0.3939393939393939,0.0,0.0,0.4177215189873418,0.3,0.15384615384615385,0.08333333333333333,0.4067796610169492,0.32432432432432434,0.8567656765676568,0.9672131147540983,0.25,0.14285714285714285,0.7423918498596427
70,0.7497507477567298,0.3340053989936894,0.36598990455549846,0.0,0.0,0.4,0.3939393939393939,0.0,0.0,0.5314009661835749,0.5,0.15384615384615385,0.08333333333333333,0.35526315789473684,0.24324324324324326,0.871419053964024,0.9746646795827124,0.25,0.14285714285714285,0.6992472332947751
71,0.7497507477567298,0.34716561051455663,0.3682302518635945,0.0,0.0,0.38636363636363635,0.5151515151515151,0.0,0.0,0.518918918918919,0.43636363636363634,0.15384615384615385,0.08333333333333333,0.39490445859872614,0.27927927927927926,0.8735785953177257,0.9731743666169895,0.25,0.14285714285714285,0.7027844575680384
72,0.7397806580259222,0.336315096385354,0.3587038639942461,0.0,0.0,0.4,0.5151515151515151,0.0,0.0,0.4378698224852071,0.33636363636363636,0.15384615384615385,0.08333333333333333,0.40236686390532544,0.3063063063063063,0.8668442077230359,0.970193740685544,0.25,0.14285714285714285,0.7254810935835301
73,0.7318045862412762,0.32667409494107386,0.3390698815237986,0.0,0.0,0.3958333333333333,0.5757575757575758,0.0,0.0,0.41025641025641024,0.2909090909090909,0.14285714285714285,0.08333333333333333,0.3096774193548387,0.21621621621621623,0.8648648648648649,0.977645305514158,0.25,0.14285714285714285,0.7192702438990592
74,0.744765702891326,0.32233195207434084,0.3324181348084271,0.0,0.0,0.4044943820224719,0.5454545454545454,0.0,0.0,0.47953216374269003,0.37272727272727274,0.0,0.0,0.32167832167832167,0.2072072072072072,0.871222076215506,0.9880774962742176,0.25,0.14285714285714285,0.7423313059217315
75,0.752741774675972,0.37348646880262804,0.38082632289009954,0.037037037037037035,0.019230769230769232,0.38095238095238093,0.6060606060606061,0.037037037037037035,0.019230769230769232,0.5463917525773195,0.4818181818181818,0.15384615384615385,0.08333333333333333,0.4114285714285714,0.32432432432432434,0.8861283643892339,0.9567809239940388,0.25,0.14285714285714285,0.6915114959952601
