client_id,num_train_samples,num_test_samples,local_class_distribution,accuracy,balanced_accuracy,macro_f1,worst_class_f1,worst_class_recall,per_class_recall_json,per_class_f1_json
0,202,87,"{""1"": 26, ""2"": 53, ""5"": 8}",0.41379310344827586,0.47405660377358494,0.1492921492921493,0.0,0.0,"[0.0, 0.0, 0.5471698113207547, 0.0, 0.0, 0.875, 0.0]","[0.0, 0.0, 0.6666666666666666, 0.0, 0.0, 0.3783783783783784, 0.0]"
1,960,121,"{""0"": 16, ""1"": 2, ""3"": 4, ""5"": 99}",0.9008264462809917,0.5811237373737373,0.32461399591429524,0.0,0.0,"[0.875, 0.5, 0.0, 0.0, 0.0, 0.9494949494949495, 0.0]","[0.9032258064516129, 0.4, 0.0, 0.0, 0.0, 0.9690721649484536, 0.0]"
2,381,34,"{""1"": 17, ""2"": 2, ""3"": 1, ""5"": 13, ""6"": 1}",0.35294117647058826,0.18461538461538463,0.11059907834101382,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.9230769230769231, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.7741935483870968, 0.0]"
3,925,70,"{""0"": 4, ""1"": 1, ""3"": 11, ""4"": 3, ""5"": 50, ""6"": 1}",0.7142857142857143,0.37222222222222223,0.25586987270155587,0.0,0.0,"[1.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.9, 0.0]","[0.5, 0.0, 0.0, 0.0, 0.4, 0.8910891089108911, 0.0]"
4,223,275,"{""0"": 5, ""1"": 49, ""5"": 220, ""6"": 1}",0.76,0.44881725417439705,0.182487754901548,0.0,0.0,"[0.8, 0.08163265306122448, 0.0, 0.0, 0.0, 0.9136363636363637, 0.0]","[0.20512820512820512, 0.14814814814814814, 0.0, 0.0, 0.0, 0.9241379310344827, 0.0]"
5,537,262,"{""2"": 90, ""3"": 2, ""4"": 160, ""5"": 5, ""6"": 5}",0.33969465648854963,0.3177777777777778,0.14957746355595816,0.0,0.0,"[0.0, 0.0, 0.5888888888888889, 0.0, 0.2, 0.8, 0.0]","[0.0, 0.0, 0.654320987654321, 0.0, 0.3282051282051282, 0.06451612903225806, 0.0]"
6,339,267,"{""0"": 25, ""1"": 7, ""2"": 26, ""3"": 4, ""4"": 28, ""5"": 174, ""6"": 3}",0.7340823970037453,0.3847931214926289,0.38880615865117213,0.0,0.0,"[0.8, 0.2857142857142857, 0.5384615384615384, 0.0, 0.17857142857142858, 0.8908045977011494, 0.0]","[0.7547169811320755, 0.4, 0.4375, 0.0, 0.2777777777777778, 0.8516483516483516, 0.0]"
7,325,265,"{""0"": 7, ""2"": 15, ""4"": 4, ""5"": 230, ""6"": 9}",0.8452830188679246,0.44546583850931676,0.26894158473105845,0.0,0.0,"[0.7142857142857143, 0.0, 0.6, 0.0, 0.0, 0.9130434782608695, 0.0]","[0.5, 0.0, 0.46153846153846156, 0.0, 0.0, 0.9210526315789473, 0.0]"
8,2946,163,"{""0"": 8, ""2"": 33, ""4"": 27, ""5"": 95}",0.7177914110429447,0.6418228335991494,0.3218519646664636,0.0,0.0,"[0.875, 0.0, 0.696969696969697, 0.0, 0.1111111111111111, 0.8842105263157894, 0.0]","[0.56, 0.0, 0.6571428571428571, 0.0, 0.2, 0.835820895522388, 0.0]"
9,169,461,"{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 447, ""6"": 9}",0.8872017353579176,0.4157877916267178,0.16204749029777998,0.0,0.0,"[1.0, 0.0, 1.0, 0.0, 0.0, 0.9105145413870246, 0.0]","[0.1111111111111111, 0.0, 0.08, 0.0, 0.0, 0.9432213209733488, 0.0]"
