mu,L0,L2,L4
0.001,0.6194146671385551,0.5701309821519082,0.4612935443431995
0.01,0.5982908372730547,0.5664236326444361,0.49344820234819037
0.1,0.5983351981943297,0.5324797839801831,0.4266392429814928
1.0,0.5442472649343466,0.48804965299093894,0.3660349644645569
