seed,algorithm,mu,local_epochs,round,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_f1_class_0,val_f1_class_1,val_f1_class_2,val_f1_class_3,val_f1_class_4,val_f1_class_5,val_f1_class_6,train_loss,n_kept,n_dropped
123,fedavg,0.0,20,1,1.4735623960599586,0.7587238285144566,0.3919029058373321,0.3581756532722243,0.4523809523809524,0.6140350877192983,0.5523809523809524,0.0,0.0,0.8884325804243669,0.0,0.434611124120391,1,1
123,fedavg,0.0,20,2,1.7344502129797208,0.7507477567298105,0.3966255056418991,0.34973545111401666,0.49411764705882355,0.5864661654135338,0.47959183673469385,0.0,0.0,0.8879725085910652,0.0,0.25540343253953146,1,1
123,fedavg,0.0,20,3,2.1734081484147105,0.7517447657028913,0.3480301119645382,0.3340087731643163,0.3137254901960784,0.6017699115044248,0.5407725321888412,0.0,0.0,0.8817934782608695,0.0,0.09756059436531563,1,1
123,fedavg,0.0,20,4,2.8825676296192295,0.765702891326022,0.39733435962944164,0.36793585204121865,0.47761194029850745,0.6333333333333333,0.5714285714285714,0.0,0.0,0.8931771192281185,0.0,0.011504857084100555,1,1
123,fedavg,0.0,20,5,3.0577702051621016,0.7666999002991027,0.39791001348378396,0.3679533282663347,0.47058823529411764,0.6446280991735537,0.5663716814159292,0.0,0.0,0.8940852819807428,0.0,0.00026968374699053095,1,1
123,fedavg,0.0,20,6,3.1786029823755815,0.7666999002991027,0.3950129105866811,0.36754663074013944,0.48484848484848486,0.6218487394957983,0.5714285714285714,0.0,0.0,0.8947006194081212,0.0,0.00015499528674505771,1,1
123,fedavg,0.0,20,7,3.259543579335465,0.765702891326022,0.3932182571526833,0.36500080006573515,0.46153846153846156,0.628099173553719,0.5714285714285714,0.0,0.0,0.8939393939393939,0.0,0.00011054281376827263,1,1
123,fedavg,0.0,20,8,3.302883804498142,0.7666999002991027,0.39754726148168773,0.36881468777188736,0.48484848484848486,0.6333333333333333,0.5689655172413793,0.0,0.0,0.8945554789800138,0.0,8.873632408291723e-05,1,1
123,fedavg,0.0,20,9,3.3479488409409375,0.765702891326022,0.39624856018298643,0.3678416821273964,0.48484848484848486,0.6333333333333333,0.5627705627705628,0.0,0.0,0.8939393939393939,0.0,6.667185746457593e-05,1,1
123,fedavg,0.0,20,10,3.384076432240449,0.765702891326022,0.4014504621061998,0.3718929126418534,0.5074626865671642,0.6386554621848739,0.5641025641025641,0.0,0.0,0.8930296756383713,0.0,5.639665552060389e-05,1,1
123,fedavg,0.0,20,11,3.424034681301174,0.765702891326022,0.3943040565991386,0.366184549950224,0.46875,0.628099173553719,0.5726495726495726,0.0,0.0,0.8937931034482759,0.0,4.794896618217951e-05,1,1
123,fedavg,0.0,20,12,3.464148374045953,0.765702891326022,0.39213245770622823,0.36422223511494994,0.46153846153846156,0.628099173553719,0.5652173913043478,0.0,0.0,0.8947006194081212,0.0,4.344318189595022e-05,1,1
123,fedavg,0.0,20,13,3.479539250091446,0.7676969092721835,0.39364406085717557,0.36566110863856566,0.46153846153846156,0.628099173553719,0.5739130434782609,0.0,0.0,0.8960770818995183,0.0,3.772780446893112e-05,1,1
