round,client_id,update_norm,n_samples,local_epochs
1,0,4.699827511143418,6049,20
2,0,4.830741425683888,6049,20
3,0,3.4563326319893894,6049,20
4,0,0.3231112325098807,6049,20
5,0,0.1207027640918794,6049,20
6,0,0.07752782388183062,6049,20
7,0,0.058385344548748754,6049,20
8,0,0.048360511821495644,6049,20
9,0,0.03955078317615729,6049,20
10,0,0.033526833428868655,6049,20
11,0,0.029959372299745213,6049,20
12,0,0.028407187874900448,6049,20
13,0,0.02393154136153655,6049,20
14,0,0.022071674571972667,6049,20
15,0,0.019258768894626122,6049,20
16,0,0.01866864493889832,6049,20
17,0,0.016730794953783185,6049,20
18,0,0.01579702846032776,6049,20
19,0,0.01732025744142876,6049,20
20,0,0.014415811216988676,6049,20
21,0,0.013286792381654127,6049,20
22,0,0.013225082019323087,6049,20
23,0,0.01240036408896631,6049,20
24,0,0.012961145494171149,6049,20
25,0,0.011203037321205889,6049,20
26,0,0.0110447852324432,6049,20
27,0,0.012601745595045389,6049,20
28,0,0.01135978362313815,6049,20
29,0,0.01007618389618125,6049,20
30,0,0.009841724190022336,6049,20
31,0,0.009798746305524552,6049,20
32,0,0.008692995220834871,6049,20
33,0,0.009455268196078408,6049,20
34,0,0.01109338136292369,6049,20
35,0,0.009113684608723928,6049,20
36,0,0.010994744629254163,6049,20
37,0,0.00801635067344486,6049,20
38,0,0.007293719130835685,6049,20
39,0,0.006926102686227965,6049,20
40,0,0.006776715501314799,6049,20
41,0,0.008868095288163576,6049,20
42,0,0.006954536732772693,6049,20
43,0,0.006142710613587127,6049,20
44,0,0.00832587055259912,6049,20
45,0,0.008097657450886031,6049,20
46,0,0.006242475504428269,6049,20
47,0,0.006172397899419546,6049,20
48,0,0.00596905133281253,6049,20
49,0,0.005291632698683292,6049,20
50,0,0.00562820537541481,6049,20
51,0,0.016029874705863294,6049,20
52,0,0.006823428490431387,6049,20
53,0,0.006261233801160505,6049,20
54,0,0.005833768085965046,6049,20
55,0,0.005764954088107899,6049,20
56,0,0.0055148207932181345,6049,20
57,0,0.0050855075649501496,6049,20
58,0,0.005167965716569215,6049,20
59,0,0.005242280496125067,6049,20
60,0,0.005156985625336618,6049,20
61,0,0.005181381309832524,6049,20
62,0,0.005019185713692712,6049,20
63,0,0.004455086820431532,6049,20
64,0,0.004471029546455137,6049,20
65,0,0.0047096640937981556,6049,20
66,0,0.004483446753675071,6049,20
67,0,0.00409497862042388,6049,20
68,0,0.004111680845260348,6049,20
69,0,0.004236466292952795,6049,20
70,0,0.00392673806434869,6049,20
71,0,0.004633601241134279,6049,20
72,0,0.004162667922055675,6049,20
73,0,0.004441086612098819,6049,20
74,0,0.0037114132188997674,6049,20
75,0,0.004661775177107422,6049,20
76,0,0.006109618586874616,6049,20
77,0,0.003673668787191433,6049,20
78,0,0.004672428484943557,6049,20
79,0,0.0034118842989541622,6049,20
80,0,0.00414382307694639,6049,20
81,0,0.00967358503474671,6049,20
82,0,0.005267733254529501,6049,20
83,0,0.0035234775716193848,6049,20
84,0,0.0038475117413321208,6049,20
85,0,0.003652002188682233,6049,20
86,0,0.0038497833509234703,6049,20
87,0,0.0032196722398088722,6049,20
88,0,0.003349991517685919,6049,20
89,0,0.004168450199828634,6049,20
90,0,0.004009524289939155,6049,20
91,0,0.003566929943148572,6049,20
92,0,0.002994626341657135,6049,20
93,0,0.0034816392043666073,6049,20
94,0,0.004149157882938615,6049,20
95,0,0.00525001394071838,6049,20
96,0,0.0033567563882364983,6049,20
97,0,0.00404213962255024,6049,20
98,0,0.003067583807862447,6049,20
99,0,0.004227714239346732,6049,20
100,0,0.0035595272817858046,6049,20
101,0,0.00314716946087655,6049,20
102,0,0.003811385659634564,6049,20
103,0,0.003273139380771878,6049,20
104,0,0.029131884711325207,6049,20
105,0,0.004804581859512707,6049,20
106,0,0.0042174913896167445,6049,20
107,0,0.0035430942653327056,6049,20
108,0,0.0034331511665519738,6049,20
109,0,0.003211263122631241,6049,20
110,0,0.0029518816860935318,6049,20
111,0,0.0035811289032712797,6049,20
112,0,0.0032734489282137094,6049,20
113,0,0.00385271582739686,6049,20
114,0,0.0032162354746475275,6049,20
115,0,0.00345718272805488,6049,20
116,0,0.004732788735614597,6049,20
117,0,0.003426890645360458,6049,20
118,0,0.003262413778564771,6049,20
119,0,0.004406878063974135,6049,20
120,0,0.003230936429534119,6049,20
121,0,0.002757749761452579,6049,20
122,0,0.003146667966630379,6049,20
123,0,0.007456073036838419,6049,20
124,0,0.0038111910564310333,6049,20
125,0,0.0028053024656491247,6049,20
126,0,0.0028248418640911053,6049,20
127,0,0.0025308723921339993,6049,20
128,0,0.0058876261605014055,6049,20
129,0,0.004710421027019541,6049,20
130,0,0.002558869549347715,6049,20
131,0,0.0021435070554138144,6049,20
132,0,0.0029278881989881914,6049,20
133,0,0.0021901269822604537,6049,20
134,0,0.0020675451222121268,6049,20
135,0,0.0026692127304938753,6049,20
136,0,0.0027381531379708527,6049,20
137,0,0.0041354893554749585,6049,20
138,0,0.003446672245335815,6049,20
139,0,0.0025554864396862623,6049,20
140,0,0.003014957673874295,6049,20
141,0,0.0035884525887909945,6049,20
142,0,0.0033456662897763897,6049,20
143,0,0.0023456475814417096,6049,20
144,0,0.0025004639764927452,6049,20
145,0,0.002322786176772865,6049,20
146,0,0.003648586949018749,6049,20
147,0,0.0020305958748224246,6049,20
148,0,0.002530691745457962,6049,20
149,0,0.002274098779098507,6049,20
150,0,0.00217915207853282,6049,20
