seed,class,class_name,delta_f1,delta_recall,delta_precision
42,0,actinic_keratoses,-0.024090694378837985,-0.030303030303030276,-0.019462025316455744
42,1,basal_cell_carcinoma,0.02526989204318275,0.07766990291262138,-0.04289215686274506
42,2,benign_keratosis_like_lesions,-0.0031969071781718927,0.013636363636363558,-0.021006841978708946
42,3,dermatofibroma,0.15335021874280452,0.043478260869565216,0.19871794871794873
42,4,melanoma,0.011382169299532563,0.026905829596412578,-0.019798868636077938
42,5,melanocytic_nevi,-0.005133010441258801,-0.0022371364653243075,-0.007871628981992784
42,6,vascular_lesions,0.05917779523435451,-0.034482758620689724,0.13345864661654133
