seed,algorithm,mu,class,class_name,support,tp,fp,fn,recall,precision,f1
42,fedavg,0.0,0,actinic_keratoses,66,37,43,29,0.5606060606060606,0.4625,0.5068493150684932
42,fedavg,0.0,1,basal_cell_carcinoma,103,45,35,58,0.4368932038834951,0.5625,0.4918032786885245
42,fedavg,0.0,2,benign_keratosis_like_lesions,220,113,94,107,0.5136363636363637,0.5458937198067633,0.5292740046838408
42,fedavg,0.0,3,dermatofibroma,23,4,74,19,0.17391304347826086,0.05128205128205128,0.07920792079207921
42,fedavg,0.0,4,melanoma,223,58,90,165,0.2600896860986547,0.3918918918918919,0.31266846361185985
42,fedavg,0.0,5,melanocytic_nevi,1341,1204,170,137,0.8978374347501864,0.87627365356623,0.8869244935543278
42,fedavg,0.0,6,vascular_lesions,29,18,20,11,0.6206896551724138,0.47368421052631576,0.5373134328358208
42,fedprox,0.01,0,actinic_keratoses,66,35,44,31,0.5303030303030303,0.4430379746835443,0.4827586206896552
42,fedprox,0.01,1,basal_cell_carcinoma,103,53,49,50,0.5145631067961165,0.5196078431372549,0.5170731707317073
42,fedprox,0.01,2,benign_keratosis_like_lesions,220,116,105,104,0.5272727272727272,0.5248868778280543,0.5260770975056689
42,fedprox,0.01,3,dermatofibroma,23,5,15,18,0.21739130434782608,0.25,0.23255813953488372
42,fedprox,0.01,4,melanoma,223,64,108,159,0.28699551569506726,0.37209302325581395,0.32405063291139247
42,fedprox,0.01,5,melanocytic_nevi,1341,1201,182,140,0.8956002982848621,0.8684020245842372,0.8817914831130691
42,fedprox,0.01,6,vascular_lesions,29,17,11,12,0.5862068965517241,0.6071428571428571,0.5964912280701754
