round,accuracy,balanced_accuracy,macro_f1,worst_class_f1,worst_class_recall,f1_actinic_keratoses_an,recall_actinic_keratoses_an,f1_basal_cell_carcinoma,recall_basal_cell_carcinoma,f1_benign_keratosis-lik,recall_benign_keratosis-lik,f1_dermatofibroma,recall_dermatofibroma,f1_melanoma,recall_melanoma,f1_melanocytic_nevi,recall_melanocytic_nevi,f1_vascular_lesions,recall_vascular_lesions,loss,train_loss_weighted,train_loss_unweighted
0,0.013958125623130608,0.14285714285714285,0.003933136676499509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02753195673549656,1.0,1.9214104626732595,,
1,0.707876370887338,0.21087928464977646,0.18942044151486234,0.0,0.0,0.0,0.0,0.0,0.0,0.4845814977973568,0.5,0.0,0.0,0.0,0.0,0.8413615928066795,0.9761549925484352,0.0,0.0,1.4243947191466602,0.5156549107002273,0.623789064266882
2,0.7228315054835494,0.3067729641500133,0.2697115851457739,0.0,0.0,0.0,0.0,0.0,0.0,0.5253164556962026,0.7545454545454545,0.0,0.0,0.49361702127659574,0.5225225225225225,0.8690476190476191,0.8703427719821163,0.0,0.0,1.0642909016590176,0.5686988402224042,1.5977622627235402
3,0.715852442671984,0.21983209524193129,0.22842605703948182,0.0,0.0,0.0,0.0,0.0,0.0,0.378698224852071,0.2909090909090909,0.0,0.0,0.38461538461538464,0.2702702702702703,0.8356687898089172,0.977645305514158,0.0,0.0,1.0721984406411351,0.48440799125534667,1.071037528278506
4,0.7357926221335992,0.2717249077904816,0.2606636634061723,0.0,0.0,0.0,0.0,0.0,0.0,0.48484848484848486,0.5818181818181818,0.0,0.0,0.4692737430167598,0.3783783783783784,0.8705234159779615,0.9418777943368107,0.0,0.0,1.1543574232166096,0.3533753214568095,0.6438411881239284
5,0.7288135593220338,0.2560022019038412,0.2540730671799421,0.0,0.0,0.0,0.0,0.0,0.0,0.43386243386243384,0.37272727272727274,0.0,0.0,0.49056603773584906,0.46846846846846846,0.8540829986613119,0.9508196721311475,0.0,0.0,1.5113059327466893,0.27154822938638257,0.788065954187706
6,0.5503489531405783,0.2668824455709702,0.20426570680974956,0.0,0.0,0.0,0.0,0.0,0.0,0.37093690248565964,0.8818181818181818,0.0,0.0,0.31297709923664124,0.36936936936936937,0.745945945945946,0.61698956780924,0.0,0.0,1.8288346628843253,0.38270565207519763,1.1917712917730294
7,0.7377866400797607,0.2829970059478256,0.26595077834312597,0.0,0.0,0.0,0.0,0.0,0.0,0.5509433962264151,0.6636363636363637,0.0,0.0,0.441025641025641,0.38738738738738737,0.8696864111498258,0.9299552906110283,0.0,0.0,1.6401805502110915,0.1376243979019207,0.42474541178689396
8,0.7258225324027916,0.26761149056231026,0.24349160226903482,0.0,0.0,0.0,0.0,0.0,0.0,0.5016077170418006,0.7090909090909091,0.0,0.0,0.3270440251572327,0.23423423423423423,0.8757894736842106,0.9299552906110283,0.0,0.0,1.8678713044521222,0.13226107925526528,1.207307022504337
9,0.6729810568295115,0.26030818981638654,0.2371000802067552,0.0,0.0,0.0,0.0,0.0,0.0,0.44541484716157204,0.4636363636363636,0.0,0.0,0.3877551020408163,0.5135135135135135,0.826530612244898,0.8450074515648286,0.0,0.0,1.3335555089435216,0.22338498227892553,1.2309983325658205
10,0.7258225324027916,0.25683539617965845,0.23344249951652404,0.0,0.0,0.0,0.0,0.0,0.0,0.49019607843137253,0.6818181818181818,0.0,0.0,0.2676056338028169,0.17117117117117117,0.8762957843814789,0.9448584202682563,0.0,0.0,2.0183358423018145,0.0685290684269309,0.5123018006554081
11,0.5004985044865404,0.23371636486390582,0.18054155051350235,0.0,0.0,0.0,0.0,0.0,0.0,0.3305785123966942,0.9090909090909091,0.0,0.0,0.23448275862068965,0.15315315315315314,0.6987295825771325,0.5737704918032787,0.0,0.0,1.9433861703482844,0.19105605097805728,1.0776813762496673
12,0.7308075772681955,0.29334518678780974,0.2673935774489687,0.0,0.0,0.0,0.0,0.0,0.0,0.5154639175257731,0.6818181818181818,0.0,0.0,0.48372093023255813,0.46846846846846846,0.8725701943844493,0.9031296572280179,0.0,0.0,1.8699715138670217,0.05224256616953936,0.24868524232131706
13,0.7068793619142573,0.26127775635972356,0.24332473183188075,0.0,0.0,0.0,0.0,0.0,0.0,0.4925373134328358,0.6,0.0,0.0,0.36,0.32432432432432434,0.8507358093903293,0.9046199701937406,0.0,0.0,1.2199018284425898,0.1951369660657444,1.1288761122539084
14,0.7377866400797607,0.28401260532408074,0.26782738336205664,0.0,0.0,0.0,0.0,0.0,0.0,0.53125,0.6181818181818182,0.0,0.0,0.47342995169082125,0.44144144144144143,0.8701117318435754,0.9284649776453056,0.0,0.0,1.7790928153193009,0.060414484018385804,0.5942480066721085
15,0.7298105682951147,0.283395189952567,0.2634875990625289,0.0,0.0,0.0,0.0,0.0,0.0,0.5207547169811321,0.6272727272727273,0.0,0.0,0.4558139534883721,0.44144144144144143,0.8678445229681979,0.9150521609538003,0.0,0.0,1.918869644314318,0.038022091855587775,0.2712577002000902
16,0.6819541375872383,0.27324610111495357,0.24119654263631057,0.0,0.0,0.0,0.0,0.0,0.0,0.46296296296296297,0.6818181818181818,0.0,0.0,0.38565022421524664,0.38738738738738737,0.8397626112759644,0.8435171385991058,0.0,0.0,1.4833189050554636,0.14445961779572833,1.1116570752122439
17,0.7088733798604188,0.2605709605709606,0.2450853458622604,0.0,0.0,0.0,0.0,0.0,0.0,0.47843137254901963,0.5545454545454546,0.0,0.0,0.38461538461538464,0.36036036036036034,0.8525506638714185,0.9090909090909091,0.0,0.0,1.282834647065502,0.099475567910299,0.5827137909532911
18,0.7218344965104686,0.2881248717314291,0.26217147518665956,0.0,0.0,0.0,0.0,0.0,0.0,0.5230769230769231,0.6181818181818182,0.0,0.0,0.4444444444444444,0.5045045045045045,0.8676789587852495,0.8941877794336811,0.0,0.0,1.9870451208601445,0.0543881669800829,0.6714879812375545
19,0.7128614157527418,0.28846225403602455,0.26038080306893624,0.0,0.0,0.0,0.0,0.0,0.0,0.5347222222222222,0.7,0.0,0.0,0.43555555555555553,0.44144144144144143,0.8523878437047757,0.8777943368107303,0.0,0.0,1.7455098888096756,0.06044975269674107,0.6673712277925269
