round,loss,accuracy,macro_f1,balanced_accuracy,train_loss_weighted
0,1.9865311891702213,0.011964107676969093,0.003377902885292048,0.14285714285714285,
1,1.1967709947559437,0.5912263210368893,0.21179579809158877,0.2697925025793878,0.8930656167384581
2,1.0041495321517213,0.6560319042871385,0.2969187874345644,0.3085351954204413,0.8112371497085993
