algorithm,mu,seed,hostname,num_rounds,selected_round,best_val_macro_f1,macro_f1,rare_avg_f1,f1_actinic,f1_basal,f1_benign_kerat,f1_dermato,f1_melanoma,f1_mel_nevi,f1_vascular
fedavg,0.0,42,gpu-q-25,250,126,0.5420897589627606,0.5193416952958495,0.3660577962790223,0.5323741007194245,0.6069651741293532,0.5054945054945055,0.12903225806451613,0.32628398791540786,0.892384697890597,0.6428571428571429
fedavg,0.0,123,gpu-q-25,250,238,0.6125260639019127,0.528556134472686,0.422547065337763,0.4788732394366197,0.5480769230769231,0.517814726840855,0.22857142857142856,0.27906976744186046,0.8874868559411146,0.76
fedavg,0.0,456,gpu-q-25,250,142,0.5420975372351948,0.5185631933211492,0.4144117355535732,0.4594594594594595,0.5070422535211268,0.5228426395939086,0.10526315789473684,0.4011299435028249,0.8973627940128297,0.7368421052631579
fedprox,0.01,42,gpu-q-27,250,169,0.5500984168037049,0.5701434162142246,0.48180708180708187,0.5789473684210527,0.5527638190954773,0.5185185185185185,0.34285714285714286,0.3333333333333333,0.8953529620432777,0.7692307692307693
fedprox,0.01,123,gpu-q-27,250,223,0.5912444968731042,0.5540484535755597,0.4761153820881792,0.48333333333333334,0.5728155339805825,0.4975609756097561,0.3333333333333333,0.39325842696629215,0.896283185840708,0.7017543859649122
fedprox,0.01,456,gpu-q-27,250,238,0.5894729837364622,0.5219827265812614,0.43933284350962837,0.47058823529411764,0.460093896713615,0.5098039215686274,0.20512820512820512,0.38873239436619716,0.8953945019635844,0.7241379310344828
