seed,stem,momentum_used,momentum_from_json,amp_source,a_eff_mean,max_amp_overall,max_amp_early,straggler_share_mean,straggler_share_early_mean,max_contribution_share_mean,collapse_round,best_macro_f1,final_macro_f1
42,fednova_mu0.0_E20_sh-random_stragglers_s42,0.9,True,reconstructed,4533.6198487449155,37.51487337325253,35.61130091601552,0.3210370682154577,0.39992065879480637,0.3493086178996273,36.0,0.24547039198462234,
123,fednova_mu0.0_E20_sh-random_stragglers_s123,0.9,True,reconstructed,4571.184498318598,37.475428868929,35.623953952510796,0.2973716237668432,0.27435108776366557,0.3318867942616515,11.0,0.3460460695476241,
456,fednova_mu0.0_E20_sh-random_stragglers_s456,0.9,True,reconstructed,4594.799274420511,32.75917963851903,19.89219479292976,0.2919793851016752,0.29397544364170125,0.32176760615645295,16.0,0.24538558223671653,
789,fednova_mu0.0_E20_sh-random_stragglers_s789,0.9,True,reconstructed,4539.697965227924,36.34906114084379,15.720065215982881,0.3047764374320648,0.38903380749268635,0.33299272459265933,36.0,0.27864640063833596,
999,fednova_mu0.0_E20_sh-random_stragglers_s999,0.9,True,reconstructed,4560.241008813156,35.30099661193663,19.93402759896739,0.33337216429051303,0.4018931297646676,0.376413323384962,107.0,0.24992707208483722,
2024,fednova_mu0.0_E20_sh-random_stragglers_s2024,0.9,True,reconstructed,4530.565078395563,36.18114964745023,23.015272561361282,0.3297523899479727,0.322806592377618,0.3593328370839258,14.0,0.29577120556557385,
31337,fednova_mu0.0_E20_sh-random_stragglers_s31337,0.9,True,reconstructed,4624.666017357597,36.915364183380795,33.69827328838174,0.29928208628647857,0.44267516411533947,0.3259696327303566,,0.11450772777730338,
161803,fednova_mu0.0_E20_sh-random_stragglers_s161803,0.9,True,reconstructed,4632.86407903475,32.3657417362485,18.769114057892036,0.26980891454461947,0.39263267956709724,0.3072333212607084,,0.11450772777730338,
271828,fednova_mu0.0_E20_sh-random_stragglers_s271828,0.9,True,reconstructed,4586.114550330619,35.76205949702786,7.62670027592113,0.2888727014228413,0.2890246672574736,0.31421296782368874,,0.11450772777730338,
8675309,fednova_mu0.0_E20_sh-random_stragglers_s8675309,0.9,True,reconstructed,4642.63165959795,35.77132967495913,18.453475401780572,0.3031418079915455,0.24098651119339315,0.33404592662064025,8.0,0.36428188201740225,
