seed,round,a_eff,mean_tau,global_update_norm,straggler_share,dominating_cid,max_contribution_share,max_amp,server_lr,source
123,1,4297.282718287086,438.7282717282717,,0.24443595636841486,0,0.24443595636841486,2.9433443129276236,,reconstructed
123,2,4575.15280938075,466.51519908662766,,0.013198252018810948,2,0.3936269158013699,5.791270621770599,,reconstructed
123,3,4937.992034974814,502.79920079920083,,0.3143236040036206,1,0.3143236040036206,4.293905405388553,,reconstructed
123,4,4063.1900378537457,415.31811046096755,,0.517910216907951,4,0.517910216907951,6.660351552011986,,reconstructed
123,5,4720.323967339828,481.0323961752533,,0.2855997391346855,5,0.2855997391346855,3.6033006412370243,,reconstructed
123,6,4222.743108283081,431.2386185243328,,0.4676633821419301,5,0.4676633821419301,16.101801257960865,,reconstructed
123,7,4681.975468337965,477.1975167689453,,0.48135687941399097,2,0.48135687941399097,4.8770506083154945,,reconstructed
123,8,4946.846913284857,503.59954331382903,,0.16190675079954994,5,0.44737523757815306,35.623953952510796,,reconstructed
123,9,4578.889315061932,466.88054802340514,,0.03508827727220946,2,0.40668366214581037,13.049998069401704,,reconstructed
123,10,4573.368060649066,466.33680605109174,,0.22202781957549209,3,0.22202781957549209,2.7550409989230857,,reconstructed
123,11,4352.732981307912,444.273298130441,,0.25538337352230955,5,0.25538337352230955,2.1655387966467496,,reconstructed
123,12,5254.671043242473,534.4671043242472,,0.1782052993578395,5,0.1782052993578395,1.3975188944793806,,reconstructed
123,13,4188.923256637607,427.8214642500356,,0.3626784318337418,3,0.4179655127669129,15.972842305023148,,reconstructed
123,14,5032.621664050239,512.2621664050235,,0.24172124142378418,0,0.24172124142378418,1.8639339496482252,,reconstructed
123,15,4484.127301270247,457.41273012701583,,0.24182227843530485,2,0.24182227843530485,1.9000539412157595,,reconstructed
123,16,4150.214955563818,424.01969459112314,,0.42283073086743006,1,0.42283073086743006,7.8286592172657405,,reconstructed
123,17,4988.846867421754,507.8846867418296,,0.2848601504810038,3,0.2848601504810038,2.482013366849155,,reconstructed
123,18,4670.28542899495,476.02854288568574,,0.2694151855785981,3,0.2694151855785981,2.813424955726848,,reconstructed
123,19,4751.669758952728,484.1669758812616,,0.28310411777874517,4,0.28310411777874517,2.862451660494568,,reconstructed
123,20,4797.418519199724,488.74182959897246,,0.35311406730512246,5,0.35311406730512246,4.997303609476776,,reconstructed
123,21,4921.2801484994625,501.1280148423006,,0.0444867484222434,0,0.1865260168895991,2.9468743390141854,,reconstructed
123,22,4986.093356175587,507.57371200228346,,0.7560693417800068,5,0.7560693417800068,19.012542846211968,,reconstructed
123,23,4495.48308834374,458.54830883402315,,0.18681338272353679,4,0.18681338272353679,2.2365587503951354,,reconstructed
123,24,4708.958184819859,479.89581846724707,,0.24117477712436394,5,0.24117477712436394,2.8367217965728138,,reconstructed
123,25,5055.980547505756,514.5979734551163,,0.04771889544568369,2,0.22265026841847782,6.3999068072606855,,reconstructed
123,26,4395.571571324119,448.5571571285857,,0.2088800842071035,2,0.2303597495548195,2.4833737687202513,,reconstructed
123,27,4184.529226693547,427.45112030826317,,0.36532320785038686,0,0.36532320785038686,7.893387126022218,,reconstructed
123,28,3579.5641981198464,366.9212216355073,,0.6432416743017988,3,0.6432416743017988,13.649286691198352,,reconstructed
123,29,4643.160752383065,473.30769230769226,,0.47633109651218164,6,0.47633109651218164,13.23317396103103,,reconstructed
123,30,5670.392464678922,576.0392464678179,,0.0014201525289153241,4,0.23768703292272092,2.68738979367686,,reconstructed
123,31,4007.922525300738,409.75567289853007,,0.462490752241366,4,0.462490752241366,15.28266586549145,,reconstructed
123,32,4916.828885403773,500.68288854003134,,0.3495718169603729,3,0.3495718169603729,2.446183525049559,,reconstructed
123,33,3851.535612985364,394.15356072498923,,0.36706042669759426,4,0.36706042669759426,2.940103442060689,,reconstructed
123,34,5161.88166306122,525.188097616669,,0.3885435521568073,1,0.3885435521568073,6.1450606548498135,,reconstructed
123,35,4660.7714718679335,475.07706579135146,,0.1653576206271341,3,0.1930535216439876,5.8996475143895,,reconstructed
123,36,5534.673897531042,562.4673897531039,,0.19111324119558892,4,0.19111324119558892,1.4719877387050637,,reconstructed
123,37,4991.742543171116,508.1742543171114,,0.15887839304003806,0,0.19873440522570732,1.4638541182319986,,reconstructed
123,38,4282.803788707417,437.24475524475525,,0.48612938743168105,5,0.48612938743168105,16.330819484931286,,reconstructed
123,39,4804.322447830563,489.4238618524332,,0.39730267074795317,6,0.39730267074795317,13.6924905484692,,reconstructed
123,40,4928.779241787543,501.84230055658634,,0.6211929097167269,5,0.6211929097167269,18.793997588902307,,reconstructed
123,41,3485.5736388651976,357.50834879406307,,0.39658450981055393,1,0.39658450981055393,15.600036571337384,,reconstructed
