round,accuracy,balanced_accuracy,macro_f1,worst_class_f1,worst_class_recall,f1_actinic_keratoses_an,recall_actinic_keratoses_an,f1_basal_cell_carcinoma,recall_basal_cell_carcinoma,f1_benign_keratosis-lik,recall_benign_keratosis-lik,f1_dermatofibroma,recall_dermatofibroma,f1_melanoma,recall_melanoma,f1_melanocytic_nevi,recall_melanocytic_nevi,f1_vascular_lesions,recall_vascular_lesions,loss,train_loss_weighted,train_loss_unweighted
0,0.011964107676969093,0.14285714285714285,0.003377902885292048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023645320197044337,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9781246959034016,,
1,0.707876370887338,0.2293261752278146,0.19286570752901408,0.0,0.0,0.0,0.0,0.0,0.0,0.47019867549668876,0.6454545454545455,0.0,0.0,0.017699115044247787,0.009009009009009009,0.8621621621621621,0.9508196721311475,0.0,0.0,1.2943373535233267,0.5443794662722964,0.7926724009939843
2,0.7308075772681955,0.2760191956913268,0.2618244433187004,0.0,0.0,0.0,0.0,0.0,0.0,0.47547169811320755,0.5727272727272728,0.0,0.0,0.4897959183673469,0.43243243243243246,0.8675034867503487,0.9269746646795827,0.0,0.0,1.0077076758725099,0.4798729768828659,0.9569558645966909
3,0.04885343968095713,0.1725774225774226,0.03375796777460408,0.0,0.0,0.05962732919254658,0.7272727272727273,0.17667844522968199,0.4807692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.667351222584991,1.0268666723451756,1.3933847516961397
4,0.05583250249252243,0.1911302982731554,0.024298954575883058,0.0,0.0,0.0,0.0,0.14127423822714683,0.9807692307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02881844380403458,0.35714285714285715,8.190378023643913,0.43769371148820796,0.6835702838469296
5,0.7397806580259222,0.27791191233814183,0.2651831379116332,0.0,0.0,0.0,0.0,0.0,0.0,0.5236051502145923,0.5545454545454546,0.0,0.0,0.45871559633027525,0.45045045045045046,0.8739612188365651,0.940387481371088,0.0,0.0,1.0865942058510938,0.5230416806382706,0.688493341306635
6,0.7457627118644068,0.26528453085830134,0.2572651910263795,0.0,0.0,0.0,0.0,0.0,0.0,0.5217391304347826,0.6,0.0,0.0,0.4025157232704403,0.2882882882882883,0.8766014834794336,0.9687034277198212,0.0,0.0,1.0699128439038963,0.49275747512759605,1.2336266623342695
7,0.0518444666001994,0.14285714285714285,0.014082599864590387,0.0,0.0,0.0,0.0,0.0985781990521327,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.080534305078082,1.215721835746559,1.9068902365677058
8,0.7278165503489531,0.24190790748167798,0.24062438652799673,0.0,0.0,0.0,0.0,0.0,0.0,0.4192139737991266,0.43636363636363634,0.0,0.0,0.4025157232704403,0.2882882882882883,0.8626410086264101,0.9687034277198212,0.0,0.0,1.2159780363737052,0.53148842377053,1.0200549128525338
9,0.0518444666001994,0.14285714285714285,0.014082599864590387,0.0,0.0,0.0,0.0,0.0985781990521327,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.78420736164538,1.5753879012993266,2.5111585514309507
