round,accuracy,balanced_accuracy,macro_f1,worst_class_f1,worst_class_recall,f1_actinic_keratoses_an,recall_actinic_keratoses_an,f1_basal_cell_carcinoma,recall_basal_cell_carcinoma,f1_benign_keratosis-lik,recall_benign_keratosis-lik,f1_dermatofibroma,recall_dermatofibroma,f1_melanoma,recall_melanoma,f1_melanocytic_nevi,recall_melanocytic_nevi,f1_vascular_lesions,recall_vascular_lesions,loss
0,0.03290129611166501,0.14285714285714285,0.009100937672366244,0.0,0.0,0.0637065637065637,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8991954668925506
1,0.6689930209371885,0.14285714285714285,0.11452466291175968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8016726403823178,1.0,0.0,0.0,1.5010140776515364
2,0.6729810568295115,0.1725214676034348,0.1470037879294883,0.0,0.0,0.2153846153846154,0.21212121212121213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8136419001218027,0.9955290611028316,0.0,0.0,0.9999505213702308
3,0.6779661016949152,0.18181818181818182,0.15925925925925924,0.0,0.0,0.3,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8148148148148148,1.0,0.0,0.0,1.3441462591661888
4,0.5473579262213359,0.30925124941518384,0.23886798591368663,0.0,0.0,0.0,0.0,0.38341968911917096,0.7115384615384616,0.2979591836734694,0.6636363636363637,0.0,0.0,0.23076923076923078,0.16216216216216217,0.759927797833935,0.6274217585692996,0.0,0.0,1.1161935563577137
5,0.6809571286141576,0.22361791214250232,0.16741251359477957,0.0,0.0,0.3392857142857143,0.5757575757575758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8326018808777429,0.9895678092399404,0.0,0.0,1.6522305176954564
6,0.6610169491525424,0.20290313732936685,0.19176573584843545,0.0,0.0,0.28125,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.26136363636363635,0.2072072072072072,0.7997465145754119,0.940387481371088,0.0,0.0,0.9920559710305804
7,0.6799601196410767,0.18546628382693958,0.16335310595224012,0.0,0.0,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.05217391304347826,0.02702702702702703,0.8185705558949298,0.9985096870342772,0.0,0.0,0.9371243108543061
8,0.5982053838484547,0.2911328707581635,0.23179344266913507,0.0,0.0,0.3170731707317073,0.3939393939393939,0.0,0.0,0.0,0.0,0.0,0.0,0.38271604938271603,0.8378378378378378,0.789431545236189,0.7347242921013413,0.13333333333333333,0.07142857142857142,1.0017830706308275
9,0.7058823529411765,0.28626415675596,0.23595256162214465,0.0,0.0,0.1951219512195122,0.12121212121212122,0.4782608695652174,0.8461538461538461,0.05128205128205128,0.02727272727272727,0.0,0.0,0.06722689075630252,0.036036036036036036,0.859776168531929,0.9731743666169895,0.0,0.0,0.8579081399728389
10,0.7098703888334995,0.272176059061305,0.2524311804036348,0.0,0.0,0.2727272727272727,0.18181818181818182,0.4927536231884058,0.6538461538461539,0.0847457627118644,0.045454545454545456,0.0,0.0,0.06896551724137931,0.036036036036036036,0.8478260869565217,0.9880774962742176,0.0,0.0,0.8366278531187672
11,0.6979062811565304,0.2504782071526802,0.22710694009964083,0.0,0.0,0.3238095238095238,0.5151515151515151,0.0,0.0,0.0,0.0,0.0,0.0,0.291970802919708,0.18018018018018017,0.8406349206349206,0.9865871833084948,0.13333333333333333,0.07142857142857142,0.8408815905318066
12,0.7008973080757727,0.2527753192858579,0.2572561733280509,0.0,0.0,0.3333333333333333,0.2727272727272727,0.41237113402061853,0.38461538461538464,0.017857142857142856,0.00909090909090909,0.0,0.0,0.06837606837606838,0.036036036036036036,0.8355222013758599,0.9955290611028316,0.13333333333333333,0.07142857142857142,0.8748865788978927
13,0.7058823529411765,0.291993525600083,0.24582491043857227,0.0,0.0,0.3684210526315789,0.42424242424242425,0.5,0.6346153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.8523533204384268,0.9850968703427719,0.0,0.0,1.2230851848722097
