seed,algorithm,mu,local_epochs,round,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_f1_class_0,val_f1_class_1,val_f1_class_2,val_f1_class_3,val_f1_class_4,val_f1_class_5,val_f1_class_6,train_loss,n_kept,n_dropped
42,fedavg,0.0,20,1,2.0111354117616935,0.6689930209371885,0.14285714285714285,0.11452466291175968,0.0,0.0,0.0,0.0,0.0,0.8016726403823178,0.0,0.5618848890277789,3,4
42,fedavg,0.0,20,2,1.4032475164499978,0.6949152542372882,0.24976662681580716,0.19056865902560702,0.0,0.49382716049382713,0.0,0.0,0.0,0.840153452685422,0.0,0.4437820865024698,3,4
42,fedavg,0.0,20,3,1.3315027115470985,0.6699900299102692,0.15306122448979592,0.13377789176711977,0.0,0.0,0.0,0.0,0.0,0.8031119090365051,0.13333333333333333,0.4114593445042067,3,4
42,fedavg,0.0,20,4,1.5974372907031926,0.7108673978065803,0.30313320559222195,0.22528921309234423,0.0,0.0,0.4830188679245283,0.21875,0.0,0.8752556237218814,0.0,0.32665774027235944,3,4
42,fedavg,0.0,20,5,0.983820808611268,0.6919242273180458,0.24854766412143464,0.20157149608072863,0.0,0.0,0.3917525773195876,0.15384615384615385,0.017391304347826087,0.8480104370515329,0.0,0.3014805554037034,3,4
42,fedavg,0.0,20,6,1.9838156096362403,0.6889332003988036,0.23370427386820827,0.21073695972510112,0.0,0.3013698630136986,0.16058394160583941,0.17777777777777778,0.0,0.835427135678392,0.0,0.13492191325929914,3,4
42,fedavg,0.0,20,7,2.00317028476852,0.7128614157527418,0.25648613681400567,0.23738474480226676,0.0,0.4918032786885246,0.31901840490797545,0.0,0.0,0.8508715300193673,0.0,0.13206243713033947,3,4
42,fedavg,0.0,20,8,2.5616637456452738,0.707876370887338,0.304666098928394,0.2339618973103013,0.0,0.0,0.48175182481751827,0.2916666666666667,0.0,0.864314789687924,0.0,0.08707839146718141,3,4
42,fedavg,0.0,20,9,1.4746174269159913,0.6999002991026919,0.2761979565258254,0.2461151435497658,0.37333333333333335,0.45217391304347826,0.0,0.0,0.04477611940298507,0.8525226390685641,0.0,0.18649240296395383,3,4
42,fedavg,0.0,20,10,2.0124199737461352,0.711864406779661,0.32229055097907555,0.2856712581636259,0.0,0.41975308641975306,0.34831460674157305,0.38095238095238093,0.0,0.8506787330316742,0.0,0.07692086058850507,3,4
