round,a_eff,mean_tau,global_update_norm,straggler_share,dominating_cid,max_contribution_share,server_lr
1,4986.380762095049,476.8589981447124,2.366173450212862,0.08189394907387383,2,0.19840444050079917,1.0
2,5307.575281860997,499.9978592835736,1.6179665697898022,0.11414210965809508,1,0.20797543274566252,1.0
3,4686.994434137293,437.96089624661056,1.418782070541498,0.12188308291227262,4,0.23018524227228593,1.0
4,5382.982731554162,489.70957613814755,1.2949433688314276,0.10683551129096662,0,0.18522392640872454,1.0
5,5301.731126016842,505.1756814613957,1.2620913683087511,0.13514209820772377,4,0.1873456689518066,1.0
6,5187.094334237193,505.04995004995,1.3145655212576675,0.15172728354939743,3,0.18917256668408158,1.0
7,4710.014271442844,430.50292564578274,1.2537638431226397,0.128508353314396,5,0.20443042146428198,1.0
8,5982.902811474241,607.290281147424,1.7421758882062213,0.013258020187766686,2,0.18491961597565673,1.0
9,4848.039103753391,447.8655630084201,1.3432343833142644,0.11229987642750694,5,0.2222512173697356,1.0
10,4876.233766233767,427.5932638789781,1.3540153819227867,0.016940356291383324,5,0.2032312410751513,1.0
11,5412.760097045813,550.2760097045812,1.493061995870867,0.23137690958782023,3,0.23137690958782023,1.0
12,5155.2875695732855,507.1033252461824,1.2189699099681783,0.2221566660864606,3,0.23624584501487997,1.0
13,5285.567289853006,466.60396746111036,1.1498023096630179,0.12998711961752205,2,0.2264080750239302,1.0
14,4910.970458113317,440.81746824603965,1.1232842738445998,0.19311483256811493,4,0.24481439972259578,1.0
15,5161.7882117882145,485.6469245040673,1.0450227543608985,0.14686519978166063,3,0.2093781772372813,1.0
16,4389.948622805767,396.18310261167403,0.9927402676333924,0.1924748034413425,3,0.22849290703208106,1.0
17,5892.560296846012,597.1034679606108,0.9714050124476515,0.03206557909757385,2,0.19092423850674942,1.0
18,4419.433423719139,355.8177536748965,0.9122972365274928,0.12645017685291277,4,0.2263423388233542,1.0
19,5305.631511345798,474.89638932496075,0.7082164235707396,0.17453818941966673,1,0.21963879330410546,1.0
20,5024.304267161411,487.67989153703434,0.9623717598999764,0.24680241908699885,5,0.2592886336705627,1.0
21,4823.927501070359,431.6436420722135,0.9088724345236507,0.16959715636814693,5,0.2099570943981594,1.0
22,5450.652204937921,520.497359783074,0.7502263357253233,0.23807639423176444,3,0.23807639423176444,1.0
23,4959.657485371772,475.02668759811615,0.8399414009154951,0.1878360023549725,1,0.22771726621442553,1.0
24,4717.5638647067235,372.0122734408449,0.8158675151641515,0.11299744461386212,5,0.2593801646634101,1.0
25,4420.518053375197,374.26216640502355,0.8169897780259389,0.13095235365392635,5,0.2552446688958039,1.0
26,4721.930926216642,418.56928785500213,0.8311323506225682,0.2637407719236371,2,0.2637407719236371,1.0
27,5705.191950906237,563.5754245754246,0.7327539222628983,0.02392626562101274,2,0.21116192434605788,1.0
28,4717.6423576423595,437.30112744398457,0.8100157133094967,0.21507216388110884,1,0.24949883341843757,1.0
29,4545.371771086058,453.6316540602254,0.6549447986819737,0.1742761147168645,5,0.1979580851882092,1.0
30,4986.209504780934,450.29641786784646,1.043634371901955,0.18697088824326538,1,0.3861986836332988,1.0
31,5177.0329670329675,477.5348936777508,0.8064261608193807,0.0376540082294269,2,0.25559228513077054,1.0
32,4986.751819608964,453.40331097473955,0.7117369645784556,0.2006718390593087,1,0.23594717867972528,1.0
33,4763.717710860569,434.20864849436276,0.8179794567869899,0.22252802800319943,0,0.30355092410585205,1.0
34,4709.857285571572,399.24461253032683,0.6846866999369595,0.15702233974163085,4,0.20803133743015045,1.0
35,5394.208648494365,536.7031539888683,0.7198637589434641,0.017582538048044754,1,0.22978894896038435,1.0
36,4460.349650349652,455.03496503496507,0.7014725432122514,0.2458172604040923,2,0.2458172604040923,1.0
37,5195.4374197231355,494.97588126159553,0.6649649560734652,0.24904002869168984,3,0.24904002869168984,1.0
38,5515.424575424577,548.8247466818896,0.6218768720378638,0.031738059363967834,4,0.20431697453754827,1.0
39,5474.1772513201095,509.31083202511775,0.6425989583682047,0.02163721090912384,0,0.24580607095717158,1.0
40,5224.830883402314,531.4830883402311,0.7354926577795551,0.29816576075149304,2,0.29816576075149304,1.0
41,4699.096617668048,428.15684315684314,0.7274665617020744,0.19308050879889965,2,0.23661010717372016,1.0
42,5432.687312687314,533.8334522620237,0.6210460671398971,0.240079279730813,0,0.240079279730813,1.0
43,5603.463679177967,569.3463679177964,0.7246584088193017,0.3058973197573648,4,0.3058973197573648,1.0
44,5027.197088625661,485.38789781646926,0.9714149817327462,0.01878820163147112,2,0.27348213732155296,1.0
45,4990.576566290853,459.0144141572713,0.8920533822521018,0.04623452608401853,2,0.2562320838778815,1.0
46,4831.181675467391,468.69801626944485,0.8548600434092081,0.29876034417957925,3,0.29876034417957925,1.0
47,5176.54060225489,507.2814328528614,0.9380874349944708,0.047786328928021655,4,0.30025846470640455,1.0
48,5147.6566290852015,473.01555587269866,0.8501924648340576,0.3012900844963943,3,0.3012900844963943,1.0
49,5263.6549165120605,535.365491651206,0.8521300479117342,0.29552000044211735,5,0.29552000044211735,1.0
50,5397.883545026403,534.9576138147568,0.7015738895582845,0.026372266177226218,3,0.2948473429143816,1.0
51,5425.417439703156,541.6362209219352,0.6473915245958366,0.14133831645870037,1,0.2880010764997008,1.0
52,4964.138718424434,453.961038961039,0.6968736543694396,0.2678067036572231,5,0.2928056492875631,1.0
53,5224.4141572713015,504.93249607535324,0.5955970896742365,0.03578253992647454,2,0.23640090418921228,1.0
54,5398.61138861139,537.2316255173398,0.5283084757798305,0.030366104026293934,4,0.2120832198296607,1.0
55,4748.468674182961,376.9269302126445,0.7184511270592195,0.24539143845670205,3,0.24539143845670205,1.0
56,5789.157984872272,565.6329384900812,0.737387890490774,0.04784023285808646,5,0.20755883480336362,1.0
57,4687.27986299415,419.13457970600825,0.6290306742402857,0.20727145659523805,3,0.2845957974928882,1.0
58,4875.209076637649,448.7866419294991,0.4924088085827568,0.2205427902722947,3,0.24274319729558527,1.0
