round,f1_actinic_keratoses_an,recall_actinic_keratoses_an,f1_basal_cell_carcinoma,recall_basal_cell_carcinoma,f1_benign_keratosis-lik,recall_benign_keratosis-lik,f1_dermatofibroma,recall_dermatofibroma,f1_melanoma,recall_melanoma,f1_melanocytic_nevi,recall_melanocytic_nevi,f1_vascular_lesions,recall_vascular_lesions,balanced_accuracy,worst_class_f1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8016726403823178,1.0,0.0,0.0,0.14285714285714285,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8016726403823178,1.0,0.0,0.0,0.14285714285714285,0.0
2,0.0,0.0,0.0,0.0,0.018018018018018018,0.00909090909090909,0.0,0.0,0.0,0.0,0.8021518230723251,1.0,0.0,0.0,0.14415584415584415,0.0
3,0.0,0.0,0.0,0.0,0.04838709677419355,0.02727272727272727,0.0,0.0,0.0,0.0,0.8072289156626506,0.9985096870342772,0.0,0.0,0.14654034490100062,0.0
4,0.0,0.0,0.0,0.0,0.03508771929824561,0.01818181818181818,0.0,0.0,0.0,0.0,0.8035928143712575,1.0,0.0,0.0,0.14545454545454545,0.0
5,0.0,0.0,0.0,0.0,0.03389830508474576,0.01818181818181818,0.0,0.0,0.0,0.0,0.8055222088835534,1.0,0.0,0.0,0.14545454545454545,0.0
6,0.0,0.0,0.0,0.0,0.19310344827586207,0.12727272727272726,0.0,0.0,0.0,0.0,0.8161270616982285,0.9955290611028316,0.0,0.0,0.16040025548222267,0.0
7,0.0,0.0,0.0,0.0,0.17647058823529413,0.10909090909090909,0.0,0.0,0.0,0.0,0.8131067961165048,0.9985096870342772,0.0,0.0,0.15822865658931232,0.0
8,0.0,0.0,0.0,0.0,0.12403100775193798,0.07272727272727272,0.0,0.0,0.0,0.0,0.8108761329305136,1.0,0.0,0.0,0.15324675324675324,0.0
9,0.0,0.0,0.0,0.0,0.3384615384615385,0.3,0.0,0.0,0.0,0.0,0.8350125944584383,0.9880774962742176,0.0,0.0,0.1840110708963168,0.0
10,0.0,0.0,0.0,0.0,0.3880597014925373,0.35454545454545455,0.0,0.0,0.0,0.0,0.8381795195954488,0.9880774962742176,0.0,0.0,0.1918032786885246,0.0
11,0.2608695652173913,0.18181818181818182,0.0,0.0,0.26490066225165565,0.18181818181818182,0.0,0.0,0.0,0.0,0.825925925925926,0.9970193740685543,0.0,0.0,0.19437939110070257,0.0
12,0.15789473684210525,0.09090909090909091,0.0,0.0,0.3333333333333333,0.2636363636363636,0.0,0.0,0.035398230088495575,0.018018018018018018,0.8309419837804117,0.992548435171386,0.0,0.0,0.19501598681926552,0.0
13,0.26666666666666666,0.18181818181818182,0.0,0.0,0.3516483516483517,0.2909090909090909,0.0,0.0,0.017857142857142856,0.009009009009009009,0.8382630585273757,0.992548435171386,0.0,0.0,0.2106121024153811,0.0
14,0.19047619047619047,0.12121212121212122,0.0,0.0,0.25675675675675674,0.17272727272727273,0.0,0.0,0.14634146341463414,0.08108108108108109,0.8260061919504644,0.9940387481371088,0.0,0.0,0.19557988902251197,0.0
15,0.2909090909090909,0.24242424242424243,0.0,0.0,0.3125,0.22727272727272727,0.0,0.0,0.0,0.0,0.83270911360799,0.9940387481371088,0.0,0.0,0.20910510254772552,0.0
16,0.3142857142857143,0.3333333333333333,0.0,0.0,0.34523809523809523,0.2636363636363636,0.0,0.0,0.035398230088495575,0.018018018018018018,0.8421052631578947,0.9895678092399404,0.0,0.0,0.22922221774680793,0.0
17,0.2916666666666667,0.21212121212121213,0.0,0.0,0.28,0.19090909090909092,0.0,0.0,0.035398230088495575,0.018018018018018018,0.826221397649969,0.9955290611028316,0.0,0.0,0.20236819745016468,0.0
18,0.23255813953488372,0.15151515151515152,0.0,0.0,0.22535211267605634,0.14545454545454545,0.0,0.0,0.0,0.0,0.8223039215686274,1.0,0.0,0.0,0.18528138528138527,0.0
19,0.19047619047619047,0.12121212121212122,0.0,0.0,0.422680412371134,0.37272727272727274,0.0,0.0,0.2,0.11711711711711711,0.8463508322663252,0.9850968703427719,0.0,0.0,0.228021911628469,0.0
20,0.21739130434782608,0.15151515151515152,0.0,0.0,0.34782608695652173,0.2909090909090909,0.0,0.0,0.017857142857142856,0.009009009009009009,0.8373266078184111,0.9895678092399404,0.0,0.0,0.20585729438188455,0.0
21,0.18181818181818182,0.12121212121212122,0.0,0.0,0.36666666666666664,0.3,0.0,0.0,0.1774193548387097,0.0990990990990991,0.8417721518987342,0.9910581222056631,0.0,0.0,0.2159099060738405,0.0
22,0.22727272727272727,0.15151515151515152,0.0,0.0,0.3930635838150289,0.3090909090909091,0.0,0.0,0.0,0.0,0.835,0.9955290611028316,0.0,0.0,0.2080193031012703,0.0
23,0.25925925925925924,0.21212121212121213,0.0,0.0,0.38636363636363635,0.3090909090909091,0.0,0.0,0.1016949152542373,0.05405405405405406,0.8430379746835444,0.992548435171386,0.0,0.0,0.22397351577679445,0.0
24,0.3076923076923077,0.24242424242424243,0.0,0.0,0.4540540540540541,0.38181818181818183,0.0,0.0,0.0847457627118644,0.04504504504504504,0.8429752066115702,0.9880774962742176,0.0,0.0,0.23676642365166956,0.0
25,0.32,0.36363636363636365,0.0,0.0,0.4134078212290503,0.33636363636363636,0.0,0.0,0.08547008547008547,0.04504504504504504,0.8490687219010918,0.9850968703427719,0.0,0.0,0.24716313076968813,0.0
26,0.2857142857142857,0.24242424242424243,0.0,0.0,0.345679012345679,0.2545454545454545,0.0,0.0,0.1746031746031746,0.0990990990990991,0.8371212121212122,0.9880774962742176,0.0,0.0,0.2263066131918591,0.0
27,0.2608695652173913,0.18181818181818182,0.0,0.0,0.358974358974359,0.2545454545454545,0.0,0.0,0.140625,0.08108108108108109,0.8347934918648311,0.9940387481371088,0.0,0.0,0.2159262093688323,0.0
28,0.36363636363636365,0.36363636363636365,0.0,0.0,0.34838709677419355,0.24545454545454545,0.0,0.0,0.1322314049586777,0.07207207207207207,0.8398486759142497,0.992548435171386,0.0,0.0,0.23910163090490963,0.0
29,0.3076923076923077,0.24242424242424243,0.0,0.0,0.45714285714285713,0.36363636363636365,0.0,0.0,0.0,0.0,0.8389937106918239,0.9940387481371088,0.0,0.0,0.22858562202824498,0.0
30,0.23076923076923078,0.18181818181818182,0.0,0.0,0.43157894736842106,0.37272727272727274,0.0,0.0,0.176,0.0990990990990991,0.8468930172966047,0.9850968703427719,0.0,0.0,0.2341059177124751,0.0
31,0.2608695652173913,0.18181818181818182,0.0,0.0,0.28187919463087246,0.19090909090909092,0.0,0.0,0.14516129032258066,0.08108108108108109,0.8290863890615289,0.9940387481371088,0.0,0.0,0.20683530027792324,0.0
