round,cid,tau,a_i,a_eff,p_i,raw_update_norm,contribution_norm,amp_vs_fedavg
1,6,396,3870.0000000000014,4202.774374124305,0.09604681033252462,2.025797674055116,0.21130225187438165,1.085988210368037
1,5,700,6910.000000000002,4202.774374124305,0.15812758669901528,4.24014532500292,0.40779924063634615,0.6082162625360786
1,3,700,6910.000000000002,4202.774374124305,0.15612958470101326,3.846223032926286,0.36523946416090586,0.6082162625360786
1,4,140,1310.0000353340838,4202.774374124305,0.1584130155558727,1.884892578520304,0.9579486592769995,3.2082246265378833
1,2,245,2360.000000000555,4202.774374124305,0.156272299129442,2.4781547789135114,0.689659149139129,1.7808365992047952
1,1,620,6110.000000000002,4202.774374124305,0.1374339945768517,4.273000602581536,0.4039447694723078,0.6878517797257453
1,0,186,1770.0000002775555,4202.774374124305,0.13757670900528043,2.5625760980887278,0.8371137906095716,2.3744487985679457
2,4,700,6910.000000000002,4658.564514016041,0.1584130155558727,3.0452605014682734,0.32522908524105654,0.6741772089748249
2,1,279,2700.0000000000164,4658.564514016041,0.1374339945768517,2.331170522834687,0.5527853980763844,1.7253942644503752
2,3,105,960.0014115816389,4658.564514016041,0.15612958470101326,1.9508779768494426,1.478071874630625,4.852664233421156
2,0,620,6110.000000000002,4658.564514016041,0.13757670900528043,3.592965622046066,0.3768850254177295,0.7624491839633454
2,6,154,1450.0000080833054,4658.564514016041,0.09604681033252462,0.1779226187127129,0.0549032708565761,3.2128030952041193
2,5,700,6910.000000000002,4658.564514016041,0.15812758669901528,2.8366454989021896,0.3024034727834127,0.6741772089748249
2,2,630,6210.000000000002,4658.564514016041,0.156272299129442,3.1758843517026887,0.37231213794026946,0.7501714193262544
3,6,396,3870.0000000000014,5963.5193378050535,0.09604681033252462,1.0206021710192166,0.15105360741186133,1.5409610692002718
3,4,700,6910.000000000002,5963.5193378050535,0.1584130155558727,4.1318425540454236,0.5648839169661314,0.8630274005506587
3,2,700,6910.000000000002,5963.5193378050535,0.156272299129442,3.1296348290653664,0.42208532457045694,0.8630274005506587
3,1,527,5180.000000000002,5963.5193378050535,0.1374339945768517,3.050777994941862,0.4827003869314093,1.1512585594218245
3,0,558,5490.000000000002,5963.5193378050535,0.13757670900528043,3.4333653803385458,0.5130919813774811,1.086251245501831
3,3,700,6910.000000000002,5963.5193378050535,0.15612958470101326,2.9299574712946326,0.3947945107338196,0.8630274005506587
3,5,560,5510.000000000002,5963.5193378050535,0.15812758669901528,3.571319539652881,0.611205686066868,1.0823084097649822
4,0,620,6110.000000000002,4547.000124786772,0.13757670900528043,3.241219100893592,0.33184636276980795,0.7441898731238578
4,4,700,6910.000000000002,4547.000124786772,0.1584130155558727,3.657433321345479,0.3812538142671568,0.6580318559749306
4,6,44,350.8727963568088,4547.000124786772,0.09604681033252462,0.4136370908831199,0.5148464112630817,12.959112738289482
4,3,560,5510.000000000002,4547.000124786772,0.15612958470101326,2.9808348712024855,0.3840577116757017,0.8252268829014103
