round,accuracy,balanced_accuracy,macro_f1,worst_class_f1,worst_class_recall,f1_actinic_keratoses_an,recall_actinic_keratoses_an,f1_basal_cell_carcinoma,recall_basal_cell_carcinoma,f1_benign_keratosis-lik,recall_benign_keratosis-lik,f1_dermatofibroma,recall_dermatofibroma,f1_melanoma,recall_melanoma,f1_melanocytic_nevi,recall_melanocytic_nevi,f1_vascular_lesions,recall_vascular_lesions,loss
0,0.011964107676969093,0.14285714285714285,0.003377902885292048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023645320197044337,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93695684432508
1,0.6689930209371885,0.14285714285714285,0.11452466291175968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8016726403823178,1.0,0.0,0.0,1.2127319785913941
2,0.6689930209371885,0.14285714285714285,0.11452466291175968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8016726403823178,1.0,0.0,0.0,1.47388084329375
3,0.674975074775673,0.1662065080097867,0.15104776141511295,0.0,0.0,0.0,0.0,0.1728395061728395,0.1346153846153846,0.05172413793103448,0.02727272727272727,0.0,0.0,0.017094017094017096,0.009009009009009009,0.8156766687078996,0.992548435171386,0.0,0.0,0.9105420280786478
4,0.6839481555333998,0.16559506067702787,0.15116087831335842,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.16363636363636364,0.0,0.0,0.0,0.0,0.8181261481935089,0.9955290611028316,0.0,0.0,0.9667609785632384
5,0.6689930209371885,0.14285714285714285,0.11452466291175968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8016726403823178,1.0,0.0,0.0,1.2077663775574294
6,0.6699900299102692,0.14629234301365449,0.12203435366719087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047244094488188976,0.02702702702702703,0.8069963811821471,0.9970193740685543,0.0,0.0,1.0253882185887482
7,0.7018943170488534,0.2791053209085996,0.2432146682090642,0.0,0.0,0.0,0.0,0.35714285714285715,0.28846153846153844,0.484149855907781,0.7636363636363637,0.0,0.0,0.0,0.0,0.8612099644128114,0.9016393442622951,0.0,0.0,1.1930318653048688
8,0.674975074775673,0.15064935064935064,0.12923528880792365,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.05454545454545454,0.0,0.0,0.0,0.0,0.8094089264173703,1.0,0.0,0.0,1.2012302856502362
9,0.6739780658025922,0.15238095238095237,0.13294175640057607,0.0,0.0,0.05555555555555555,0.030303030303030304,0.0,0.0,0.06611570247933884,0.03636363636363636,0.0,0.0,0.0,0.0,0.8089210367691381,1.0,0.0,0.0,1.3625531075364452
10,0.7108673978065803,0.2775799532239813,0.2751361585342468,0.0,0.0,0.0,0.0,0.16393442622950818,0.09615384615384616,0.5033557046979866,0.6818181818181818,0.15384615384615385,0.08333333333333333,0.0,0.0,0.8548168249660787,0.9388971684053651,0.25,0.14285714285714285,1.0860964203641517
11,0.7208374875373879,0.2729409934327967,0.2899800567831976,0.0,0.0,0.19047619047619047,0.12121212121212122,0.3783783783783784,0.2692307692307692,0.45132743362831856,0.4636363636363636,0.15384615384615385,0.08333333333333333,0.0,0.0,0.8558322411533421,0.9731743666169895,0.0,0.0,1.2670090275771122
12,0.7318045862412762,0.2993471747570108,0.28639997213181134,0.0,0.0,0.0,0.0,0.528,0.6346153846153846,0.4421052631578947,0.38181818181818183,0.13333333333333333,0.08333333333333333,0.034782608695652174,0.018018018018018018,0.8665785997357992,0.977645305514158,0.0,0.0,0.8130508031944929
13,0.6849451645064806,0.20910034540011121,0.215391893140376,0.0,0.0,0.05714285714285714,0.030303030303030304,0.345679012345679,0.2692307692307692,0.05172413793103448,0.02727272727272727,0.0,0.0,0.0,0.0,0.8179031269160024,0.9940387481371088,0.23529411764705882,0.14285714285714285,1.1056811716834665
14,0.674975074775673,0.16403358546215688,0.15526165622129873,0.0,0.0,0.05714285714285714,0.030303030303030304,0.03773584905660377,0.019230769230769232,0.05309734513274336,0.02727272727272727,0.0,0.0,0.0,0.0,0.8055222088835534,1.0,0.13333333333333333,0.07142857142857142,1.525263861549697
