round,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_loss_flower,train_loss_weighted,algorithm,mu,seed,local_epochs
0,2.046821054646881,0.1106679960119641,0.14285714285714285,0.028468838163631698,2.046821054646881,,fedavg,0.0,42,20
1,1.886139180106394,0.6689930209371885,0.14285714285714285,0.11452466291175968,1.886139180106394,0.5326432266026375,fedavg,0.0,42,20
2,1.0453760739219033,0.6689930209371885,0.14285714285714285,0.11452466291175968,1.0453760739219033,0.49994786113152073,fedavg,0.0,42,20
3,1.306669394135594,0.6689930209371885,0.18282186197877065,0.14358277852880014,1.306669394135594,0.38050774320530256,fedavg,0.0,42,20
4,0.9463680820950007,0.6799601196410767,0.21286956181569766,0.18477991987442827,0.9463680820950007,0.33142364332323,fedavg,0.0,42,20
5,1.0717281163749048,0.6909272183449651,0.2552638207204952,0.22589246153363401,1.0717281163749048,0.26979301082063545,fedavg,0.0,42,20
6,1.1756696538815827,0.6969092721834497,0.2665948836909024,0.2557002475673211,1.1756696538815827,0.2210776824671918,fedavg,0.0,42,20
7,1.254882117270948,0.7008973080757727,0.31810490499015087,0.3061939019174497,1.254882117270948,0.16158664287804866,fedavg,0.0,42,20
8,1.079287991804235,0.7088733798604188,0.32846483853509617,0.3017270276383392,1.079287991804235,0.13205292780861713,fedavg,0.0,42,20
9,1.2210007002679324,0.7268195413758723,0.3503221202284434,0.35360613150044273,1.2210007002679324,0.10094315111355386,fedavg,0.0,42,20
10,1.2401184276236612,0.7188434695912264,0.34619535790495976,0.3323380374687787,1.2401184276236612,0.07784656654842054,fedavg,0.0,42,20
11,1.4083354424384393,0.7298105682951147,0.3876686471534247,0.38244343904028255,1.4083354424384393,0.06666965103969774,fedavg,0.0,42,20
12,1.214825907233705,0.7178464606181456,0.3847658344145463,0.3707265970720381,1.214825907233705,0.05765222190351298,fedavg,0.0,42,20
13,1.3697874250107724,0.7298105682951147,0.4343574922029254,0.4247539078544684,1.3697874250107724,0.047861369095709164,fedavg,0.0,42,20
14,1.356944517682818,0.7318045862412762,0.41336171792846266,0.41234915140167594,1.356944517682818,0.047453427926102944,fedavg,0.0,42,20
15,1.3547934816104703,0.7347956131605184,0.41516769830587164,0.41687402375734767,1.3547934816104703,0.039397656988374066,fedavg,0.0,42,20
16,1.4791018910564906,0.7208374875373879,0.40526694332314944,0.3951595305248537,1.4791018910564906,0.03775712108272994,fedavg,0.0,42,20
17,1.4056624979345298,0.7268195413758723,0.4159367490749224,0.40843741248177795,1.4056624979345298,0.03160524803593727,fedavg,0.0,42,20
18,1.3740512709080401,0.7318045862412762,0.44054384019255216,0.43477187181846716,1.3740512709080401,0.02603503333795761,fedavg,0.0,42,20
19,1.5794107118846175,0.7258225324027916,0.3940034836990341,0.4108019204788939,1.5794107118846175,0.03724896752460114,fedavg,0.0,42,20
20,1.3308106358956957,0.7308075772681955,0.43495713624519244,0.4132480498889484,1.3308106358956957,0.025852120066437688,fedavg,0.0,42,20
21,1.332405328215773,0.7397806580259222,0.45798956091696136,0.4438699975625247,1.332405328215773,0.02632151268600775,fedavg,0.0,42,20
22,1.382064926184543,0.7397806580259222,0.4504792599640375,0.4178529533981451,1.382064926184543,0.021884691767962487,fedavg,0.0,42,20
23,1.324368060051147,0.7427716849451645,0.4415000142166418,0.423432950466405,1.324368060051147,0.022792559515003426,fedavg,0.0,42,20
24,1.3913993469382806,0.7427716849451645,0.470553573480974,0.4496435128780784,1.3913993469382806,0.021825675584836123,fedavg,0.0,42,20
25,1.304130814724406,0.7387836490528414,0.43888911160573923,0.41928537105648694,1.304130814724406,0.021723843709413725,fedavg,0.0,42,20
26,1.3243567087833332,0.744765702891326,0.45711591824004,0.43789927006986745,1.3243567087833332,0.022506917827463904,fedavg,0.0,42,20
27,1.2507138025843847,0.7507477567298105,0.4525459571127018,0.44646365754934036,1.2507138025843847,0.01796623566249295,fedavg,0.0,42,20
28,1.2726189399645074,0.7467597208374875,0.4835671364945369,0.4691526212446412,1.2726189399645074,0.02088887007739073,fedavg,0.0,42,20
29,1.314245586975265,0.7457627118644068,0.4466671259411306,0.4474607432979795,1.314245586975265,0.019305592406357482,fedavg,0.0,42,20
30,1.1751891160653096,0.748753738783649,0.46253433361161694,0.4408273180142463,1.1751891160653096,0.02231033689545458,fedavg,0.0,42,20
31,1.210978970095025,0.7507477567298105,0.4570507830460992,0.43127645040499,1.210978970095025,0.020129418661278164,fedavg,0.0,42,20
32,1.265693002600494,0.7577268195413759,0.46664677285286177,0.4671124807716927,1.265693002600494,0.022490549605305797,fedavg,0.0,42,20
33,1.2901665425134203,0.748753738783649,0.44156509777118674,0.4401423699021875,1.2901665425134203,0.01541417591542813,fedavg,0.0,42,20
34,1.21166378616217,0.7557328015952144,0.46706551671422863,0.459008913854626,1.21166378616217,0.016117072018869957,fedavg,0.0,42,20
35,1.1487376021958537,0.7537387836490529,0.46333551462357075,0.46025874729015603,1.1487376021958537,0.01902337519919154,fedavg,0.0,42,20
36,1.2274035754969208,0.748753738783649,0.4598876111756674,0.4287685703690542,1.2274035754969208,0.014484804714058146,fedavg,0.0,42,20
37,1.2115136161520854,0.7497507477567298,0.42847072648009416,0.42819705176999884,1.2115136161520854,0.013335881844103802,fedavg,0.0,42,20
38,1.264324280699847,0.7507477567298105,0.4537337517431194,0.43189682309530386,1.264324280699847,0.021411752679805496,fedavg,0.0,42,20
39,1.2611180587875046,0.7477567298105683,0.45819465784336977,0.4503709523936653,1.2611180587875046,0.014757532518770445,fedavg,0.0,42,20
40,1.3076280467175059,0.7457627118644068,0.44339299959908857,0.41903431344618663,1.3076280467175059,0.015177891223603536,fedavg,0.0,42,20
41,1.2895024579876322,0.748753738783649,0.4686934634241426,0.4642405640468567,1.2895024579876322,0.010926702382336591,fedavg,0.0,42,20
42,1.371332261284232,0.7397806580259222,0.43737977215728974,0.40712737380909286,1.371332261284232,0.012428937415518322,fedavg,0.0,42,20
43,1.3054901284805442,0.7517447657028913,0.4467731964219084,0.44940469473066214,1.3054901284805442,0.022095161738576896,fedavg,0.0,42,20
