round,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,train_loss_weighted
0,1.939002157327304,0.0518444666001994,0.14285714285714285,0.014082599864590387,
1,1.4441969136773412,0.6689930209371885,0.14285714285714285,0.11452466291175968,0.5655414969735758
2,1.0881195574672011,0.6689930209371885,0.14285714285714285,0.11452466291175968,0.49679003448596537
3,1.0607918848544509,0.6739780658025922,0.17221841179686612,0.16036349943783276,0.4035893788720829
4,1.0962754194425086,0.6849451645064806,0.25436034838845145,0.25056083719727357,0.34438001292109405
5,1.0206480344176174,0.7038883349950149,0.28644732063935807,0.2946740735463632,0.28815727656463275
6,1.0693315351354042,0.7018943170488534,0.3050869821361624,0.2867113519345211,0.2445024396716612
7,1.1019870770773883,0.7228315054835494,0.3654149424641228,0.36314297935350265,0.19383128545004713
8,1.1051635977515908,0.7178464606181456,0.31430904686174005,0.3315641930781406,0.17265278621668162
9,1.3373530102394158,0.7188434695912264,0.3293347547445908,0.34304431407021907,0.11537839454695162
10,1.2231513619541765,0.7308075772681955,0.4138602541412846,0.4198286313410815,0.12680411144728104
11,1.2744843751221806,0.7178464606181456,0.34905729753504927,0.35663627928997815,0.10642441668776172
12,1.1369162881719033,0.7577268195413759,0.43226601762901523,0.4413242577898959,0.09305315357911728
13,1.3515821940164385,0.7457627118644068,0.41961411481317806,0.4379050758203092,0.08041600575112902
14,1.447426965205762,0.7357926221335992,0.3906706391483909,0.4194286647512127,0.07911305764888867
15,1.4750202758124438,0.7367896311066799,0.3903911888689406,0.4191818517399913,0.07685051259313089
16,1.447288999291265,0.7467597208374875,0.4264370216360849,0.4609186548036905,0.05982869280612916
17,1.3955779850542367,0.7337986041874377,0.40372849400952443,0.43089376449952427,0.06473997834406252
18,1.370499896741698,0.7507477567298105,0.4433668869266058,0.4760681437632482,0.0535710380506058
19,1.4149697973863673,0.7387836490528414,0.43418632446735483,0.4478535263125565,0.05590745626555415
20,1.4500369539527094,0.7367896311066799,0.3933983869581059,0.4098415290724119,0.05067967470787533
21,1.41316639390567,0.7477567298105683,0.4369754272564577,0.4627597763431092,0.049743673258841006
22,1.2743566452208925,0.7547357926221336,0.4435556805580224,0.4723378411668686,0.060903574319768894
23,1.3283704237590876,0.7567298105682951,0.46675555703658744,0.49295356626171344,0.03693391087162992
24,1.3318338614636855,0.7577268195413759,0.46344220372323414,0.49118160582373543,0.04424198612776319
25,1.3354727078530035,0.7557328015952144,0.457974993337991,0.4895123636461904,0.056095344624021666
26,1.3822202414482208,0.7557328015952144,0.45434314298482914,0.477927124063913,0.038381334173057086
27,1.3711399580403079,0.7577268195413759,0.46912835777004397,0.4965302849799515,0.03795657550887012
28,1.383962172810601,0.7587238285144566,0.4746512132928995,0.5020573661488495,0.03311919784974869
29,1.4083102894566233,0.7547357926221336,0.45753499617668236,0.4843158780383771,0.03685531379282575
30,1.3624678481136219,0.7627118644067796,0.4723683610100472,0.4950591164647214,0.032519416094686775
31,1.3803637467495584,0.7647058823529411,0.47946801810970424,0.5012078336783883,0.027839806030940557
32,1.3779586245745035,0.765702891326022,0.492194750625664,0.506201743515288,0.034660235115849515
33,1.3429567117396286,0.765702891326022,0.48999472371837705,0.5149173064119188,0.03714815891531009
34,1.3659601014252318,0.765702891326022,0.4988452039974288,0.5119763472903498,0.034337227751927615
35,1.3549470917534376,0.7676969092721835,0.5094792162707853,0.5226553769238617,0.039771072376496505
36,1.3444066813674311,0.7706879361914257,0.5042178110093801,0.523242251571135,0.03510250490734894
37,1.4244849835174271,0.7587238285144566,0.4761257361959938,0.49455990561015867,0.04162549242152928
38,1.3592785855946488,0.7627118644067796,0.47775918619009955,0.4975681825262507,0.0274370231271284
39,1.3611880093961508,0.7666999002991027,0.4844025428334562,0.49992389874274284,0.03239689958585402
40,1.374006945019586,0.7567298105682951,0.45610106289263197,0.4774144446741895,0.04157920173156598
41,1.3365808690889764,0.765702891326022,0.4887548955464646,0.5041772853371219,0.030005509097199564
42,1.3567807752850762,0.7597208374875374,0.4806233357755606,0.49103758156365285,0.027217006842843124
43,1.3448739473746043,0.7637088733798604,0.4830149332491253,0.49765869389387024,0.03146258760217662
44,1.3219410841866719,0.765702891326022,0.4871472873814794,0.5003316543625894,0.0313103081873375
45,1.3246397218580617,0.7617148554336989,0.49668634528119304,0.5068552234332306,0.0319929737212137
46,1.3408708072017697,0.7567298105682951,0.48821683517233866,0.49583600816969203,0.03087698664604825
47,1.385253029354548,0.7597208374875374,0.4869776372118292,0.503625350464615,0.031038203185018667
48,1.3423941865756528,0.7597208374875374,0.47290022149506933,0.48078669108380057,0.03054524264923443
