level,partition,algorithm,mu,regime,hostname,selected_round,macro_f1,balanced_accuracy,rare_avg_f1,f1_actinic,f1_basal,f1_benign_kerat,f1_dermato,f1_melanoma,f1_mel_nevi,f1_vascular
L3,two_client_70_30_rare_enriched,fedavg,0.0,equal,gpu-q-27,118,0.5108934092238762,0.5032759630687476,0.36606249106249106,0.5416666666666666,0.5420560747663551,0.5,0.125,0.3303303303303303,0.8943436499466382,0.6428571428571429
L3,two_client_70_30_rare_enriched,fedavg,0.0,unequal,gpu-q-34,109,0.5080296947902972,0.4913626546628191,0.35343714089738903,0.5068493150684932,0.5821596244131455,0.5165876777251185,0.06896551724137931,0.2974683544303797,0.890299823633157,0.6938775510204082
L3,two_client_70_30_rare_enriched,fedprox,0.01,equal,gpu-q-34,148,0.5494136126909154,0.5331793156976479,0.43277722629607096,0.5578231292517006,0.5612244897959183,0.5377358490566038,0.23529411764705882,0.2994011976047904,0.8907801418439716,0.7636363636363637
L3,two_client_70_30_rare_enriched,fedprox,0.01,unequal,gpu-q-34,143,0.5568949589952694,0.5469536847775832,0.47437937751253684,0.5205479452054794,0.5806451612903226,0.4779220779220779,0.2857142857142857,0.370757180156658,0.896011396011396,0.7666666666666667
L3,two_client_70_30_rare_enriched,fednova,0.0,equal,gpu-q-34,73,0.534882237504278,0.5164534959881281,0.45021761565037915,0.47540983606557374,0.5603864734299517,0.4682080924855491,0.2608695652173913,0.35294117647058826,0.8895184135977338,0.7368421052631579
L3,two_client_70_30_rare_enriched,fednova,0.0,unequal,gpu-q-39,116,0.3104699506554095,0.3464207706005911,0.28810457516339866,0.024096385542168676,0.3877551020408163,0.035555555555555556,0.08,0.0,0.8615688859591298,0.7843137254901961
L4,two_client_90_10_rare_stress,fedavg,0.0,equal,gpu-q-39,149,0.48157138290114565,0.5070647930002685,0.29227756492124307,0.5227272727272727,0.5502183406113537,0.5446224256292906,0.07407407407407407,0.32,0.8765989465763732,0.4827586206896552
L4,two_client_90_10_rare_stress,fedavg,0.0,unequal,gpu-q-44,121,0.4239354757692374,0.46555398494255107,0.21941867656153372,0.4528301886792453,0.4731182795698925,0.5222437137330754,0.0,0.3673469387755102,0.8611001187178472,0.2909090909090909
L4,two_client_90_10_rare_stress,fedprox,0.01,equal,gpu-q-39,133,0.47812290216833075,0.5095359383135913,0.2976190476190476,0.4864864864864865,0.5619047619047619,0.5371702637889688,0.0,0.39285714285714285,0.8684416601409554,0.5
L4,two_client_90_10_rare_stress,fedprox,0.01,unequal,gpu-q-44,145,0.4523901037536926,0.4858450449661104,0.2799253034547152,0.47398843930635837,0.5145631067961165,0.4903581267217631,0.058823529411764705,0.4,0.8480451430874647,0.38095238095238093
L4,two_client_90_10_rare_stress,fednova,0.0,equal,gpu-q-44,136,0.5215167522715914,0.5293766116394358,0.39222222222222225,0.5170068027210885,0.5567010309278351,0.5131578947368421,0.15,0.36,0.8870848708487085,0.6666666666666666
L4,two_client_90_10_rare_stress,fednova,0.0,unequal,gpu-q-44,118,0.32993627325668495,0.5125051963209409,0.19357182811910092,0.3515151515151515,0.1945288753799392,0.42857142857142855,0.13636363636363635,0.017167381974248927,0.754222972972973,0.42718446601941745
