algorithm,mu,seed,hostname,selected_round,macro_f1,balanced_accuracy,rare_avg_f1,f1_actinic,f1_basal,f1_benign_kerat,f1_dermato,f1_melanoma,f1_mel_nevi,f1_vascular
fedavg,0.0,42,gpu-q-13,133,0.4702309023787817,0.49513901682028,0.29477141432802556,0.47668393782383417,0.5133689839572193,0.5389221556886228,0.0,0.3657957244655582,0.8783269961977186,0.5185185185185185
fedavg,0.0,123,gpu-q-13,141,0.5034345222369334,0.5216496123936529,0.3590986262371334,0.4685714285714286,0.5263157894736842,0.575,0.2222222222222222,0.3723150357995227,0.8768585589020206,0.4827586206896552
fedavg,0.0,456,gpu-q-13,140,0.5022422009249683,0.5109368594881625,0.31146408839779005,0.5555555555555556,0.5821596244131455,0.5582329317269076,0.0,0.30939226519337015,0.8853550295857988,0.625
fedprox,0.01,42,gpu-q-13,146,0.4831267705073979,0.4918777346284415,0.304356475034812,0.5276073619631901,0.5490196078431373,0.5087281795511222,0.0,0.3676148796498906,0.8834628190899001,0.5454545454545454
fedprox,0.01,123,?,136,0.5066099914859643,0.5183780244744441,0.3241457264585688,0.5408805031446541,0.5742574257425742,0.5767634854771784,0.0,0.3686635944700461,0.8819313466616371,0.6037735849056604
fedprox,0.01,456,?,147,0.4684949639939114,0.46883942527747946,0.24829779274223718,0.5526315789473685,0.5125628140703518,0.5843621399176955,0.0,0.3358024691358025,0.8850148367952523,0.4090909090909091
