client_id,num_train_samples,num_test_samples,local_class_distribution,accuracy,balanced_accuracy,macro_f1,worst_class_f1,worst_class_recall,per_class_recall_json,per_class_f1_json
0,202,87,"{""1"": 26, ""2"": 53, ""5"": 8}",0.40229885057471265,0.5031446540880503,0.14049464747139168,0.0,0.0,"[0.0, 0.0, 0.5094339622641509, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.627906976744186, 0.0, 0.0, 0.35555555555555557, 0.0]"
1,960,121,"{""0"": 16, ""1"": 2, ""3"": 4, ""5"": 99}",0.9090909090909091,0.4480744949494949,0.25323576592612124,0.0,0.0,"[0.8125, 0.0, 0.0, 0.0, 0.0, 0.9797979797979798, 0.0]","[0.7878787878787878, 0.0, 0.0, 0.0, 0.0, 0.9847715736040609, 0.0]"
2,381,34,"{""1"": 17, ""2"": 2, ""3"": 1, ""5"": 13, ""6"": 1}",0.38235294117647056,0.38461538461538464,0.2653061224489796,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.9230769230769231, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.8571428571428571, 1.0]"
3,925,70,"{""0"": 4, ""1"": 1, ""3"": 11, ""4"": 3, ""5"": 50, ""6"": 1}",0.7142857142857143,0.37222222222222223,0.2672268907563025,0.0,0.0,"[1.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.9, 0.0]","[0.47058823529411764, 0.0, 0.0, 0.0, 0.5, 0.9, 0.0]"
4,223,275,"{""0"": 5, ""1"": 49, ""5"": 220, ""6"": 1}",0.7672727272727272,0.4391929499072357,0.17369718450150623,0.0,0.0,"[0.8, 0.02040816326530612, 0.0, 0.0, 0.0, 0.9363636363636364, 0.0]","[0.24242424242424243, 0.0392156862745098, 0.0, 0.0, 0.0, 0.9342403628117913, 0.0]"
5,537,262,"{""2"": 90, ""3"": 2, ""4"": 160, ""5"": 5, ""6"": 5}",0.2862595419847328,0.34097222222222223,0.12535993711851295,0.0,0.0,"[0.0, 0.0, 0.6111111111111112, 0.0, 0.09375, 1.0, 0.0]","[0.0, 0.0, 0.6395348837209303, 0.0, 0.1694915254237288, 0.0684931506849315, 0.0]"
6,339,267,"{""0"": 25, ""1"": 7, ""2"": 26, ""3"": 4, ""4"": 28, ""5"": 174, ""6"": 3}",0.7565543071161048,0.35132986881755357,0.33474250180577164,0.0,0.0,"[0.8, 0.0, 0.6153846153846154, 0.0, 0.10714285714285714, 0.9367816091954023, 0.0]","[0.7272727272727273, 0.0, 0.5614035087719298, 0.0, 0.1875, 0.8670212765957447, 0.0]"
7,325,265,"{""0"": 7, ""2"": 15, ""4"": 4, ""5"": 230, ""6"": 9}",0.8603773584905661,0.39354037267080744,0.2666081649747712,0.0,0.0,"[0.42857142857142855, 0.0, 0.6, 0.0, 0.0, 0.9391304347826087, 0.0]","[0.46153846153846156, 0.0, 0.47368421052631576, 0.0, 0.0, 0.9310344827586207, 0.0]"
8,2946,163,"{""0"": 8, ""2"": 33, ""4"": 27, ""5"": 95}",0.7484662576687117,0.6532972266524899,0.338955750392216,0.0,0.0,"[0.875, 0.0, 0.7272727272727273, 0.0, 0.07407407407407407, 0.9368421052631579, 0.0]","[0.6666666666666666, 0.0, 0.7164179104477612, 0.0, 0.13793103448275862, 0.8516746411483254, 0.0]"
9,169,461,"{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 447, ""6"": 9}",0.8915401301518439,0.2738894215404283,0.1509858845498984,0.0,0.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.9172259507829977, 0.0]","[0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 0.9457900807381776, 0.0]"
