round,a_eff,mean_tau,global_update_norm,straggler_share,dominating_cid,max_contribution_share,server_lr
1,4202.774374124306,429.27743684886536,0.7483866484901445,0.2457881087357447,4,0.2457881087357447,0.3
2,4658.564514016041,474.85642928500073,0.6887771133944955,0.33903665867351557,3,0.33903665867351557,0.3
3,5963.5193378050535,605.3519337805052,0.5850060409960038,0.02106123414491444,5,0.1957384713643285,0.3
4,4547.000124786772,463.69073783359494,0.7048114154470404,0.09650518148182187,5,0.4115405706746198,0.3
5,4839.4763311473525,492.9119451976594,0.8636013831075695,0.5208447520774827,4,0.5208447520774827,0.3
6,4451.761096050326,454.176109604681,0.5738581355365446,0.24470665370613032,3,0.24470665370613032,0.3
7,3948.2571312983387,403.823890395319,0.5629934014562519,0.3635482578671674,1,0.3635482578671674,0.3
8,5187.508206079636,527.7508206079635,0.4845366032387626,0.028183819068297075,3,0.20572117363195674,0.3
9,4714.128728414446,480.41287284144425,0.4523266724210906,0.21125484447090115,3,0.21125484447090115,0.3
10,4199.62755497596,428.96275153418014,0.4283108770194443,0.23839587121808184,0,0.23839587121808184,0.3
11,4325.607473505932,441.56072498929643,0.5021012519429717,0.3591614706804652,4,0.3591614706804652,0.3
12,5241.545225053252,533.146139574711,0.5030514107347476,0.17424918921264315,6,0.17424918921264315,0.3
13,4639.556158127589,472.95561581275865,0.4273457395802949,0.17880119343987638,5,0.21752882764774456,0.3
14,4322.451285139946,441.24332810047093,0.5999688363003536,0.4086140625772188,1,0.4086140625772188,0.3
15,4045.543398775078,413.5534465534466,0.555168490784594,0.3937257328231354,4,0.3937257328231354,0.3
16,4145.500214075145,423.5500214071642,0.40996707215065537,0.19707876049563886,5,0.19707876049563886,0.3
17,4634.071648240524,472.4071642643071,0.43987789998202254,0.24450852354868272,4,0.24450852354868272,0.3
18,4185.576510331129,427.5224775224775,0.8725670196169782,0.5476765673272584,3,0.5476765673272584,0.3
19,4722.371365059938,481.235336092479,0.8702648122661055,0.4391133054866242,1,0.4391133054866242,0.3
20,4345.468268160343,443.5450264021693,0.5093891714319654,0.2679971575720791,1,0.2679971575720791,0.3
21,5732.274867989156,582.2274867989154,0.5321084543303417,0.02426253337580752,4,0.1856087407246464,0.3
22,5156.245183392243,524.624518338804,0.5165913698457778,0.23072970492702705,2,0.23072970492702705,0.3
23,5397.847866457441,548.7847866419295,0.5407862957339983,0.25889953772699936,1,0.25889953772699936,0.3
24,4196.02352786502,428.5671471385757,0.9431003728453318,0.5482634399753012,2,0.5482634399753012,0.3
25,4439.979489938889,452.9961467104324,0.833113246262897,0.41225717772613363,0,0.41225717772613363,0.3
26,5114.395604399069,520.4395604395604,0.49311350163939294,0.2545986480384897,3,0.2545986480384897,0.3
27,4799.180289136155,488.91622663051237,0.5810468639222204,0.3594221070995547,0,0.3594221070995547,0.3
28,3551.2459231975013,364.12458969601823,0.4334354724040484,0.23571223663721458,0,0.23571223663721458,0.3
29,4352.112420669956,444.21036106750387,0.6659816118778332,0.3707072922376907,3,0.3707072922376907,0.3
30,5683.376623376626,577.3376623376622,0.4820711561371036,0.2063231306359994,1,0.2063231306359994,0.3
31,4898.63931730738,498.86385043527895,0.39963636655565793,0.08738476936288689,2,0.21678397331960048,0.3
32,4777.697643687222,486.76880262594545,0.5206991430839863,0.42997194184841603,3,0.42997194184841603,0.3
33,5221.088911088915,531.1088911088912,0.4668450984972644,0.19042004167833818,0,0.19042004167833818,0.3
34,5153.801172123586,524.3800485229057,0.5353322431228658,0.3908385395507227,1,0.3908385395507227,0.3
35,3697.3021482235363,378.69501926644784,0.8884845335651895,0.514743358410543,3,0.514743358410543,0.3
36,4376.570200078229,446.6486370772085,0.5207133010162776,0.20478169837990276,3,0.21358746873614057,0.3
37,3370.863549723348,346.0493791922363,1.04955568077539,0.4251198198175104,3,0.4251198198175104,0.3
38,4672.593121168011,476.25931211645496,0.46304996195381853,0.2381330435221655,2,0.2381330435221655,0.3
39,4722.805235618244,481.27872127872126,0.6266259927733817,0.42467743568457034,0,0.42467743568457034,0.3
40,4704.170115602196,479.4170115598687,0.3943201471610921,0.30062287025063666,4,0.30062287025063666,0.3
41,4223.697838387299,431.2989867275582,1.3516926482905725,0.37091122380986,5,0.47924378627735986,0.3
42,4169.401257013271,425.9049521906665,0.965736886716301,0.531922763008498,3,0.531922763008498,0.3
