level,label,js_divergence,method,delta_macro_f1,delta_rare_avg_f1,delta_balanced_acc
L0,IID 50/50,0.0,fedprox,-0.002989924854089665,-0.012215620750439471,0.00778182125689908
L1,Quantity 86/14,0.0,fedprox,0.002471503307319267,0.009425780405058148,0.006842083972907198
L1,Quantity 86/14,0.0,fednova,0.004658809235352002,0.009105478093558328,0.024980746274344323
L2,Label-skew 50/50,0.1037,fedprox,-0.012191611596885865,-0.023251558202697697,-0.014832106450683336
L3,Mixed 70/30,0.1206,fedprox,-0.0029985526821888486,0.0034354701402047882,-0.0006837916334083705
L3,Mixed 70/30,0.1206,fednova,0.014908647622836724,-0.03318420076161965,-0.0036892510041043325
L4,Severe 86/14,0.3853,fedprox,-0.025687650943132745,-0.07562020692097648,-0.05613257205502126
L4,Severe 86/14,0.3853,fednova,-0.011780126252813439,-0.014738542046006997,-0.03196331318362189
