E,seed,delta_macro_f1,delta_balanced_acc,delta_accuracy,fedavg_macro_f1,fedprox_macro_f1,delta_f1_class_0,delta_f1_class_1,delta_f1_class_2,delta_f1_class_3,delta_f1_class_4,delta_f1_class_5,delta_f1_class_6
1,42,0.009050219619738287,0.0013580480306780718,0.0009975062344139696,0.3664587752098205,0.3755089948295588,-0.03510971786833855,0.025730994152046827,-0.04452871072589379,0.0,0.10638959863477371,0.005856841817258651,0.005012531328320802
20,42,0.06845445893383356,0.05180062501321814,0.009975062344139585,0.4477360615971731,0.5161905205310067,0.010489510489510467,0.016582794152887603,0.04674165171342287,0.2727272727272727,0.058060914335339,0.007874716376740643,0.06670435274166198
20,123,0.0014142243420569578,0.018652870973838998,-0.0014962593516208988,0.4966340813518913,0.49804830569394826,-0.038775510204081653,-0.038171611868484334,-0.038706366234932676,-0.012987012987012991,0.23290779366337716,-0.0010343886411330327,-0.09333333333333338
20,456,0.0003861618772313946,-0.020922716957211318,0.015461346633416473,0.5105125739973688,0.5108987358746002,0.03329752953813103,0.02537549626585972,-0.026889796384613196,-0.10677966101694919,0.16799010853139168,0.008284735375071461,-0.09857527916827113
