E,n_seeds,mean_delta,median_delta,sem_delta,fedprox_wins,wilcoxon_p
1,1,0.009050219619738287,0.009050219619738287,,1,
20,3,0.023418281717707306,0.0014142243420569578,0.018387539088497724,3,
