seed,algorithm,mu,local_epochs,round,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_f1_class_0,val_f1_class_1,val_f1_class_2,val_f1_class_3,val_f1_class_4,val_f1_class_5,val_f1_class_6,train_loss,n_kept,n_dropped
42,fedprox,0.01,20,1,1.310760287915246,0.7407776669990029,0.368084920543937,0.3233266772871785,0.33766233766233766,0.5419354838709678,0.5,0.0,0.0,0.8836889194769443,0.0,0.4784877335891312,1,1
42,fedprox,0.01,20,2,1.6778250781750512,0.7437686939182453,0.364249684741488,0.3318559671519499,0.43636363636363634,0.5662650602409639,0.4473684210526316,0.0,0.0,0.8729946524064172,0.0,0.3192109140867275,1,1
42,fedprox,0.01,20,3,1.837415985309947,0.7407776669990029,0.3430574889591283,0.32410843526445643,0.29850746268656714,0.56,0.5296442687747036,0.0,0.0,0.8806073153899241,0.0,0.18662298493589513,1,1
42,fedprox,0.01,20,4,2.346431688083371,0.7577268195413759,0.3951376492360099,0.35450112243021187,0.410958904109589,0.6363636363636364,0.5429864253393665,0.0,0.0,0.8911988911988912,0.0,0.060445841708391804,1,1
42,fedprox,0.01,20,5,2.605708506266593,0.7597208374875374,0.39217039790810276,0.3568446389477734,0.4057971014492754,0.6356589147286822,0.5675675675675675,0.0,0.0,0.8888888888888888,0.0,0.0009221862651113853,1,1
42,fedprox,0.01,20,6,2.738890243670044,0.7587238285144566,0.39281620019324937,0.3562864549122477,0.4166666666666667,0.6307692307692307,0.5581395348837209,0.0,0.0,0.8884297520661157,0.0,0.0004285032959939246,1,1
42,fedprox,0.01,20,7,2.819857823171264,0.7587238285144566,0.39281620019324937,0.3562864549122477,0.4166666666666667,0.6307692307692307,0.5581395348837209,0.0,0.0,0.8884297520661157,0.0,0.0002704190191933558,1,1
42,fedprox,0.01,20,8,2.884980074429916,0.7597208374875374,0.39302910204549546,0.3567683329185474,0.4166666666666667,0.6307692307692307,0.5607476635514018,0.0,0.0,0.8891947694425327,0.0,0.00019560943485223302,1,1
42,fedprox,0.01,20,9,2.9326690791967738,0.7617148554336989,0.3949034571985392,0.3584088861824165,0.4225352112676056,0.6363636363636364,0.5592417061611374,0.0,0.0,0.8907216494845361,0.0,0.00015172436286401862,1,1
42,fedprox,0.01,20,10,2.975549932491268,0.7627118644067796,0.40140406042045385,0.36340639356053306,0.4444444444444444,0.6461538461538462,0.5622119815668203,0.0,0.0,0.8910344827586207,0.0,0.00012238226409000757,1,1
42,fedprox,0.01,20,11,3.0147232987944887,0.7627118644067796,0.4003182609739987,0.36404779941000864,0.4444444444444444,0.6511627906976745,0.5633802816901409,0.0,0.0,0.8893470790378006,0.0,0.00010396425482386909,1,1
42,fedprox,0.01,20,12,3.047489039562754,0.7607178464606181,0.3977208583765961,0.35971782985157297,0.43243243243243246,0.6412213740458015,0.5550239234449761,0.0,0.0,0.8893470790378006,0.0,9.059993102463596e-05,1,1
42,fedprox,0.01,20,13,3.081426113695352,0.7607178464606181,0.39989245726950645,0.3616702264847945,0.4383561643835616,0.6461538461538462,0.5581395348837209,0.0,0.0,0.8890420399724328,0.0,7.65006410328865e-05,1,1
