round,a_eff,mean_tau,global_update_norm,straggler_share,dominating_cid,max_contribution_share,server_lr
1,4202.774374124305,429.27743684886536,2.492665223368473,0.24733974889526977,4,0.24733974889526977,1.0
2,4658.564514016041,474.85642928500073,2.170784264874656,0.4268688356211424,3,0.4268688356211424,1.0
3,5963.5193378050535,605.3519337805052,1.8977000367717072,0.04810907250647368,5,0.19466293570325538,1.0
4,4547.000124786772,463.690737833595,1.9707977944705932,0.13160372925602992,5,0.39990103677707306,1.0
5,4839.4763311473525,492.9119451976594,2.8328469243849033,0.4863857339196561,4,0.4863857339196561,1.0
6,4451.761096050326,454.1761096046811,1.8062757424153333,0.2327517066506506,3,0.2327517066506506,1.0
7,3948.2571312983387,403.8238903953189,2.037790774351745,0.3004346117015616,5,0.32957202588969314,1.0
8,5187.508206079637,527.7508206079635,1.613565970601304,0.025816340261739384,3,0.2260810476028843,1.0
9,4714.1287284144455,480.41287284144425,1.2739670909448504,0.204017128810367,3,0.204017128810367,1.0
10,4199.62755497596,428.96275153418003,1.2498094912275148,0.22714108158877105,0,0.22714108158877105,1.0
11,4325.607473505932,441.56072498929643,1.8113793200873824,0.38745560071421564,4,0.38745560071421564,1.0
12,5241.545225053252,533.146139574711,1.87731045545729,0.1635228298882551,6,0.1635228298882551,1.0
13,4639.556158127588,472.9556158127586,2.18043176714571,0.16053136345258323,5,0.2619630445182321,1.0
14,4322.451285139947,441.24332810047093,2.2264368627741207,0.382744024417665,1,0.382744024417665,1.0
15,4045.5433987750785,413.5534465534465,4.466975331285163,0.5647532811292182,4,0.5647532811292182,1.0
16,4145.500214075145,423.55002140716425,2.250010146557158,0.18410130668259805,2,0.18634538067844797,1.0
17,4634.071648240524,472.40716426430714,1.92011981775448,0.3578968013786775,4,0.3578968013786775,1.0
18,4185.576510331128,427.52247752247746,5.249639583756121,0.6681033208587507,3,0.6681033208587507,1.0
19,4722.3713650599375,481.235336092479,5.285461130964467,0.5312934440479755,1,0.5312934440479755,1.0
20,4345.468268160343,443.54502640216924,2.5328417253837086,0.20013001178715564,5,0.2662962580597743,1.0
21,5732.274867989156,582.2274867989154,1.5812873468385755,0.03832402200073793,4,0.1899520145794949,1.0
22,5156.245183392243,524.624518338804,1.3696142970288874,0.3252344495783503,2,0.3252344495783503,1.0
23,5397.847866457441,548.7847866419295,1.3834969825330206,0.2949570042056894,1,0.2949570042056894,1.0
24,4196.023527865021,428.5671471385757,5.792728413978135,0.7312069458453049,2,0.7312069458453049,1.0
25,4439.979489938888,452.9961467104324,8.42604193024317,0.5582786733898882,0,0.5582786733898882,1.0
26,5114.395604399069,520.4395604395605,3.315698606620631,0.35689253212548494,3,0.35689253212548494,1.0
27,4799.180289136155,488.91622663051237,3.0079219395734174,0.42460042547425764,0,0.42460042547425764,1.0
28,3551.2459231975017,364.12458969601823,2.554851381632831,0.17472350831537842,5,0.22310483739581485,1.0
29,4352.112420669955,444.21036106750387,3.140672061713484,0.422903303226151,3,0.422903303226151,1.0
30,5683.376623376627,577.3376623376623,2.6293765121094435,0.2806902614105608,1,0.2806902614105608,1.0
31,4898.63931730738,498.863850435279,1.4750826711294671,0.08527645415910869,2,0.2477947497704055,1.0
32,4777.697643687221,486.76880262594545,2.0110619429617604,0.48218471979456545,3,0.48218471979456545,1.0
33,5221.088911088915,531.108891108891,1.7952087501163905,0.2453474763572974,0,0.2453474763572974,1.0
34,5153.801172123586,524.3800485229057,1.472224572389122,0.4029498206680472,1,0.4029498206680472,1.0
35,3697.3021482235363,378.69501926644784,4.966107258657824,0.640904721724341,3,0.640904721724341,1.0
36,4376.570200078229,446.64863707720855,4.561551354264717,0.45174128678864733,6,0.45174128678864733,1.0
37,3370.863549723348,346.0493791922363,14.398200098634423,0.6012152578665486,3,0.6012152578665486,1.0
38,4672.593121168011,476.25931211645496,2.0265233340169657,0.17531814973330231,0,0.2072150549497277,1.0
39,4722.805235618245,481.27872127872126,1.3297997339519412,0.4618196835224483,0,0.4618196835224483,1.0
40,4704.170115602195,479.4170115598687,1.234943625570896,0.329558294626206,4,0.329558294626206,1.0
41,4223.697838387299,431.2989867275582,1.772303667367092,0.4410029886843038,5,0.4410029886843038,1.0
42,4169.40125701327,425.90495219066645,1.9692608058368977,0.48332681552652546,3,0.48332681552652546,1.0
43,4935.245652344375,502.52276295133436,2.601788349917524,0.4004796934424941,0,0.4004796934424941,1.0
44,5280.1613473615835,537.0161267304125,0.3726674824778261,0.13038042938427444,0,0.18266201613520314,1.0
45,4933.223918938215,502.32239189382045,0.6672764235876603,0.07825382161084227,3,0.253445968086894,1.0
46,4731.357214252543,482.13572142143573,0.5002384379891605,0.24897638052385662,0,0.24897638052385662,1.0
47,5235.931898540028,532.5931211645498,0.5565667973013884,0.31977734756000503,1,0.31977734756000503,1.0
48,5027.188525759956,511.7188525759954,0.4941344614014557,0.14988539003666576,3,0.18781453314724153,1.0
49,4125.184815328134,421.5184815184815,1.1475779579095857,0.2823735809425466,5,0.2823735809425466,1.0
50,5381.67404024547,547.1674040245468,0.6822965081324637,0.18895824839799036,5,0.18895824839799036,1.0
51,5428.194662480451,551.8194662480377,0.0977498280968217,0.09992319647642521,5,0.21273334094095966,1.0
52,4083.212501783936,417.321250178393,0.4225448827510099,0.18274013109500156,3,0.19784559683812664,1.0
53,4845.962614336451,493.5962608819752,0.9976644428833493,0.33938231064071145,3,0.33938231064071145,1.0
54,4227.20016350534,431.71999429142284,0.1938763006936961,0.28072521486121477,2,0.28072521486121477,1.0
55,4615.578707007336,470.55787070072785,0.4161711628143917,0.20590151673060647,1,0.20590151673060647,1.0
