condition,cond_idx,seed,hostname,selected_round,macro_f1,balanced_accuracy,rare_avg_f1,f1_actinic,f1_basal,f1_benign_kerat,f1_dermato,f1_melanoma,f1_mel_nevi,f1_vascular
FedAvg,0,42,gpu-q-20,149,0.44968655693632137,0.4753639663659915,0.24678710435485054,0.4842105263157895,0.509090909090909,0.5347368421052632,0.0,0.3089887640449438,0.8794063079777366,0.43137254901960786
FedAvg,0,123,gpu-q-39,146,0.47537154800955134,0.5107775519109067,0.2963826297159631,0.5,0.4818181818181818,0.5707434052757794,0.0,0.31339031339031337,0.8858913598250091,0.5757575757575758
FedAvg,0,456,gpu-q-12,123,0.4804353660263735,0.4938963219276419,0.2805147536721695,0.5251396648044693,0.5555555555555556,0.5535353535353535,0.0,0.22929936305732485,0.8872727272727273,0.6122448979591837
FedProx symmetric (μ=0.01 both),1,42,gpu-q-24,149,0.4648993277272836,0.504368966264104,0.2760942760942761,0.49162011173184356,0.5373134328358209,0.5438202247191011,0.0,0.3838383838383838,0.8532586965213914,0.4444444444444444
FedProx symmetric (μ=0.01 both),1,123,gpu-q-65,126,0.4971187437314074,0.4994067043597931,0.323910146582905,0.4968152866242038,0.5638766519823789,0.5577889447236181,0.0,0.38349514563106796,0.8896198830409356,0.5882352941176471
FedProx symmetric (μ=0.01 both),1,456,gpu-q-22,144,0.4763586105598658,0.46874879851728907,0.30997213346755953,0.5068493150684932,0.5674418604651162,0.44314868804664725,0.06451612903225806,0.2835820895522388,0.8871540099361249,0.5818181818181818
"⭐ Anchor-large (μ_0=0.01, μ_1=0)",2,42,gpu-q-24,95,0.465851264473457,0.47118764022689624,0.2502947244326555,0.5029239766081871,0.55,0.5650224215246636,0.0,0.33421750663129973,0.892128279883382,0.4166666666666667
"⭐ Anchor-large (μ_0=0.01, μ_1=0)",2,123,gpu-q-46,126,0.4960684232656528,0.5218773262630977,0.34589956584013604,0.5277777777777778,0.5306122448979592,0.49586776859504134,0.06557377049180328,0.38879159369527144,0.8805224740683827,0.5833333333333334
"⭐ Anchor-large (μ_0=0.01, μ_1=0)",2,456,gpu-q-22,143,0.5243246514239032,0.5377861410695725,0.3658768898051581,0.5531914893617021,0.5572139303482587,0.5761316872427984,0.10526315789473684,0.3794642857142857,0.8861047835990888,0.6129032258064516
"Anchor-small CTRL (μ_0=0, μ_1=0.01)",3,42,gpu-q-29,121,0.46527298961661306,0.49727894395058253,0.2806861348528015,0.49746192893401014,0.5157894736842106,0.5305343511450382,0.0,0.3605769230769231,0.8710667689946278,0.48148148148148145
"Anchor-small CTRL (μ_0=0, μ_1=0.01)",3,123,gpu-q-12,123,0.4550950450506401,0.4744864871776123,0.2741880341880342,0.45454545454545453,0.4864864864864865,0.5470692717584369,0.0,0.28923076923076924,0.875,0.5333333333333333
"Anchor-small CTRL (μ_0=0, μ_1=0.01)",3,456,gpu-q-29,147,0.4703902981948161,0.4784820576438013,0.25098154691794267,0.5316455696202531,0.5797101449275363,0.5432098765432098,0.08333333333333333,0.1696113074204947,0.8852218555188852,0.5
