class_id,class_name,fedavg_mean,fedprox_mean,mean_diff,n_pairs,wilcoxon_p
0,actinic_keratoses,0.4040442669837236,0.40371057613580835,-0.00033369084791524674,10,0.845703125
1,basal_cell_carcinoma,0.39017528369594373,0.440147662415451,0.04997237871950723,10,0.193359375
2,benign_keratosis_like_lesions,0.2954968040011695,0.32600418672384746,0.03050738272267798,10,0.6953125
3,dermatofibroma,0.20082542063502862,0.21881334517583467,0.017987924540806034,10,0.431640625
4,melanoma,0.247557882076657,0.2323220393687741,-0.015235842707882825,10,0.625
5,melanocytic_nevi,0.8782664260976937,0.8778506011157786,-0.00041582498191521377,10,0.6953125
6,vascular_lesions,0.6388046908718022,0.6132257118876507,-0.025578978984151506,10,0.16015625
