round,client_id,num_samples,val_loss,val_macro_f1
1,6,92,6.826747822500059,0.04364742257021616
1,1,1872,1.331186638574895,0.25312635382172266
1,8,30,5.006878681220894,0.023944829408405564
1,0,1874,1.3703533399140728,0.2581099855531055
1,4,256,17.329307204348257,0.014082599864590387
2,3,173,11.054819668991378,0.009100937672366244
2,6,92,4.981588234335689,0.021351090947791418
2,5,81,6.847501484251926,0.008067895316217464
2,4,256,11.570017536045428,0.014082599864590387
2,1,1872,1.3716854847677922,0.2671846464156576
3,9,30,9.528152635066602,0.024435514678616266
3,5,81,8.130536664162177,0.015555738108929597
3,7,30,7.326854583154528,0.04378567299426322
3,2,1872,1.415188710924873,0.2639159592831791
3,6,92,6.8687299279605645,0.023272727272727275
4,1,1872,1.5265965703002002,0.27173273001683546
4,7,30,9.352943703755068,0.055955157172491256
4,9,30,10.979549523008428,0.030653473510616366
4,3,173,10.613746224704792,0.009100937672366244
4,5,81,6.671378014451366,0.037919576962096226
5,5,81,8.337987381582364,0.006950993563569628
5,9,30,11.754088531106206,0.03889211667739001
5,6,92,8.870652933776794,0.023200524171021066
5,8,30,15.522015003953593,0.050022661584527714
5,1,1872,1.993382429553647,0.25249018990583777
6,4,256,13.319716446896493,0.014082599864590387
6,3,173,14.098742212160516,0.026975683890577504
6,6,92,7.75004766279774,0.021140640672235898
6,1,1872,2.2170373342804988,0.24067345677195254
6,9,30,12.617721523387601,0.02801526196631288
7,2,1872,2.558781123470333,0.23711513315705565
7,3,173,12.22217467299487,0.05302200596318244
7,0,1874,2.9940044307043165,0.16981015545496017
7,6,92,8.99273508495966,0.030581479683276094
7,4,256,13.743355598906101,0.014082599864590387
8,2,1872,2.7509242308104147,0.22884135773621608
8,0,1874,3.1789384532426435,0.2032448666043516
8,8,30,8.729403837133619,0.04499019229718927
8,9,30,10.195398954427612,0.028807270145360758
8,4,256,11.710047000189007,0.014082599864590387
9,8,30,13.333972931859025,0.03988464533425835
9,2,1872,2.569240109751731,0.25914543293913755
9,1,1872,2.6748970724412,0.25087412695958133
9,5,81,7.072573397000314,0.02179245004792744
9,7,30,8.145260830819309,0.07923065583109921
10,4,256,12.412959777702719,0.014082599864590387
10,3,173,7.5966678668827505,0.030050117970797652
10,7,30,7.686484504197673,0.060515188230219764
10,6,92,7.155190759736781,0.028860999801745838
10,5,81,7.928926388501884,0.01846542226305193
11,6,92,6.830117449090108,0.02661418997978938
11,0,1874,2.1425681756001524,0.1853318503584665
11,3,173,10.03057276667769,0.04415708162982991
11,8,30,8.831730825475539,0.05270354844010588
11,1,1872,1.7637306242616677,0.24943632011266723
12,1,1872,2.278374584460425,0.24488277787934282
12,0,1874,2.1029253319752654,0.242000803085415
12,7,30,7.972224409535067,0.07041643889972218
12,3,173,12.138309554825513,0.009100937672366244
12,6,92,9.847120751887708,0.003940886699507389
13,7,30,15.35862253860367,0.06537440936401509
13,6,92,12.81193693661143,0.016495896432075132
13,1,1872,2.004988334114744,0.2600279966806114
13,9,30,23.164760578189746,0.039307907027005304
13,5,81,10.885326856154864,0.0034081226924169267
