experiment,n_seeds,mean_delta_best_val,mean_delta_final_round,mean_delta_last_K_mean,sd_delta_best_val,flip_rate
asymmetric_mu_L4_vs_FedAvg,3,0.042795505512144984,0.04978032835184173,0.04858658137609815,0.012863765759970522,0.0
extended_rounds_L3,3,0.01136751243780106,-0.013714552271861321,0.015348422751026195,0.03445152833865825,0.3333333333333333
li2020_asymmetric_L4,3,0.13786648779032226,0.08841690459024538,0.10429154329066852,0.012250765661196381,0.0
node_pinned_L4,3,0.006273916857550854,0.01729261297363836,0.04102221995843458,0.04980263447425603,0.3333333333333333
perfect_storm_L4,3,0.29312575950400394,0.26519096329567404,0.25029132269004145,0.05528743542356434,0.0
two_client_90_10_rare_stress,3,0.022794277784891053,0.06267316126899801,0.03884349029657188,0.03729002167539052,0.3333333333333333
