source,algorithm,mu,seed,tail,file,macro_f1_r20,min_class_f1_r20,max_class_f1_r20,range_class_f1_r20,n_classes_below_r20,class0_f1_r20,class1_f1_r20,class2_f1_r20,class3_f1_r20,class4_f1_r20,class5_f1_r20,class6_f1_r20,collapsed,n_classes_collapsed_final,macro_f1_final
fedprox_perfect_storm_L4,fedprox,1.0,42,_sh-random_stragglers,history_fedprox_mu1.0_E20_sh-random_stragglers_s42.csv,0.2955273250540179,0.0,0.8544726301735648,0.8544726301735648,3,0.3380281690140845,0.4761904761904761,0.4,0.0,0.0,0.8544726301735648,0.0,True,2,0.3878695181331447
fedprox_perfect_storm_L4,fedavg,0.0,456,_sh-random_stragglers_drop,history_fedavg_mu0.0_E20_sh-random_stragglers_drop_s456.csv,0.030447599450170587,0.0,0.1983621474067333,0.1983621474067333,6,0.0,0.0,0.1983621474067333,0.0,0.0,0.0147710487444608,0.0,True,6,0.030447599450170587
fedprox_perfect_storm_L4,fedavg,0.0,123,_sh-random_stragglers_drop,history_fedavg_mu0.0_E20_sh-random_stragglers_drop_s123.csv,0.11479897348160821,0.0,0.8035928143712575,0.8035928143712575,6,0.0,0.0,0.0,0.0,0.0,0.8035928143712575,0.0,True,6,0.11479897348160821
fedprox_perfect_storm_L4,fedprox,0.01,123,_sh-random_stragglers,history_fedprox_mu0.01_E20_sh-random_stragglers_s123.csv,0.3677154659521367,0.0,0.8884239888423989,0.8884239888423989,3,0.4871794871794871,0.6101694915254238,0.5882352941176471,0.0,0.0,0.8884239888423989,0.0,False,1,0.43921925387859745
fedprox_perfect_storm_L4,fedavg,0.0,42,_sh-random_stragglers_drop,history_fedavg_mu0.0_E20_sh-random_stragglers_drop_s42.csv,0.11438830469351115,0.0,0.800718132854578,0.800718132854578,6,0.0,0.0,0.0,0.0,0.0,0.800718132854578,0.0,True,6,0.11438830469351115
fedprox_perfect_storm_L4,fedprox,0.01,456,_sh-random_stragglers,history_fedprox_mu0.01_E20_sh-random_stragglers_s456.csv,0.3498253463339598,0.0,0.8795962509012256,0.8795962509012256,3,0.4545454545454545,0.6181818181818182,0.4964539007092198,0.0,0.0,0.8795962509012256,0.0,True,3,0.37080948592811047
fedprox_perfect_storm_L4,fedprox,1.0,123,_sh-random_stragglers,history_fedprox_mu1.0_E20_sh-random_stragglers_s123.csv,0.24445101037051956,0.0,0.8644986449864499,0.8644986449864499,4,0.0,0.4585987261146497,0.3880597014925373,0.0,0.0,0.8644986449864499,0.0,True,3,0.31919093793563674
fedprox_perfect_storm_L4,fedprox,1.0,456,_sh-random_stragglers,history_fedprox_mu1.0_E20_sh-random_stragglers_s456.csv,0.2623065577172225,0.0,0.8424479166666666,0.8424479166666666,3,0.1111111111111111,0.4915254237288136,0.3910614525139664,0.0,0.0,0.8424479166666666,0.0,True,3,0.3481473114435306
fedprox_perfect_storm_L4,fedprox,0.01,42,_sh-random_stragglers,history_fedprox_mu0.01_E20_sh-random_stragglers_s42.csv,0.3660194656847878,0.0,0.8946996466431095,0.8946996466431095,3,0.4615384615384615,0.6290322580645161,0.559322033898305,0.0,0.0175438596491228,0.8946996466431095,0.0,False,1,0.452875598921937
li2020_asymmetric_L4,fedavg,0.0,42,_sh-fixed_stragglers_drop,history_fedavg_mu0.0_E20_sh-fixed_stragglers_drop_s42.csv,0.34486026223834426,0.0,0.8882758620689655,0.8882758620689655,3,0.4225352112676056,0.592,0.5112107623318386,0.0,0.0,0.8882758620689655,0.0,True,3,0.34502497667086107
li2020_asymmetric_L4,fedprox,0.01,42,_sh-fixed_stragglers_drop,history_fedprox_mu0.01_E20_sh-fixed_stragglers_drop_s42.csv,0.36303959938127733,0.0,0.8901098901098901,0.8901098901098901,3,0.4507042253521127,0.6412213740458015,0.5592417061611374,0.0,0.0,0.8901098901098901,0.0,True,3,0.36101855422211726
li2020_asymmetric_L4,fedprox,0.01,456,_sh-fixed_stragglers,history_fedprox_mu0.01_E20_sh-fixed_stragglers_s456.csv,0.35886153258021597,0.0,0.8854314002828855,0.8854314002828855,3,0.4878048780487805,0.603448275862069,0.5176470588235295,0.0,0.0176991150442477,0.8854314002828855,0.0,False,1,0.46231989952401625
li2020_asymmetric_L4,fedavg,0.0,456,_sh-fixed_stragglers_drop,history_fedavg_mu0.0_E20_sh-fixed_stragglers_drop_s456.csv,0.37009369225621125,0.0,0.8894989704873026,0.8894989704873026,3,0.5142857142857142,0.6218487394957983,0.5650224215246636,0.0,0.0,0.8894989704873026,0.0,True,3,0.36942250443882785
li2020_asymmetric_L4,fedprox,0.01,42,_sh-fixed_stragglers,history_fedprox_mu0.01_E20_sh-fixed_stragglers_s42.csv,0.3524057222120603,0.0,0.8833333333333333,0.8833333333333333,3,0.4545454545454545,0.59375,0.5352112676056338,0.0,0.0,0.8833333333333333,0.0,False,1,0.44596127174241623
li2020_asymmetric_L4,fedprox,0.01,123,_sh-fixed_stragglers,history_fedprox_mu0.01_E20_sh-fixed_stragglers_s123.csv,0.36457575447400087,0.0,0.8856345885634589,0.8856345885634589,3,0.4597701149425287,0.6727272727272727,0.5338983050847458,0.0,0.0,0.8856345885634589,0.0,False,1,0.44348391775880874
li2020_asymmetric_L4,fedavg,0.0,123,_sh-fixed_stragglers_drop,history_fedavg_mu0.0_E20_sh-fixed_stragglers_drop_s123.csv,0.36710745497971203,0.0,0.8953168044077136,0.8953168044077136,3,0.46875,0.628099173553719,0.5775862068965517,0.0,0.0,0.8953168044077136,0.0,True,3,0.3720668941448162
li2020_asymmetric_L4,fedprox,0.01,123,_sh-fixed_stragglers_drop,history_fedprox_mu0.01_E20_sh-fixed_stragglers_drop_s123.csv,0.34965363614793377,0.0,0.8876636802205375,0.8876636802205375,3,0.4,0.6129032258064516,0.5470085470085471,0.0,0.0,0.8876636802205375,0.0,True,3,0.3514244630807726
li2020_asymmetric_L4,fedavg,0.0,456,,history_fedavg_mu0.0_E20_s456.csv,0.3507622225570075,0.0,0.8898614150255288,0.8898614150255288,3,0.4444444444444444,0.5740740740740741,0.5294117647058824,0.0,0.0175438596491228,0.8898614150255288,0.0,False,1,0.4208802502060642
