algorithm,seed,c0_lr,c1_lr,ratio_value,ratio_label,ratio_order,macro_f1,balanced_accuracy,rare_avg_f1,f1_actinic,f1_basal,f1_benign_kerat,f1_dermato,f1_melanoma,f1_mel_nevi,f1_vascular,file
fedavg,456,0.01,0.0002,50,50:1,50,0.37212719814415124,0.40861741733417034,0.002976190476190476,0.5771812080536913,0.5726495726495726,0.5611814345991561,0.0,0.008928571428571428,0.8849496002780675,0.0,test_at_best_fedavg_mu0.0_E20_lrPC-c0lr0.01-c1lr0.0002_s456.json
fednova,42,0.01,0.01,1,1:1 (symmetric),1,0.5279076891196571,0.5181695298784007,0.3873215402150774,0.5256410256410257,0.5961538461538461,0.5205479452054794,0.25806451612903225,0.26239067055393583,0.8910463861920173,0.6415094339622641,test_at_best_fednova_mu0.0_E20_s42.json
fednova,123,0.01,0.01,1,1:1 (symmetric),1,0.5023246853796366,0.5377851458793234,0.35854211774409733,0.484472049689441,0.5161290322580645,0.5574572127139364,0.2641509433962264,0.3114754098360656,0.8825881497637222,0.5,test_at_best_fednova_mu0.0_E20_s123.json
fednova,456,0.01,0.01,1,1:1 (symmetric),1,0.49750545091568776,0.5090302159525787,0.3314219816125829,0.4583333333333333,0.5961538461538461,0.54337899543379,0.17543859649122806,0.27044025157232704,0.890406036651096,0.5483870967741935,test_at_best_fednova_mu0.0_E20_s456.json
fednova,42,0.01,0.005,2,2:1,2,0.5278490456072039,0.5296643025166768,0.4183522334347158,0.49230769230769234,0.5376344086021505,0.5257731958762887,0.14925373134328357,0.3724696356275304,0.8841713221601489,0.7333333333333333,test_at_best_fednova_mu0.0_E20_lrPC-c0lr0.01-c1lr0.005_s42.json
fednova,123,0.01,0.005,2,2:1,2,0.5042057610237292,0.5531897375284559,0.38098790819689726,0.46357615894039733,0.5363128491620112,0.5326370757180157,0.14545454545454545,0.39509954058192953,0.8539505187549881,0.6024096385542169,test_at_best_fednova_mu0.0_E20_lrPC-c0lr0.01-c1lr0.005_s123.json
fednova,456,0.01,0.005,2,2:1,2,0.544582634470576,0.5392660591658677,0.4183216783216783,0.543046357615894,0.5714285714285714,0.5553145336225597,0.22727272727272727,0.3076923076923077,0.8873239436619719,0.72,test_at_best_fednova_mu0.0_E20_lrPC-c0lr0.01-c1lr0.005_s456.json
fednova,42,0.01,0.002,5,5:1,5,0.5115284442067732,0.49590800187205375,0.3756022815327518,0.47761194029850745,0.5775401069518716,0.511166253101737,0.15384615384615385,0.3803680981595092,0.8875739644970414,0.5925925925925926,test_at_best_fednova_mu0.0_E20_lrPC-c0lr0.01-c1lr0.002_s42.json
fednova,123,0.01,0.002,5,5:1,5,0.5005786118174782,0.519895852767971,0.37980892840227876,0.53125,0.5288461538461539,0.4632768361581921,0.21739130434782608,0.38235294117647056,0.8412505075111653,0.5396825396825397,test_at_best_fednova_mu0.0_E20_lrPC-c0lr0.01-c1lr0.002_s123.json
fednova,456,0.01,0.002,5,5:1,5,0.498539895705044,0.48714074175006,0.3202205541655083,0.5394736842105263,0.5576923076923077,0.5534883720930233,0.12121212121212122,0.3394495412844037,0.8784632434429257,0.5,test_at_best_fednova_mu0.0_E20_lrPC-c0lr0.01-c1lr0.002_s456.json
fednova,42,0.01,0.001,10,10:1,10,0.4954917005431035,0.5007950953444494,0.36075036075036077,0.5106382978723404,0.5,0.49878934624697335,0.14285714285714285,0.3333333333333333,0.8767631774313289,0.6060606060606061,test_at_best_fednova_mu0.0_E20_lrPC-c0lr0.01-c1lr0.001_s42.json
fednova,123,0.01,0.001,10,10:1,10,0.502018901343768,0.5289163202578624,0.3612855725215276,0.5103448275862069,0.5235602094240838,0.5190839694656488,0.17777777777777778,0.39325842696629215,0.8772865853658537,0.5128205128205128,test_at_best_fednova_mu0.0_E20_lrPC-c0lr0.01-c1lr0.001_s123.json
fednova,456,0.01,0.001,10,10:1,10,0.5047750994771806,0.5041561592501299,0.3767713547071536,0.425531914893617,0.5416666666666666,0.5518867924528302,0.2553191489361702,0.3176178660049628,0.8840262582056893,0.5573770491803278,test_at_best_fednova_mu0.0_E20_lrPC-c0lr0.01-c1lr0.001_s456.json
fednova,42,0.01,0.0005,20,20:1,20,0.46387904690248416,0.4647286874641451,0.30939038417299286,0.4768211920529801,0.48044692737430167,0.4945652173913043,0.14285714285714285,0.3408695652173913,0.8671488389798249,0.4444444444444444,test_at_best_fednova_mu0.0_E20_lrPC-c0lr0.01-c1lr0.0005_s42.json
fednova,123,0.01,0.0005,20,20:1,20,0.4904746941943604,0.5071004186584893,0.3037876019973207,0.5106382978723404,0.5581395348837209,0.5694444444444444,0.05714285714285714,0.27450980392156865,0.883737776168055,0.5797101449275363,test_at_best_fednova_mu0.0_E20_lrPC-c0lr0.01-c1lr0.0005_s123.json
fednova,456,0.01,0.0005,20,20:1,20,0.5025629192843554,0.5038656422074917,0.3645172106595958,0.54421768707483,0.5026737967914439,0.5037037037037037,0.1951219512195122,0.3410526315789474,0.8737936154417223,0.5573770491803278,test_at_best_fednova_mu0.0_E20_lrPC-c0lr0.01-c1lr0.0005_s456.json
fednova,42,0.01,0.0002,50,50:1,50,0.49930624552660763,0.5181490737870503,0.35435685195086375,0.5,0.5444444444444444,0.518918918918919,0.16129032258064516,0.3462246777163904,0.8687097994702989,0.5555555555555556,test_at_best_fednova_mu0.0_E20_lrPC-c0lr0.01-c1lr0.0002_s42.json
fednova,123,0.01,0.0002,50,50:1,50,0.49898367970417673,0.5483615546385603,0.35151610647705905,0.5103448275862069,0.5347593582887701,0.5254237288135594,0.2191780821917808,0.37383177570093457,0.8678095238095238,0.46153846153846156,test_at_best_fednova_mu0.0_E20_lrPC-c0lr0.01-c1lr0.0002_s123.json
fednova,456,0.01,0.0002,50,50:1,50,0.49505487065588777,0.48513049523342394,0.3516114651351847,0.4722222222222222,0.5340314136125655,0.5230024213075061,0.2631578947368421,0.3004484304932735,0.8812936420433664,0.49122807017543857,test_at_best_fednova_mu0.0_E20_lrPC-c0lr0.01-c1lr0.0002_s456.json
fedprox,42,0.01,0.01,1,1:1 (symmetric),1,0.49090114591931705,0.5010256419211399,0.3095507026104578,0.5207100591715976,0.5463414634146342,0.5555555555555556,0.08,0.367170626349892,0.8850488354620586,0.48148148148148145,test_at_best_fedprox_mu0.01_E20_s42.json
fedprox,123,0.01,0.01,1,1:1 (symmetric),1,0.5075223369567236,0.5305976412548026,0.35201761629507294,0.49710982658959535,0.5619047619047619,0.5633187772925764,0.08,0.4046242774566474,0.8742701440249124,0.5714285714285714,test_at_best_fedprox_mu0.01_E20_s123.json
fedprox,456,0.01,0.01,1,1:1 (symmetric),1,0.47559464115631955,0.5033130991618205,0.283704251183926,0.5476190476190477,0.5025125628140703,0.5666666666666667,0.0,0.3325942350332594,0.861251457442674,0.5185185185185185,test_at_best_fedprox_mu0.01_E20_s456.json
fedprox,42,0.01,0.005,2,2:1,2,0.4308988843838706,0.4488645108714179,0.20640451302472207,0.48044692737430167,0.5196078431372549,0.5215605749486653,0.0,0.2926829268292683,0.8754633061527057,0.32653061224489793,test_at_best_fedprox_mu0.01_E20_lrPC-c0lr0.01-c1lr0.005_s42.json
fedprox,123,0.01,0.005,2,2:1,2,0.4817915718761113,0.48094664682697374,0.2827886710239651,0.5131578947368421,0.5676855895196506,0.5626373626373626,0.0,0.27058823529411763,0.8806941431670282,0.5777777777777777,test_at_best_fedprox_mu0.01_E20_lrPC-c0lr0.01-c1lr0.005_s123.json
fedprox,456,0.01,0.005,2,2:1,2,0.4720847990396967,0.49641293127122205,0.2617208672086721,0.5476190476190477,0.5446009389671361,0.5567765567765568,0.0,0.32682926829268294,0.8704344482891195,0.4583333333333333,test_at_best_fedprox_mu0.01_E20_lrPC-c0lr0.01-c1lr0.005_s456.json
fedprox,42,0.01,0.002,5,5:1,5,0.38079172155708846,0.4116026031522768,0.06286484059272564,0.5142857142857142,0.5304347826086957,0.5454545454545454,0.0,0.1297709923664122,0.8867724867724868,0.058823529411764705,test_at_best_fedprox_mu0.01_E20_lrPC-c0lr0.01-c1lr0.002_s42.json
fedprox,123,0.01,0.002,5,5:1,5,0.38473057434021507,0.4151418929803043,0.030428769017980636,0.5342465753424658,0.5853658536585366,0.5951859956236324,0.0,0.0912863070539419,0.8870292887029289,0.0,test_at_best_fedprox_mu0.01_E20_lrPC-c0lr0.01-c1lr0.002_s123.json
fedprox,456,0.01,0.002,5,5:1,5,0.4117293002166934,0.42514353891957823,0.11295992500585893,0.5316455696202531,0.5412844036697247,0.5835095137420718,0.0,0.10358565737051793,0.8867858394672274,0.23529411764705882,test_at_best_fedprox_mu0.01_E20_lrPC-c0lr0.01-c1lr0.002_s456.json
fedprox,42,0.01,0.001,10,10:1,10,0.3610011248940732,0.40100914665650444,0.0,0.5165562913907285,0.5833333333333334,0.5458333333333333,0.0,0.0,0.8812849162011173,0.0,test_at_best_fedprox_mu0.01_E20_lrPC-c0lr0.01-c1lr0.001_s42.json
fedprox,123,0.01,0.001,10,10:1,10,0.36894200843716135,0.40529276512530565,0.0,0.5131578947368421,0.6016949152542372,0.5846153846153846,0.0,0.0,0.8831258644536653,0.0,test_at_best_fedprox_mu0.01_E20_lrPC-c0lr0.01-c1lr0.001_s123.json
fedprox,456,0.01,0.001,10,10:1,10,0.3780522677088841,0.4122473851149629,0.03095584667637069,0.5487804878048781,0.5674418604651162,0.5483870967741935,0.0,0.026200873362445413,0.8888888888888888,0.06666666666666667,test_at_best_fedprox_mu0.01_E20_lrPC-c0lr0.01-c1lr0.001_s456.json
fedprox,42,0.01,0.0005,20,20:1,20,0.3645067875870565,0.3971441227191537,0.0,0.5503355704697986,0.5726495726495726,0.5483146067415731,0.0,0.0,0.8802477632484514,0.0,test_at_best_fedprox_mu0.01_E20_lrPC-c0lr0.01-c1lr0.0005_s42.json
fedprox,123,0.01,0.0005,20,20:1,20,0.3838848747339237,0.4127774759492162,0.025185185185185185,0.5405405405405406,0.5702127659574469,0.6170678336980306,0.0,0.008888888888888889,0.8838174273858921,0.06666666666666667,test_at_best_fedprox_mu0.01_E20_lrPC-c0lr0.01-c1lr0.0005_s123.json
fedprox,456,0.01,0.0005,20,20:1,20,0.3682468193813246,0.40675456686403455,0.0,0.5875,0.5650224215246636,0.5419354838709678,0.0,0.0,0.8832698302736405,0.0,test_at_best_fedprox_mu0.01_E20_lrPC-c0lr0.01-c1lr0.0005_s456.json
fedprox,42,0.01,0.0002,50,50:1,50,0.36398127038052125,0.3964221880069941,0.005925925925925926,0.4968944099378882,0.5765765765765766,0.5727069351230425,0.0,0.017777777777777778,0.8839131932483638,0.0,test_at_best_fedprox_mu0.01_E20_lrPC-c0lr0.01-c1lr0.0002_s42.json
fedprox,123,0.01,0.0002,50,50:1,50,0.3705330557584287,0.40693075954534275,0.002962962962962963,0.5165562913907285,0.5907172995780591,0.5930735930735931,0.0,0.008888888888888889,0.8844953173777316,0.0,test_at_best_fedprox_mu0.01_E20_lrPC-c0lr0.01-c1lr0.0002_s123.json
fedprox,456,0.01,0.0002,50,50:1,50,0.3649448245974442,0.4038288376840543,0.002962962962962963,0.5398773006134969,0.5650224215246636,0.5562632696390658,0.0,0.008888888888888889,0.8845618915159944,0.0,test_at_best_fedprox_mu0.01_E20_lrPC-c0lr0.01-c1lr0.0002_s456.json
