algorithm,seed,c0_lr,c1_lr,ratio_value,ratio_label,ratio_order,macro_f1,balanced_accuracy,rare_avg_f1,f1_actinic,f1_basal,f1_benign_kerat,f1_dermato,f1_melanoma,f1_mel_nevi,f1_vascular,file
fedavg,42,0.01,0.01,1,1:1 (symmetric),1,0.47894693952011547,0.48769498987897775,0.3060741037318786,0.49411764705882355,0.5096153846153846,0.5450643776824035,0.07692307692307693,0.3129973474801061,0.8856088560885609,0.5283018867924528,test_at_best_fedavg_mu0.0_E20_s42.json
fedavg,123,0.01,0.01,1,1:1 (symmetric),1,0.4280145765040974,0.4373032999651604,0.15384615384615383,0.5398773006134969,0.5392156862745098,0.5756929637526652,0.0,0.05128205128205128,0.8797776233495483,0.41025641025641024,test_at_best_fedavg_mu0.0_E20_s123.json
fedavg,456,0.01,0.01,1,1:1 (symmetric),1,0.46504317326894473,0.4696617870240819,0.2300469483568075,0.5398773006134969,0.5663716814159292,0.5708154506437768,0.0,0.19014084507042253,0.8880969351389879,0.5,test_at_best_fedavg_mu0.0_E20_s456.json
fedavg,42,0.01,0.005,2,2:1,2,0.4135918367606634,0.4362091138148378,0.14323479932708483,0.4971751412429379,0.5225225225225225,0.5575757575757576,0.0,0.2191780821917808,0.8881650380021715,0.21052631578947367,test_at_best_fedavg_mu0.0_E20_lrPC-c0lr0.01-c1lr0.005_s42.json
fedavg,123,0.01,0.005,2,2:1,2,0.4202345042568318,0.44588859496595745,0.15531135531135531,0.5207100591715976,0.5267489711934157,0.5489443378119002,0.0,0.12307692307692308,0.8793040956868431,0.34285714285714286,test_at_best_fedavg_mu0.0_E20_lrPC-c0lr0.01-c1lr0.005_s123.json
fedavg,456,0.01,0.005,2,2:1,2,0.44100129193165094,0.453434420364577,0.19222047793476363,0.5263157894736842,0.5833333333333334,0.5199306759098787,0.0,0.21768707482993196,0.8807678110003692,0.358974358974359,test_at_best_fedavg_mu0.0_E20_lrPC-c0lr0.01-c1lr0.005_s456.json
fedavg,42,0.01,0.002,5,5:1,5,0.3608528954126406,0.3949096283559045,0.0,0.5095541401273885,0.5752212389380531,0.5575221238938053,0.0,0.0,0.8836727649292372,0.0,test_at_best_fedavg_mu0.0_E20_lrPC-c0lr0.01-c1lr0.002_s42.json
fedavg,123,0.01,0.002,5,5:1,5,0.37178809293347337,0.4003770685255487,0.03376623376623377,0.4868421052631579,0.549800796812749,0.5827505827505828,0.0,0.03463203463203463,0.8818244644091223,0.06666666666666667,test_at_best_fedavg_mu0.0_E20_lrPC-c0lr0.01-c1lr0.002_s123.json
fedavg,456,0.01,0.002,5,5:1,5,0.3914747468985338,0.4158774648424811,0.07375175808720112,0.5419354838709678,0.5539906103286385,0.5328330206378987,0.0,0.03375527426160337,0.8903088391906283,0.1875,test_at_best_fedavg_mu0.0_E20_lrPC-c0lr0.01-c1lr0.002_s456.json
fedavg,42,0.01,0.001,10,10:1,10,0.3644534773936031,0.4021543051548916,0.0,0.5359477124183006,0.5665236051502146,0.564755838641189,0.0,0.0,0.8839471855455178,0.0,test_at_best_fedavg_mu0.0_E20_lrPC-c0lr0.01-c1lr0.001_s42.json
fedavg,123,0.01,0.001,10,10:1,10,0.3637867113933098,0.4013903239452207,0.0,0.5100671140939598,0.5677966101694916,0.5875,0.0,0.0,0.8811432554897177,0.0,test_at_best_fedavg_mu0.0_E20_lrPC-c0lr0.01-c1lr0.001_s123.json
fedavg,456,0.01,0.001,10,10:1,10,0.37879531824936513,0.40865579905414384,0.04888446781298849,0.5212121212121212,0.5529953917050692,0.5450819672131147,0.0,0.01762114537444934,0.8856243441762854,0.12903225806451613,test_at_best_fedavg_mu0.0_E20_lrPC-c0lr0.01-c1lr0.001_s456.json
fedavg,42,0.01,0.0005,20,20:1,20,0.3552160634719864,0.38639774789028775,0.002976190476190476,0.5205479452054794,0.5619834710743802,0.5149425287356322,0.0,0.008928571428571428,0.880109927859842,0.0,test_at_best_fedavg_mu0.0_E20_lrPC-c0lr0.01-c1lr0.0005_s42.json
fedavg,123,0.01,0.0005,20,20:1,20,0.36710995494842596,0.4058606337227566,0.0,0.5135135135135135,0.5809128630705395,0.5882352941176471,0.0,0.0,0.8871080139372822,0.0,test_at_best_fedavg_mu0.0_E20_lrPC-c0lr0.01-c1lr0.0005_s123.json
fedavg,456,0.01,0.0005,20,20:1,20,0.3787588123537275,0.4050898420073313,0.028148148148148148,0.5531914893617021,0.575107296137339,0.5534591194968553,0.0,0.017777777777777778,0.8851093370357515,0.06666666666666667,test_at_best_fedavg_mu0.0_E20_lrPC-c0lr0.01-c1lr0.0005_s456.json
fedavg,42,0.01,0.0002,50,50:1,50,0.3638018409669347,0.4034226121393652,0.002976190476190476,0.5375,0.5851528384279476,0.5285412262156448,0.0,0.008928571428571428,0.8864902506963789,0.0,test_at_best_fedavg_mu0.0_E20_lrPC-c0lr0.01-c1lr0.0002_s42.json
fedavg,123,0.01,0.0002,50,50:1,50,0.36443893930438415,0.40347290214039416,0.0,0.5333333333333333,0.5645161290322581,0.567032967032967,0.0,0.0,0.8861901457321305,0.0,test_at_best_fedavg_mu0.0_E20_lrPC-c0lr0.01-c1lr0.0002_s123.json
