experiment,actinic,basal,b-kerat,dermato,melanoma,mel-nevi,vascular
Heterogeneity ladder,0.6363636363636364,0.5631067961165048,0.5727272727272728,0.17391304347826086,0.33183856502242154,0.8575689783743475,0.6896551724137931
Node-pinned symmetric,0.6666666666666666,0.5501618122977346,0.6242424242424243,0.043478260869565216,0.31539611360239167,0.8704946557295551,0.4942528735632184
Engineered 90/10 baseline,0.6969696969696969,0.5566343042071197,0.5575757575757576,0.057971014492753624,0.2914798206278027,0.8762117822520508,0.4942528735632184
Li 2020 §5.2 (FA+drop),0.5606060606060606,0.6407766990291263,0.5954545454545455,0.0,0.0,0.9545115585384042,0.0
Li 2020 §5.2 (FP+γ-inexact),0.6969696969696969,0.5501618122977346,0.506060606060606,0.043478260869565216,0.4289985052316891,0.8595575441213025,0.43678160919540227
Perfect-storm (FA+drop),0.0,0.0,0.3333333333333333,0.0,0.0,0.664180959482973,0.0
Perfect-storm (FP μ=1.0),0.6414141414141414,0.5663430420711973,0.4939393939393939,0.0,0.02391629297458894,0.9560029828486204,0.04597701149425287
Perfect-storm (FP μ=0.01),0.6464646464646465,0.5598705501618123,0.543939393939394,0.08695652173913043,0.38266068759342303,0.8421575938354461,0.6206896551724138
D1 1:1 FedAvg,0.6565656565656566,0.5566343042071197,0.5984848484848485,0.014492753623188406,0.13751868460388642,0.922694506587124,0.367816091954023
D1 5:1 FedAvg,0.6010101010101009,0.6245954692556634,0.5954545454545456,0.0,0.01195814648729447,0.9470544369873228,0.04597701149425287
D1 1:1 FedProx,0.6717171717171717,0.5339805825242718,0.609090909090909,0.028985507246376812,0.39611360239162935,0.8473775789212031,0.4942528735632184
D1 5:1 FedProx,0.6363636363636364,0.6213592233009708,0.6015151515151516,0.0,0.061285500747384154,0.9430773054934128,0.0574712643678161
D1 1:1 FedNova,0.5707070707070707,0.5566343042071197,0.5257575757575758,0.2318840579710145,0.21674140508221226,0.9177230922197365,0.632183908045977
D1 5:1 FedNova,0.5404040404040403,0.540453074433657,0.46060606060606063,0.14492753623188406,0.4633781763826607,0.8513547104151131,0.5057471264367815
