algorithm,ratio,ratio_idx,n,mean_norm_c0,mean_norm_c1,mean_influence_ratio,sd_influence_ratio
fedavg,1:1 symmetric,0,3,0.25188684108206333,0.8701623508788124,3.455068377731036,0.06523128737617427
fedavg,2:1,1,3,0.18887518541351922,0.5947737198499703,3.1515059705455255,0.12346029186305844
fedavg,5:1,2,3,0.15903131814335073,0.4043448889696622,2.545983131420005,0.11274518468162413
fednova,1:1 symmetric,0,3,0.4993249136597518,0.2594183676693176,0.5179243124626857,0.04059657627421037
fednova,2:1,1,3,0.5322599678317447,0.3013313261572443,0.5661715159059537,0.005972650251733301
fednova,5:1,2,3,0.48280255457920074,0.23588449061323938,0.4886762007900571,0.011035389821449795
fedprox,1:1 symmetric,0,3,0.19748540939091294,0.73140137866982,3.7046375027451166,0.07399811874695271
fedprox,2:1,1,3,0.16646414343788946,0.5322330957397028,3.198592875015637,0.0861417556009361
fedprox,5:1,2,3,0.13507187633676457,0.36698616591265604,2.719488076011612,0.09376934129310327
