specialty,classes,n_classes,fedavg_mean_f1,fedavg_sd_f1,fedprox_mean_f1,fedprox_sd_f1,delta_mean,delta_sd,fedprox_wins,n_pairs,wilcoxon_p,significant_05
pair0 (C0+C1),"actinic, basal",2,0.43931667948443165,0.0706347274217088,0.4722785477929916,0.023977607978098954,0.032961868308559954,0.06353665269158491,7,10,0.130859375,False
pair1 (C2+C3),"benign_kerat, dermato",2,0.3616867210423379,0.08639159144616854,0.37006918699000435,0.04088033344109515,0.008382465947666382,0.07502769073579173,4,10,0.921875,False
pair2 (C4+C5),"melanoma, vascular",2,0.4420956474400084,0.029462194894480327,0.49321248363053866,0.025876321632617973,0.05111683619053029,0.03823006951383769,9,10,0.009765625,True
generalist (C6),mel_nevi,1,0.8836884927498687,0.0032988236900525587,0.8856166106303538,0.004074194603520488,0.0019281178804850141,0.00589227936086871,7,10,0.375,False
all minorities,all except mel_nevi,6,0.41436634932225935,0.029488081193553235,0.44518673947117826,0.01647094495308513,0.03082039014891888,0.04089280350557531,8,10,0.02734375,True
