level,algorithm,mu,seed,tail,plasticity,forgetting,net_gain,rare_plasticity,rare_forgetting,final_macro_f1,n_rounds,file
L0 (IID 50/50),fedprox,1.0,42,,44.65404700103457,41.63400015749131,3.0200468435432626,20.255651721970093,18.993184878468767,0.5459599262750825,150,history_fedprox_mu1.0_E20_s42.csv
L0 (IID 50/50),fedprox,0.001,42,,5.612822534597085,3.866797651345512,1.7460248832515735,2.621579697744669,1.5616064000143615,0.6589727069081565,150,history_fedprox_mu0.001_E20_s42.csv
L0 (IID 50/50),fedprox,0.1,42,,10.18652627264233,7.964587798507832,2.2219384741344985,5.225908096408672,3.7242023461934846,0.6099205116778771,150,history_fedprox_mu0.1_E20_s42.csv
L0 (IID 50/50),fedprox,0.01,42,,6.2178423602274915,4.672715381303326,1.5451269789241655,3.084068886481598,2.128962739139733,0.6041008301286415,150,history_fedprox_mu0.01_E20_s42.csv
L0 (IID 50/50),fedavg,0.0,42,,5.638231075509157,4.0443777842247455,1.5938532912844119,3.323882003934676,2.1957507852167115,0.5949609859438706,150,history_fedavg_mu0.0_E20_s42.csv
L2 (label-skew 50/50),fedprox,1.0,42,,53.359676104783944,50.8237520693112,2.535924035472746,23.933925218440024,22.765142149656953,0.47679952512215246,150,history_fedprox_mu1.0_E20_s42.csv
L2 (label-skew 50/50),fedprox,0.001,42,,17.256092152849742,15.011309663429742,2.2447824894200004,9.255564748884638,7.800576865650239,0.5055092932814296,150,history_fedprox_mu0.001_E20_s42.csv
L2 (label-skew 50/50),fedprox,0.1,42,,13.447297813284477,10.47851457327218,2.9687832400122964,6.755135741120914,5.124832710817884,0.5538268386843475,150,history_fedprox_mu0.1_E20_s42.csv
L2 (label-skew 50/50),fedprox,0.01,42,,11.602932721565931,8.883127303992993,2.719805417572939,5.902083893422408,4.384927337241462,0.5494410880320346,150,history_fedprox_mu0.01_E20_s42.csv
L2 (label-skew 50/50),fedavg,0.0,42,,38.031336858137635,34.97298704662763,3.0583498115100056,21.038315807732488,19.38164914106582,0.5514317788417611,150,history_fedavg_mu0.0_E20_s42.csv
L4 (severe 90/10),fedprox,1.0,42,,16.12482563339889,14.51702155500116,1.607804078397729,0.3377791824694477,0.2044458491361144,0.3442109598257212,150,history_fedprox_mu1.0_E20_s42.csv
L4 (severe 90/10),fedprox,0.001,42,,18.432653145516866,17.83516847513883,0.5974846703780372,12.271914908049087,11.885513581349255,0.41294044331204965,150,history_fedprox_mu0.001_E20_s42.csv
L4 (severe 90/10),fedprox,0.1,42,,6.054403354697401,4.633059617738528,1.4213437369588728,1.308379400394502,0.9272318594108955,0.4089429382228523,150,history_fedprox_mu0.1_E20_s42.csv
L4 (severe 90/10),fedprox,0.01,42,,13.600672619624218,12.731670849224374,0.8690017703998443,8.59973695075084,7.985357865783522,0.4458096901474243,150,history_fedprox_mu0.01_E20_s42.csv
L4 (severe 90/10),fedavg,0.0,42,,47.95171106124927,46.69451124084604,1.2571998204032298,37.58483815931283,36.63052236983914,0.4927989043090228,150,history_fedavg_mu0.0_E20_s42.csv
