seed,algorithm,mu,local_epochs,round,n_sampled,train_loss,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_f1_class_0,val_f1_class_1,val_f1_class_2,val_f1_class_3,val_f1_class_4,val_f1_class_5,val_f1_class_6
161803,fedavg,0.0,20,1,7,0.5371321852563314,1.8161355940437507,0.6689930209371885,0.14285714285714285,0.11452466291175968,0.0,0.0,0.0,0.0,0.0,0.8016726403823178,0.0
161803,fedavg,0.0,20,2,7,0.456562038257344,0.948766441787347,0.6689930209371885,0.14285714285714285,0.11452466291175968,0.0,0.0,0.0,0.0,0.0,0.8016726403823178,0.0
161803,fedavg,0.0,20,3,7,0.3831187906551742,1.1718098395842973,0.6769690927218345,0.2147910637371996,0.1837191536233944,0.0,0.23529411764705882,0.0,0.0,0.0,0.8181818181818182,0.23255813953488372
161803,fedavg,0.0,20,4,7,0.30225655231199566,1.1601536843260882,0.6939182452642074,0.2627842798802986,0.2509125305682174,0.16666666666666666,0.32,0.11382113821138211,0.0,0.06060606060606061,0.8399746995572422,0.2553191489361702
161803,fedavg,0.0,20,5,7,0.2629353145921494,1.241032309807904,0.6809571286141576,0.2596003464855924,0.22007846015450935,0.10526315789473684,0.07272727272727272,0.06722689075630252,0.19047619047619047,0.04580152671755725,0.8403041825095057,0.21875
161803,fedavg,0.0,20,6,7,0.18585323365482015,1.3550737482362825,0.6939182452642074,0.28755766566071017,0.2529462975230168,0.23255813953488372,0.16129032258064516,0.12307692307692308,0.0,0.1076923076923077,0.8460063897763578,0.3
161803,fedavg,0.0,20,7,7,0.14869779176249617,1.3421709203529928,0.7068793619142573,0.3186983638974271,0.3045269465633845,0.15789473684210525,0.425531914893617,0.11764705882352941,0.0,0.1807909604519774,0.8595800524934383,0.3902439024390244
161803,fedavg,0.0,20,8,7,0.09904711444673654,1.417458926098178,0.6979062811565304,0.26970632696628016,0.2535519318335687,0.05714285714285714,0.3291139240506329,0.05309734513274336,0.0,0.2087912087912088,0.853990914990266,0.2727272727272727
161803,fedavg,0.0,20,9,7,0.08506478396336682,1.3999097045967848,0.7218344965104686,0.34357625306103057,0.38256163559901174,0.2916666666666667,0.42857142857142855,0.2733812949640288,0.24,0.2222222222222222,0.8584534731323722,0.36363636363636365
161803,fedavg,0.0,20,10,7,0.07368633863068079,1.521157203500316,0.6999002991026919,0.28066635771553805,0.2525055389326821,0.0,0.3684210526315789,0.018018018018018018,0.0,0.22439024390243903,0.8650427913100724,0.2916666666666667
