seed,algorithm,mu,local_epochs,round,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_f1_class_0,val_f1_class_1,val_f1_class_2,val_f1_class_3,val_f1_class_4,val_f1_class_5,val_f1_class_6,train_loss
456,fedprox,0.01,20,1,1.130877883103885,0.7367896311066799,0.3864960176435587,0.33915035920146747,0.4578313253012048,0.5255474452554745,0.514018691588785,0.0,0.0,0.8766550522648083,0.0,0.45732858958157735
456,fedprox,0.01,20,2,1.4141908863249233,0.7387836490528414,0.3541477648035025,0.3255236442513386,0.46464646464646464,0.4146341463414634,0.526829268292683,0.0,0.0,0.8725556304787593,0.0,0.3122095568564667
456,fedprox,0.01,20,3,1.5261369125911983,0.7567298105682951,0.3836076491814197,0.36127988807669376,0.5,0.6260869565217392,0.5185185185185185,0.0,0.0,0.8843537414965986,0.0,0.19468656596711165
456,fedprox,0.01,20,4,1.7053402422194703,0.744765702891326,0.356356212093917,0.3401965230536659,0.4074074074074074,0.6,0.49777777777777776,0.0,0.0,0.8761904761904762,0.0,0.10342496327449842
456,fedprox,0.01,20,5,1.9065027515053867,0.7557328015952144,0.3783235889793267,0.35222720670042335,0.44155844155844154,0.5688073394495413,0.5701357466063348,0.0,0.0,0.8850889192886456,0.0,0.02343799743411999
456,fedprox,0.01,20,6,1.8533863226176497,0.7537387836490529,0.3939601382224333,0.35864543307805563,0.46153846153846156,0.6126126126126126,0.5491803278688525,0.0,0.0,0.8871866295264624,0.0,0.010555615851015021
456,fedprox,0.01,20,7,1.8264447353178577,0.7567298105682951,0.38939694185595825,0.35768565118643103,0.4473684210526316,0.6126126126126126,0.5546218487394958,0.0,0.0,0.889196675900277,0.0,0.007560754055229322
456,fedprox,0.01,20,8,1.7901302230203615,0.7547357926221336,0.376528935545329,0.3512449956058979,0.42105263157894735,0.5818181818181818,0.5727272727272728,0.0,0.0,0.8831168831168831,0.0,0.006944030040314373
456,fedprox,0.01,20,9,1.708296096336806,0.7457627118644068,0.3837976231418854,0.35016324372482815,0.44155844155844154,0.6071428571428571,0.5206611570247934,0.0,0.0,0.8817802503477051,0.0,0.02034204157020473
456,fedprox,0.01,20,10,1.6608667448534447,0.7507477567298105,0.38305082895246834,0.35398712199266213,0.4722222222222222,0.5765765765765766,0.5454545454545454,0.0,0.0,0.8836565096952909,0.0,0.00553108242235683
456,fedprox,0.01,20,11,1.655098502205709,0.748753738783649,0.3840735766965275,0.3525784262156049,0.4533333333333333,0.5892857142857143,0.5439330543933054,0.0,0.0,0.8814968814968815,0.0,0.0036564858867842035
456,fedprox,0.01,20,12,1.6078226806397216,0.7467597208374875,0.38572547670908325,0.350620282174563,0.475,0.5688073394495413,0.5267489711934157,0.0,0.0,0.883785664578984,0.0,0.0037040980536232966
456,fedprox,0.01,20,13,1.6084692671909884,0.7497507477567298,0.3870896862700141,0.3564789817241318,0.4935064935064935,0.5945945945945946,0.5263157894736842,0.0,0.0,0.88093599449415,0.0,0.002930047557226426
456,fedprox,0.01,20,14,1.5251651063398017,0.7437686939182453,0.39427157541911634,0.35472293930366267,0.4878048780487805,0.5945945945945946,0.5203252032520326,0.0,0.0,0.8803358992302309,0.0,0.0035694307134050167
456,fedprox,0.01,20,15,1.6022906876275926,0.7537387836490529,0.3909715967093016,0.3605960796710527,0.5128205128205128,0.584070796460177,0.5462962962962963,0.0,0.0,0.8809849521203831,0.0,0.0032523923348561357
456,fedprox,0.01,20,16,1.4909990762071619,0.7248255234297108,0.4077207314912233,0.35369620382394584,0.4883720930232558,0.5849056603773585,0.5111821086261981,0.0,0.017241379310344827,0.8741721854304636,0.0,0.003994942273029996
456,fedprox,0.01,20,17,1.5944194044928965,0.7537387836490529,0.3888938929922537,0.35361854465302744,0.4444444444444444,0.603448275862069,0.5405405405405406,0.0,0.0,0.886896551724138,0.0,0.03058450758364448
