round,val_loss_mean,val_loss_std,val_macro_f1_mean,val_macro_f1_std,num_clients_evaluated
1,8.97318189507824,4.678336142207099,0.03728738629683578,0.013867985310451861,5
2,8.743907961555397,9.581305814650817,0.1178516129147195,0.12011917435246848,5
3,6.076786025737599,4.19229402910019,0.06260193776870565,0.09150068889820982,5
4,5.83809997839324,4.473777267561872,0.11404093036717496,0.11488453054065734,5
5,6.47517738727368,5.170032285871464,0.11050246350078552,0.12730557480570429,5
6,8.2962010898476,3.9239179035893654,0.06364531066686939,0.1088843476623392,5
7,6.3368816718979115,5.022216718151599,0.13654175594554682,0.11339828261952324,5
8,8.864560325266952,6.310408369526675,0.11049829684554165,0.1321493474672307,5
9,13.48704936368872,3.007870082083219,0.014132657589705198,0.001715195701286169,5
10,5.031272678788852,4.770347227604557,0.15147992327441592,0.12748291580880766,5
11,6.396383204274734,3.948073005891725,0.09620477092857037,0.12398891061273834,5
12,7.788937968152351,5.009390839608468,0.10426283558877766,0.12991778031787618,5
13,12.02886608207927,6.394614204015582,0.06126222718975051,0.10734844912426698,5
14,12.182181875299243,5.386965743646001,0.0580025534268654,0.09283716315548167,5
15,12.148021587631401,10.374004827497052,0.12293824566246439,0.128838824831559,5
16,12.507086141183155,9.83576547188699,0.11140150124575318,0.13445884162803415,5
17,10.878787186305045,8.433117962775814,0.1214464366651133,0.127392046764421,5
18,17.350154106400662,9.728734064419914,0.06492496718180385,0.11498059318680075,5
19,11.037531806322061,7.897723406418111,0.12175032889468336,0.1271082844458972,5
20,20.075310700127513,12.621956394332107,0.06382885824264674,0.11959421745352579,5
21,16.663237615644277,10.463778754897135,0.0917367542243058,0.10523479882793929,5
22,17.39300452160574,14.422191413506459,0.11552415260910776,0.13435332138419945,5
23,16.699452988005586,14.454991750076497,0.10464757025751412,0.12242441440194825,5
24,25.725523337671312,11.100232219674828,0.032029735507919065,0.0239059326566758,5
25,12.444943059049361,9.479892974404645,0.12084621660115089,0.1250304363002047,5
26,7.2366511059663114,7.529212697849328,0.16460347932990083,0.14720019649404642,5
27,7.502172412591823,7.175614327150046,0.12143144896738992,0.13148832165585003,5
28,10.18891751595057,5.334591957981464,0.07467426141271133,0.10948499825481854,5
29,10.325249677997524,8.600855123692599,0.13042413567095992,0.1251629226324213,5
30,10.484062783097698,8.011687594881446,0.12725388731033835,0.13683652100842641,5
31,8.852287778302893,6.611240234625156,0.1190023376099781,0.12650241666078868,5
32,14.238754922775541,12.277236963564768,0.12054978527794143,0.13594918735514264,5
33,12.70121734341976,9.493633424221276,0.12357722751411063,0.1220042765350034,5
34,13.211027479243063,10.775164526698052,0.11925223876417246,0.1300198487252335,5
35,15.049872597431019,7.850517318322362,0.07501842901863669,0.11204963955152178,5
36,7.882151945210168,8.279025412582884,0.18262564511936383,0.12077001802081502,5
37,14.997800398419646,7.401054640624339,0.08533278779809161,0.10419989263236247,5
38,14.982958142232087,12.07044350777102,0.12552112254287806,0.13424289924285057,5
39,15.100755082788401,12.504319550107217,0.11565246824021624,0.1269810019710201,5
40,11.350356597676948,8.798804522022367,0.12379924976641847,0.12087396083689324,5
41,18.27621976487777,10.827865051051932,0.07526233121956606,0.11186048000867845,5
42,16.494469864751146,8.722993735670029,0.08300167441657846,0.11069103294564302,5
43,13.564295599966915,11.328582184637717,0.12276473730753786,0.1372672621266386,5
44,20.048295641088057,10.87338163837842,0.07819792835450956,0.11219612380842425,5
45,13.213452466487407,11.266920590367487,0.13945121822105433,0.11742627036347704,5
46,18.486208269864708,9.833890348790346,0.08146079793046784,0.10263398503593055,5
47,8.486902564187588,9.419473303720784,0.16952208654432907,0.10757422424072702,5
48,14.853747320460418,13.915654917297301,0.1165244335495395,0.13776078095236993,5
49,17.3448282041911,15.89479995249899,0.12237624353067478,0.13321034220996147,5
50,15.042911321620048,11.058393173499898,0.12205474981242845,0.11570279191335442,5
51,24.399878295944077,17.90372888759776,0.07019097420356527,0.11484559692373615,5
52,17.04245779183902,9.392179940016899,0.08385810339440215,0.10789318390065476,5
53,21.217754053118696,11.737953895607736,0.0774256580947836,0.09966725157078606,5
