client_id,num_train_samples,num_test_samples,local_class_distribution,accuracy,balanced_accuracy,macro_f1,worst_class_f1,worst_class_recall,per_class_recall_json,per_class_f1_json
0,2082,596,"{""2"": 74, ""4"": 75, ""5"": 447}",0.7667785234899329,0.6544269101316081,0.2819528439565854,0.0,0.0,"[0.0, 0.0, 0.6621621621621622, 0.0, 0.4666666666666667, 0.8344519015659956, 0.0]","[0.0, 0.0, 0.5764705882352941, 0.0, 0.5185185185185185, 0.8786808009422851, 0.0]"
1,2080,594,"{""2"": 73, ""4"": 74, ""5"": 447}",0.7609427609427609,0.6482447327349413,0.2796678166575592,0.0,0.0,"[0.0, 0.0, 0.6575342465753424, 0.0, 0.4594594594594595, 0.8277404921700223, 0.0]","[0.0, 0.0, 0.5647058823529412, 0.0, 0.5151515151515151, 0.8778173190984578, 0.0]"
2,2079,594,"{""2"": 73, ""4"": 74, ""5"": 447}",0.7575757575757576,0.6770087638433688,0.28430359161619556,0.0,0.0,"[0.0, 0.0, 0.6986301369863014, 0.0, 0.527027027027027, 0.8053691275167785, 0.0]","[0.0, 0.0, 0.6071428571428571, 0.0, 0.5165562913907285, 0.8664259927797834, 0.0]"
3,192,56,"{""0"": 46, ""1"": 6, ""3"": 2, ""6"": 2}",0.07142857142857142,0.021739130434782608,0.022857142857142857,0.0,0.0,"[0.08695652173913043, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,284,81,"{""0"": 5, ""1"": 75, ""6"": 1}",0.12345679012345678,0.044444444444444446,0.03361344537815126,0.0,0.0,"[0.0, 0.13333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.23529411764705882, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,89,25,"{""0"": 2, ""1"": 3, ""3"": 18, ""6"": 2}",0.04,0.08333333333333333,0.03571428571428571,0.0,0.0,"[0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,102,29,"{""0"": 5, ""1"": 3, ""6"": 21}",0.034482758620689655,0.1111111111111111,0.07142857142857142,0.0,0.0,"[0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,33,10,"{""0"": 4, ""1"": 4, ""3"": 1, ""6"": 1}",0.1,0.0625,0.047619047619047616,0.0,0.0,"[0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,33,10,"{""0"": 1, ""1"": 8, ""3"": 1}",0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
9,33,10,"{""0"": 3, ""1"": 4, ""3"": 1, ""6"": 2}",0.1,0.0625,0.05714285714285715,0.0,0.0,"[0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0]"
