seed,algorithm,mu,local_epochs,round,n_sampled,train_loss,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_f1_class_0,val_f1_class_1,val_f1_class_2,val_f1_class_3,val_f1_class_4,val_f1_class_5,val_f1_class_6
42,fedavg,0.0,20,1,2,0.41396016421758564,1.2647361736354656,0.7377866400797607,0.3620172177549227,0.3219289944792519,0.35135135135135137,0.5384615384615384,0.4880952380952381,0.0,0.0,0.8755948334466349,0.0
42,fedavg,0.0,20,2,2,0.25164920658509954,1.6001773761252938,0.7457627118644068,0.3603642259379964,0.3401995315133125,0.44776119402985076,0.5483870967741935,0.5104166666666666,0.0,0.0,0.8748317631224765,0.0
42,fedavg,0.0,20,3,2,0.1063538801670372,1.846435694252387,0.7497507477567298,0.38491808737710376,0.3464913870085849,0.42696629213483145,0.5689655172413793,0.5446009389671361,0.0,0.0,0.8849069607167471,0.0
42,fedavg,0.0,20,4,2,0.01709855831590186,2.2659475803375244,0.7597208374875374,0.39461085362724707,0.35537906959947946,0.41025641025641024,0.625,0.5607476635514018,0.0,0.0,0.8916494133885439,0.0
42,fedavg,0.0,20,5,2,0.012904076135639316,2.253392705769981,0.7567298105682951,0.3924297014460949,0.35214550302857667,0.4235294117647059,0.6115702479338843,0.5370370370370371,0.0,0.0,0.8928818244644091,0.0
42,fedavg,0.0,20,6,2,0.010464137587903207,2.178948282006968,0.7557328015952144,0.3961997019374068,0.3536389115894627,0.42857142857142855,0.6190476190476191,0.5377358490566038,0.0,0.0,0.8901174844505875,0.0
42,fedavg,0.0,20,7,2,0.007543388266627346,2.091870412869325,0.7567298105682951,0.39387825289464634,0.3520751042344572,0.4235294117647059,0.6129032258064516,0.5352112676056338,0.0,0.0,0.8928818244644091,0.0
42,fedavg,0.0,20,8,2,0.0070220438481929295,1.9481846638476978,0.752741774675972,0.3946059405075798,0.3456204632156877,0.40425531914893614,0.5666666666666667,0.5517241379310345,0.0,0.0,0.8966971187631764,0.0
42,fedavg,0.0,20,9,2,0.006252377779136623,1.8979321209526252,0.7567298105682951,0.401974801155129,0.35234419653997834,0.4175824175824176,0.5967741935483871,0.5550660792951542,0.0,0.0,0.8969866853538893,0.0
42,fedavg,0.0,20,10,2,0.005894603995598931,1.826936831502829,0.7517447657028913,0.4010434920270986,0.348462716156193,0.41237113402061853,0.5882352941176471,0.5423728813559322,0.0,0.0,0.8962597035991532,0.0
42,fedavg,0.0,20,11,2,0.004373983893004831,1.8903186543513153,0.7567298105682951,0.3879508469672404,0.34996984975318074,0.4,0.6,0.5581395348837209,0.0,0.0,0.8916494133885439,0.0
42,fedavg,0.0,20,12,2,0.004472613664690552,1.7276659256677447,0.7577268195413759,0.4101928126518291,0.35653810378405126,0.4489795918367347,0.5967741935483871,0.5539906103286385,0.0,0.0,0.8960223307745987,0.0
42,fedavg,0.0,20,13,2,0.003678056498224933,1.7812359626604577,0.7547357926221336,0.39648029566062354,0.3475171327947395,0.40860215053763443,0.5737704918032787,0.5526315789473685,0.0,0.0,0.8976157082748948,0.0
42,fedavg,0.0,20,14,2,0.003981916729545778,1.7132056608038433,0.7457627118644068,0.40026203304891833,0.34247471640211286,0.4117647058823529,0.5528455284552846,0.5384615384615384,0.0,0.0,0.8942512420156139,0.0
42,fedavg,0.0,20,15,2,0.0036348861974035023,1.7229790560388614,0.7497507477567298,0.3977205854255034,0.3457876585786427,0.4,0.5739130434782609,0.55,0.0,0.0,0.896600566572238,0.0
42,fedavg,0.0,20,16,2,0.0034534730729874944,1.7802733974466296,0.7537387836490529,0.4008819049802656,0.34681355091235966,0.42424242424242425,0.556390977443609,0.5527638190954773,0.0,0.0,0.894297635605007,0.0
42,fedavg,0.0,20,17,2,0.0028061266094225623,1.7057491721564966,0.7467597208374875,0.40154903433591954,0.3456717738720144,0.4158415841584158,0.5573770491803278,0.5338983050847458,0.0,0.017699115044247787,0.8948863636363636,0.0
42,fedavg,0.0,20,18,2,0.002241527134255373,1.8287028861069607,0.7577268195413759,0.40037885611656104,0.3522722843816762,0.4175824175824176,0.6031746031746031,0.5488372093023256,0.0,0.0,0.8963117606123869,0.0
42,fedavg,0.0,20,19,2,0.003584667348180219,1.7956416421492816,0.7218344965104686,0.4021765857831432,0.33048432723846505,0.3937007874015748,0.48148148148148145,0.5163636363636364,0.0,0.03361344537815126,0.8882309400444115,0.0
42,fedavg,0.0,20,20,2,0.002765632019198912,1.831255102561692,0.7607178464606181,0.38939230168738365,0.35052370253291215,0.38095238095238093,0.6115702479338843,0.5636363636363636,0.0,0.0,0.8975069252077562,0.0
42,fedavg,0.0,20,21,2,0.002725932579773672,1.7581987666228,0.7547357926221336,0.397917147097475,0.35134664170732505,0.40425531914893614,0.5950413223140496,0.5446428571428571,0.0,0.017241379310344827,0.8982456140350877,0.0
42,fedavg,0.0,20,22,2,0.0027553931644906564,1.7616700399908445,0.748753738783649,0.39906603513160893,0.34692909797951815,0.4117647058823529,0.5378151260504201,0.5470085470085471,0.0,0.03418803418803419,0.8977272727272727,0.0
42,fedavg,0.0,20,23,2,0.001961928946725322,1.8728081925678348,0.7537387836490529,0.3845506952064329,0.3444465870709673,0.4044943820224719,0.5691056910569106,0.5463414634146342,0.0,0.0,0.8911845730027548,0.0
42,fedavg,0.0,20,24,2,0.0033598441894505944,1.7527911317193972,0.744765702891326,0.3968873763955731,0.3435079338027543,0.39285714285714285,0.5087719298245614,0.5555555555555556,0.0,0.049586776859504134,0.8977841315225161,0.0
42,fedavg,0.0,20,25,2,0.0014462783934638302,1.7422305527379958,0.752741774675972,0.4078012520635471,0.35305972630568194,0.4380952380952381,0.5528455284552846,0.5687203791469194,0.0,0.017094017094017096,0.8946629213483146,0.0
42,fedavg,0.0,20,26,2,0.0018396534209925797,1.735401205384244,0.752741774675972,0.39436714518681726,0.34798365145986476,0.39603960396039606,0.5666666666666667,0.5592417061611374,0.0,0.01680672268907563,0.8971308607417775,0.0
42,fedavg,0.0,20,27,2,0.0024000297841431893,1.703026344269841,0.7497507477567298,0.4132677911366436,0.3580865784634063,0.4107142857142857,0.55,0.5688888888888889,0.0,0.07936507936507936,0.8976377952755905,0.0
42,fedavg,0.0,20,28,2,0.0022843404482904726,1.7233653167190248,0.752741774675972,0.4022039546629711,0.35513450074900466,0.41904761904761906,0.576,0.53125,0.0,0.06611570247933884,0.8935281837160751,0.0
42,fedavg,0.0,20,29,2,0.001444022049755432,1.7524194518923166,0.7547357926221336,0.39113349359251,0.3500661809563196,0.38636363636363635,0.6016260162601627,0.5504587155963303,0.0,0.017241379310344827,0.894773519163763,0.0
42,fedavg,0.0,20,30,2,0.002025503986064992,1.6962345593710126,0.7427716849451645,0.4046310726638595,0.3519957287301278,0.4077669902912621,0.5409836065573771,0.5416666666666666,0.0,0.07874015748031496,0.8948126801152738,0.0
42,fedavg,0.0,20,31,2,0.0018743536952971428,1.6775341909880177,0.7557328015952144,0.4112527038756547,0.36283787987909977,0.4144144144144144,0.532258064516129,0.5686274509803921,0.0,0.12307692307692308,0.9014883061658399,0.0
42,fedavg,0.0,20,32,2,0.0014351498678753776,1.7660787479946407,0.7517447657028913,0.3847005822415658,0.34331870532279174,0.3695652173913043,0.5689655172413793,0.5493562231759657,0.0,0.017241379310344827,0.8981026001405481,0.0
42,fedavg,0.0,20,33,2,0.0017256281572566882,1.7028254383463683,0.7557328015952144,0.4127246553476062,0.36131481435800195,0.42201834862385323,0.544,0.5673076923076923,0.0,0.09375,0.902127659574468,0.0
42,fedavg,0.0,20,34,2,0.0018373089538600252,1.768584075145208,0.7507477567298105,0.4016728508531787,0.3613462491766825,0.3963963963963964,0.5625,0.4883720930232558,0.0,0.18705035971223022,0.8951048951048951,0.0
42,fedavg,0.0,20,35,2,0.02788423965634049,1.802985351439844,0.7537387836490529,0.39359984278017063,0.3454085579454181,0.37894736842105264,0.5950413223140496,0.5462555066079295,0.0,0.0,0.8976157082748948,0.0
42,fedavg,0.0,20,36,2,0.002554190018266178,1.8993605561888705,0.7507477567298105,0.37482108055878555,0.33709894925609335,0.35294117647058826,0.5691056910569106,0.5462962962962963,0.0,0.0,0.8913494809688581,0.0
42,fedavg,0.0,20,37,2,0.002873159361253892,1.8468294268472125,0.7507477567298105,0.374593985249723,0.33714044976804786,0.36363636363636365,0.5645161290322581,0.541871921182266,0.0,0.0,0.889958734525447,0.0
42,fedavg,0.0,20,38,2,0.002906712261268764,1.6902094731183495,0.744765702891326,0.3988042750337832,0.34466129652184735,0.38095238095238093,0.5641025641025641,0.5365853658536586,0.0,0.034782608695652174,0.8962061560486757,0.0
42,fedavg,0.0,20,39,2,0.002220578092451468,1.8175606675304896,0.752741774675972,0.3808115381885874,0.3427152664140022,0.3855421686746988,0.5714285714285714,0.5523809523809524,0.0,0.0,0.8896551724137931,0.0
42,fedavg,0.0,20,40,2,0.001762814580687194,1.787038145131865,0.7547357926221336,0.393199497297858,0.35079864762963014,0.4,0.5882352941176471,0.5370370370370371,0.0,0.035398230088495575,0.894919972164231,0.0
42,fedavg,0.0,20,41,2,0.002162595153022339,1.6523034528625808,0.7347956131605184,0.4023121539514983,0.34765620269362935,0.3826086956521739,0.5132743362831859,0.5354330708661418,0.0,0.11290322580645161,0.8893740902474527,0.0
42,fedavg,0.0,20,42,2,0.0009548334907057603,1.7424671483539038,0.7497507477567298,0.3975639852689033,0.35195935651330085,0.41304347826086957,0.5785123966942148,0.5454545454545454,0.0,0.03389830508474576,0.8928067700987306,0.0
42,fedavg,0.0,20,43,2,0.0014690333599977103,1.7672305174862757,0.7557328015952144,0.39665809747776964,0.3573197968964564,0.40860215053763443,0.5932203389830508,0.5555555555555556,0.0,0.05172413793103448,0.8921363952679193,0.0
42,fedavg,0.0,20,44,2,0.0016703508987076878,1.6926918110605014,0.7467597208374875,0.40898133029280576,0.3580748252567175,0.40404040404040403,0.6050420168067226,0.5387755102040817,0.0,0.06611570247933884,0.8925501432664756,0.0
42,fedavg,0.0,20,45,2,0.0011925527902878665,1.793214965555984,0.7497507477567298,0.39793843728269956,0.34982379119216994,0.40425531914893614,0.6,0.5344827586206896,0.0,0.017699115044247787,0.8923293455313159,0.0
42,fedavg,0.0,20,46,2,0.0013796733991177379,1.6824026551108775,0.7477567298105683,0.4087258849553931,0.3537048700630731,0.3963963963963964,0.55,0.5493562231759657,0.0,0.08333333333333333,0.8968481375358166,0.0
42,fedavg,0.0,20,47,2,0.001362415112051304,1.7019960313352012,0.7547357926221336,0.41043404977831205,0.3646486905104854,0.42,0.5806451612903226,0.5607476635514018,0.0,0.0975609756097561,0.8935870331219169,0.0
42,fedavg,0.0,20,48,2,0.001320079534758869,1.7495901854420943,0.752741774675972,0.4026581452810961,0.3565317810646712,0.41237113402061853,0.576,0.5462962962962963,0.0,0.06779661016949153,0.8932584269662921,0.0
42,fedavg,0.0,20,49,2,0.001540844350585149,1.654881644225192,0.732801595214357,0.41266490118949134,0.3626930683072436,0.39285714285714285,0.5423728813559322,0.5203252032520326,0.0,0.19718309859154928,0.8861131520940485,0.0
42,fedavg,0.0,20,50,2,0.0010012860470773731,1.609636922657549,0.7537387836490529,0.42541514016923854,0.38208643461901065,0.4036697247706422,0.5619834710743802,0.5625,0.0,0.25,0.8964518464880521,0.0
42,fedavg,0.0,20,51,2,0.001422304590805993,1.6708108955698973,0.7457627118644068,0.42041605987741815,0.38005568596756084,0.4036697247706422,0.559322033898305,0.5299145299145299,0.0,0.140625,0.8935251798561151,0.13333333333333333
42,fedavg,0.0,20,52,2,0.0015979460921418174,1.7136596493564122,0.7467597208374875,0.4103359865654948,0.3534589621353133,0.41509433962264153,0.56,0.5367965367965368,0.0,0.06611570247933884,0.8962061560486757,0.0
42,fedavg,0.0,20,53,2,0.0010966057957296049,1.7951701062983079,0.7507477567298105,0.39529874939711007,0.3581634235573922,0.4,0.5891472868217055,0.48863636363636365,0.0,0.140625,0.8887353144436766,0.0
42,fedavg,0.0,20,54,2,0.002050316833500382,1.6562334206382394,0.7367896311066799,0.42850373353886234,0.3945653032578531,0.4,0.5535714285714286,0.5306122448979592,0.0,0.26143790849673204,0.8830022075055187,0.13333333333333333
42,fedavg,0.0,20,55,2,0.0015065523624786235,1.8344398116542477,0.7577268195413759,0.3981604571768506,0.35874743165824213,0.40860215053763443,0.5984251968503937,0.5435897435897435,0.0,0.06896551724137931,0.8916494133885439,0.0
42,fedavg,0.0,20,56,2,0.0013312356166436843,1.6870335517590447,0.7268195413758723,0.43575151455713523,0.3935932402455582,0.3893805309734513,0.5546218487394958,0.5096525096525096,0.0,0.2893081761006289,0.8788562829194884,0.13333333333333333
42,fedavg,0.0,20,57,2,0.0009764736396648827,1.726973994184705,0.7497507477567298,0.3964430857873481,0.35533964897883236,0.40425531914893614,0.56,0.5514018691588785,0.0,0.08064516129032258,0.8910751932536893,0.0
