seed,stem,momentum_used,momentum_from_json,amp_source,a_eff_mean,max_amp_overall,max_amp_early,straggler_share_mean,straggler_share_early_mean,max_contribution_share_mean,collapse_round,best_macro_f1,final_macro_f1
42,fednova_mu0.0_E20_sh-random_stragglers_s42,0.9,True,logged,4533.6198487449155,37.51487337325253,35.61130091601552,0.30901323953393034,0.4070486023923112,0.3354763324578121,,0.11715021583442638,0.11450772777730338
123,fednova_mu0.0_E20_sh-random_stragglers_s123,0.9,True,logged,4571.184498318598,37.475428868929,35.623953952510796,0.2987119154438901,0.28454234598939465,0.3309717765769763,13.0,0.2279022795667364,0.11450772777730338
31337,fednova_mu0.0_E20_sh-random_stragglers_s31337,0.9,True,logged,4624.6660173575965,36.91536418338079,33.69827328838174,0.2988932780487738,0.43734413409682854,0.32574172466744805,,0.11450772777730338,0.11450772777730338
271828,fednova_mu0.0_E20_sh-random_stragglers_s271828,0.9,True,logged,4586.114550330619,35.762059497027856,7.626700275921132,0.28647707433815944,0.27379304908488444,0.31369598681690736,,0.11450772777730338,0.11450772777730338
8675309,fednova_mu0.0_E20_sh-random_stragglers_s8675309,0.9,True,logged,4642.63165959795,35.77132967495913,18.453475401780572,0.2960448327832344,0.23304679892116612,0.32532813408413586,12.0,0.29112440501984616,0.11450772777730338
