algorithm,seed,class_id,class_name,support,tp,fp,fn,precision,recall,f1
fedavg,42,0,actinic,66,19,13,47,0.59375,0.2878787878787879,0.38775510204081637
fedavg,42,1,basal,103,31,25,72,0.5535714285714286,0.30097087378640774,0.389937106918239
fedavg,42,2,benign_kerat,220,121,177,99,0.40604026845637586,0.55,0.46718146718146725
fedavg,42,3,dermato,23,9,20,14,0.3103448275862069,0.391304347826087,0.34615384615384615
fedavg,42,4,melanoma,223,28,10,195,0.7368421052631579,0.12556053811659193,0.21455938697318008
fedavg,42,5,mel_nevi,1341,1262,258,79,0.8302631578947368,0.9410887397464579,0.882209017825935
fedavg,42,6,vascular,29,21,11,8,0.65625,0.7241379310344828,0.6885245901639345
fedavg,123,0,actinic,66,22,11,44,0.6666666666666666,0.3333333333333333,0.4444444444444444
fedavg,123,1,basal,103,42,31,61,0.5753424657534246,0.4077669902912621,0.4772727272727273
fedavg,123,2,benign_kerat,220,98,138,122,0.4152542372881356,0.44545454545454544,0.4298245614035088
fedavg,123,3,dermato,23,7,21,16,0.25,0.30434782608695654,0.27450980392156865
fedavg,123,4,melanoma,223,42,33,181,0.56,0.18834080717488788,0.28187919463087246
fedavg,123,5,mel_nevi,1341,1270,249,71,0.8360763660302831,0.947054436987323,0.8881118881118881
fedavg,123,6,vascular,29,25,16,4,0.6097560975609756,0.8620689655172413,0.7142857142857144
fedavg,456,0,actinic,66,40,55,26,0.42105263157894735,0.6060606060606061,0.4968944099378882
fedavg,456,1,basal,103,53,38,50,0.5824175824175825,0.5145631067961165,0.5463917525773196
fedavg,456,2,benign_kerat,220,43,26,177,0.6231884057971014,0.19545454545454546,0.2975778546712803
fedavg,456,3,dermato,23,2,2,21,0.5,0.08695652173913043,0.14814814814814817
fedavg,456,4,melanoma,223,51,47,172,0.5204081632653061,0.22869955156950672,0.3177570093457944
fedavg,456,5,mel_nevi,1341,1301,314,40,0.8055727554179567,0.9701715137956749,0.8802435723951286
fedavg,456,6,vascular,29,20,13,9,0.6060606060606061,0.6896551724137931,0.6451612903225807
fedavg,789,0,actinic,66,38,42,28,0.475,0.5757575757575758,0.5205479452054794
fedavg,789,1,basal,103,56,59,47,0.48695652173913045,0.5436893203883495,0.5137614678899083
fedavg,789,2,benign_kerat,220,109,128,111,0.459915611814346,0.4954545454545455,0.47702407002188185
fedavg,789,3,dermato,23,6,8,17,0.42857142857142855,0.2608695652173913,0.3243243243243243
fedavg,789,4,melanoma,223,13,5,210,0.7222222222222222,0.05829596412556054,0.10788381742738588
fedavg,789,5,mel_nevi,1341,1269,251,72,0.8348684210526316,0.9463087248322147,0.8871024117441453
fedavg,789,6,vascular,29,20,1,9,0.9523809523809523,0.6896551724137931,0.7999999999999999
fedavg,999,0,actinic,66,26,16,40,0.6190476190476191,0.3939393939393939,0.48148148148148145
fedavg,999,1,basal,103,44,31,59,0.5866666666666667,0.42718446601941745,0.4943820224719101
