algorithm,seed,class_id,class_name,support,tp,fp,fn,precision,recall,f1
fedavg,999,2,benign_kerat,220,99,96,121,0.5076923076923077,0.45,0.47710843373493983
fedavg,999,3,dermato,23,7,13,16,0.35,0.30434782608695654,0.3255813953488372
fedavg,999,4,melanoma,223,32,15,191,0.6808510638297872,0.14349775784753363,0.23703703703703705
fedavg,999,5,mel_nevi,1341,1295,286,46,0.8191018342820999,0.9656972408650261,0.8863791923340179
fedavg,999,6,vascular,29,25,20,4,0.5555555555555556,0.8620689655172413,0.6756756756756757
fedavg,2024,0,actinic,66,32,32,34,0.5,0.48484848484848486,0.49230769230769234
fedavg,2024,1,basal,103,53,43,50,0.5520833333333334,0.5145631067961165,0.5326633165829147
fedavg,2024,2,benign_kerat,220,53,30,167,0.6385542168674698,0.2409090909090909,0.3498349834983498
fedavg,2024,3,dermato,23,3,3,20,0.5,0.13043478260869565,0.20689655172413793
fedavg,2024,4,melanoma,223,62,95,161,0.39490445859872614,0.27802690582959644,0.3263157894736842
fedavg,2024,5,mel_nevi,1341,1286,284,55,0.8191082802547771,0.9589858314690529,0.8835451734799038
fedavg,2024,6,vascular,29,20,9,9,0.6896551724137931,0.6896551724137931,0.6896551724137931
fedavg,31337,0,actinic,66,21,15,45,0.5833333333333334,0.3181818181818182,0.4117647058823529
fedavg,31337,1,basal,103,44,32,59,0.5789473684210527,0.42718446601941745,0.4916201117318435
fedavg,31337,2,benign_kerat,220,109,132,111,0.45228215767634855,0.4954545454545455,0.47288503253796094
fedavg,31337,3,dermato,23,12,26,11,0.3157894736842105,0.5217391304347826,0.39344262295081966
fedavg,31337,4,melanoma,223,17,7,206,0.7083333333333334,0.07623318385650224,0.13765182186234817
fedavg,31337,5,mel_nevi,1341,1290,280,51,0.821656050955414,0.9619686800894854,0.8862933699759534
fedavg,31337,6,vascular,29,18,2,11,0.9,0.6206896551724138,0.7346938775510204
fedavg,161803,0,actinic,66,23,18,43,0.5609756097560976,0.3484848484848485,0.4299065420560748
fedavg,161803,1,basal,103,40,32,63,0.5555555555555556,0.3883495145631068,0.45714285714285713
fedavg,161803,2,benign_kerat,220,107,127,113,0.45726495726495725,0.4863636363636364,0.4713656387665198
fedavg,161803,3,dermato,23,10,24,13,0.29411764705882354,0.43478260869565216,0.3508771929824562
fedavg,161803,4,melanoma,223,23,12,200,0.6571428571428571,0.1031390134529148,0.17829457364341086
fedavg,161803,5,mel_nevi,1341,1282,282,59,0.819693094629156,0.9560029828486204,0.8826161790017212
fedavg,161803,6,vascular,29,21,4,8,0.84,0.7241379310344828,0.7777777777777777
fedavg,271828,0,actinic,66,39,58,27,0.4020618556701031,0.5909090909090909,0.4785276073619632
fedavg,271828,1,basal,103,46,42,57,0.5227272727272727,0.44660194174757284,0.4816753926701571
fedavg,271828,2,benign_kerat,220,20,18,200,0.5263157894736842,0.09090909090909091,0.15503875968992248
fedavg,271828,3,dermato,23,5,5,18,0.5,0.21739130434782608,0.30303030303030304
fedavg,271828,4,melanoma,223,74,130,149,0.3627450980392157,0.33183856502242154,0.34660421545667447
fedavg,271828,5,mel_nevi,1341,1276,252,65,0.8350785340314136,0.9515287099179717,0.8895085395608227
fedavg,271828,6,vascular,29,23,17,6,0.575,0.7931034482758621,0.6666666666666666
fedavg,8675309,0,actinic,66,22,22,44,0.5,0.3333333333333333,0.4
fedavg,8675309,1,basal,103,50,44,53,0.5319148936170213,0.4854368932038835,0.5076142131979696
fedavg,8675309,2,benign_kerat,220,119,140,101,0.4594594594594595,0.5409090909090909,0.49686847599164924
fedavg,8675309,3,dermato,23,8,13,15,0.38095238095238093,0.34782608695652173,0.3636363636363636
fedavg,8675309,4,melanoma,223,17,10,206,0.6296296296296297,0.07623318385650224,0.136
fedavg,8675309,5,mel_nevi,1341,1274,250,67,0.8359580052493438,0.9500372856077554,0.8893542757417103
fedavg,8675309,6,vascular,29,21,15,8,0.5833333333333334,0.7241379310344828,0.6461538461538462
fednova,42,0,actinic,66,25,14,41,0.6410256410256411,0.3787878787878788,0.4761904761904762
fednova,42,1,basal,103,53,54,50,0.4953271028037383,0.5145631067961165,0.5047619047619047
fednova,42,2,benign_kerat,220,118,143,102,0.4521072796934866,0.5363636363636364,0.4906444906444906
fednova,42,3,dermato,23,5,11,18,0.3125,0.21739130434782608,0.2564102564102564
fednova,42,4,melanoma,223,12,7,211,0.631578947368421,0.053811659192825115,0.09917355371900827
fednova,42,5,mel_nevi,1341,1279,260,62,0.8310591293047433,0.9537658463832961,0.8881944444444445
fednova,42,6,vascular,29,19,5,10,0.7916666666666666,0.6551724137931034,0.7169811320754716
fednova,123,0,actinic,66,33,21,33,0.6111111111111112,0.5,0.55
fednova,123,1,basal,103,49,46,54,0.5157894736842106,0.47572815533980584,0.49494949494949503
fednova,123,2,benign_kerat,220,79,99,141,0.4438202247191011,0.35909090909090907,0.3969849246231156
fednova,123,3,dermato,23,5,17,18,0.22727272727272727,0.21739130434782608,0.22222222222222224
fednova,123,4,melanoma,223,25,13,198,0.6578947368421053,0.11210762331838565,0.19157088122605365
fednova,123,5,mel_nevi,1341,1294,300,47,0.8117942283563363,0.964951528709918,0.8817717206132879
fednova,123,6,vascular,29,19,5,10,0.7916666666666666,0.6551724137931034,0.7169811320754716
fednova,456,0,actinic,66,24,14,42,0.631578947368421,0.36363636363636365,0.46153846153846156
fednova,456,1,basal,103,44,34,59,0.5641025641025641,0.42718446601941745,0.4861878453038674
fednova,456,2,benign_kerat,220,105,162,115,0.39325842696629215,0.4772727272727273,0.43121149897330596
fednova,456,3,dermato,23,9,16,14,0.36,0.391304347826087,0.37499999999999994
fednova,456,4,melanoma,223,25,13,198,0.6578947368421053,0.11210762331838565,0.19157088122605365
fednova,456,5,mel_nevi,1341,1281,251,60,0.8361618798955613,0.9552572706935123,0.8917507831534981
fednova,456,6,vascular,29,20,7,9,0.7407407407407407,0.6896551724137931,0.7142857142857143
fednova,789,0,actinic,66,20,7,46,0.7407407407407407,0.30303030303030304,0.4301075268817205
fednova,789,1,basal,103,40,38,63,0.5128205128205128,0.3883495145631068,0.441988950276243
fednova,789,2,benign_kerat,220,70,60,150,0.5384615384615384,0.3181818181818182,0.39999999999999997
fednova,789,3,dermato,23,7,8,16,0.4666666666666667,0.30434782608695654,0.3684210526315789
fednova,789,4,melanoma,223,48,85,175,0.3609022556390977,0.21524663677130046,0.2696629213483146
fednova,789,5,mel_nevi,1341,1287,288,54,0.8171428571428572,0.959731543624161,0.8827160493827161
fednova,789,6,vascular,29,23,24,6,0.48936170212765956,0.7931034482758621,0.6052631578947368
fednova,999,0,actinic,66,43,66,23,0.3944954128440367,0.6515151515151515,0.4914285714285715
fednova,999,1,basal,103,56,67,47,0.45528455284552843,0.5436893203883495,0.495575221238938
fednova,999,2,benign_kerat,220,75,54,145,0.5813953488372093,0.3409090909090909,0.4297994269340974
fednova,999,3,dermato,23,5,4,18,0.5555555555555556,0.21739130434782608,0.3125
fednova,999,4,melanoma,223,38,23,185,0.6229508196721312,0.17040358744394618,0.2676056338028169
fednova,999,5,mel_nevi,1341,1284,265,57,0.828921885087153,0.9574944071588367,0.8885813148788928
fednova,999,6,vascular,29,20,5,9,0.8,0.6896551724137931,0.7407407407407408
fednova,2024,0,actinic,66,36,44,30,0.45,0.5454545454545454,0.4931506849315069
fednova,2024,1,basal,103,48,52,55,0.48,0.46601941747572817,0.4729064039408867
fednova,2024,2,benign_kerat,220,55,44,165,0.5555555555555556,0.25,0.3448275862068966
fednova,2024,3,dermato,23,3,5,20,0.375,0.13043478260869565,0.19354838709677416
fednova,2024,4,melanoma,223,46,60,177,0.4339622641509434,0.2062780269058296,0.2796352583586626
fednova,2024,5,mel_nevi,1341,1287,291,54,0.8155893536121673,0.959731543624161,0.881808838643371
fednova,2024,6,vascular,29,20,14,9,0.5882352941176471,0.6896551724137931,0.6349206349206349
fednova,31337,0,actinic,66,19,24,47,0.4418604651162791,0.2878787878787879,0.34862385321100914
fednova,31337,1,basal,103,40,32,63,0.5555555555555556,0.3883495145631068,0.45714285714285713
fednova,31337,2,benign_kerat,220,49,17,171,0.7424242424242424,0.22272727272727272,0.34265734265734266
fednova,31337,3,dermato,23,5,5,18,0.5,0.21739130434782608,0.30303030303030304
fednova,31337,4,melanoma,223,73,118,150,0.38219895287958117,0.3273542600896861,0.35265700483091794
fednova,31337,5,mel_nevi,1341,1293,280,48,0.8219961856325493,0.9642058165548099,0.8874399450926562
fednova,31337,6,vascular,29,23,27,6,0.46,0.7931034482758621,0.5822784810126583
fednova,161803,0,actinic,66,20,6,46,0.7692307692307693,0.30303030303030304,0.43478260869565216
fednova,161803,1,basal,103,45,40,58,0.5294117647058824,0.4368932038834951,0.4787234042553192
fednova,161803,2,benign_kerat,220,75,57,145,0.5681818181818182,0.3409090909090909,0.4261363636363636
fednova,161803,3,dermato,23,3,6,20,0.3333333333333333,0.13043478260869565,0.18750000000000003
fednova,161803,4,melanoma,223,75,96,148,0.43859649122807015,0.336322869955157,0.38071065989847713
fednova,161803,5,mel_nevi,1341,1287,262,54,0.8308586184635248,0.959731543624161,0.8906574394463668
fednova,161803,6,vascular,29,23,10,6,0.696969696969697,0.7931034482758621,0.7419354838709677
fednova,271828,0,actinic,66,34,56,32,0.37777777777777777,0.5151515151515151,0.4358974358974359
fednova,271828,1,basal,103,50,56,53,0.4716981132075472,0.4854368932038835,0.4784688995215311
fednova,271828,2,benign_kerat,220,36,23,184,0.6101694915254238,0.16363636363636364,0.25806451612903225
fednova,271828,3,dermato,23,3,3,20,0.5,0.13043478260869565,0.20689655172413793
fednova,271828,4,melanoma,223,59,98,164,0.37579617834394907,0.2645739910313901,0.3105263157894737
fednova,271828,5,mel_nevi,1341,1280,270,61,0.8258064516129032,0.9545115585384042,0.8855067450709097
fednova,271828,6,vascular,29,22,15,7,0.5945945945945946,0.7586206896551724,0.6666666666666667
fednova,8675309,0,actinic,66,15,10,51,0.6,0.22727272727272727,0.32967032967032966
fednova,8675309,1,basal,103,34,35,69,0.4927536231884058,0.3300970873786408,0.39534883720930236
fednova,8675309,2,benign_kerat,220,69,62,151,0.5267175572519084,0.31363636363636366,0.39316239316239315
fednova,8675309,3,dermato,23,5,12,18,0.29411764705882354,0.21739130434782608,0.25
fednova,8675309,4,melanoma,223,62,89,161,0.4105960264900662,0.27802690582959644,0.3315508021390374
fednova,8675309,5,mel_nevi,1341,1281,285,60,0.8180076628352491,0.9552572706935123,0.8813209494324046
fednova,8675309,6,vascular,29,21,25,8,0.45652173913043476,0.7241379310344828,0.5599999999999999
fedprox,42,0,actinic,66,37,32,29,0.5362318840579711,0.5606060606060606,0.548148148148148
fedprox,42,1,basal,103,43,33,60,0.5657894736842105,0.4174757281553398,0.48044692737430167
fedprox,42,2,benign_kerat,220,89,75,131,0.5426829268292683,0.40454545454545454,0.46354166666666663
fedprox,42,3,dermato,23,7,20,16,0.25925925925925924,0.30434782608695654,0.27999999999999997
fedprox,42,4,melanoma,223,45,44,178,0.5056179775280899,0.20179372197309417,0.28846153846153844
fedprox,42,5,mel_nevi,1341,1283,265,58,0.8288113695090439,0.9567486950037286,0.8881966078227761
fedprox,42,6,vascular,29,20,12,9,0.625,0.6896551724137931,0.6557377049180328
fedprox,123,0,actinic,66,26,18,40,0.5909090909090909,0.3939393939393939,0.4727272727272727
fedprox,123,1,basal,103,29,26,74,0.5272727272727272,0.2815533980582524,0.3670886075949367
fedprox,123,2,benign_kerat,220,85,100,135,0.4594594594594595,0.38636363636363635,0.41975308641975306
fedprox,123,3,dermato,23,11,24,12,0.3142857142857143,0.4782608695652174,0.3793103448275862
fedprox,123,4,melanoma,223,45,24,178,0.6521739130434783,0.20179372197309417,0.30821917808219174
fedprox,123,5,mel_nevi,1341,1294,287,47,0.8184693232131562,0.964951528709918,0.8856947296372347
fedprox,123,6,vascular,29,23,13,6,0.6388888888888888,0.7931034482758621,0.7076923076923076
fedprox,456,0,actinic,66,35,29,31,0.546875,0.5303030303030303,0.5384615384615384
fedprox,456,1,basal,103,30,19,73,0.6122448979591837,0.2912621359223301,0.39473684210526316
fedprox,456,2,benign_kerat,220,92,81,128,0.5317919075144508,0.41818181818181815,0.46819338422391854
fedprox,456,3,dermato,23,10,33,13,0.23255813953488372,0.43478260869565216,0.30303030303030304
fedprox,456,4,melanoma,223,47,37,176,0.5595238095238095,0.21076233183856502,0.30618892508143325
fedprox,456,5,mel_nevi,1341,1283,281,58,0.8203324808184144,0.9567486950037286,0.883304647160069
fedprox,456,6,vascular,29,20,8,9,0.7142857142857143,0.6896551724137931,0.7017543859649122
fedprox,789,0,actinic,66,35,45,31,0.4375,0.5303030303030303,0.4794520547945205
fedprox,789,1,basal,103,42,27,61,0.6086956521739131,0.4077669902912621,0.4883720930232558
fedprox,789,2,benign_kerat,220,65,57,155,0.5327868852459017,0.29545454545454547,0.3801169590643275
fedprox,789,3,dermato,23,7,4,16,0.6363636363636364,0.30434782608695654,0.411764705882353
fedprox,789,4,melanoma,223,41,42,182,0.4939759036144578,0.18385650224215247,0.2679738562091503
fedprox,789,5,mel_nevi,1341,1299,304,42,0.8103555832813475,0.9686800894854586,0.8824728260869564
fedprox,789,6,vascular,29,22,15,7,0.5945945945945946,0.7586206896551724,0.6666666666666667
fedprox,999,0,actinic,66,25,26,41,0.49019607843137253,0.3787878787878788,0.4273504273504274
fedprox,999,1,basal,103,50,30,53,0.625,0.4854368932038835,0.5464480874316939
fedprox,999,2,benign_kerat,220,91,79,129,0.5352941176470588,0.41363636363636364,0.4666666666666666
fedprox,999,3,dermato,23,6,16,17,0.2727272727272727,0.2608695652173913,0.2666666666666666
fedprox,999,4,melanoma,223,54,37,169,0.5934065934065934,0.242152466367713,0.34394904458598724
fedprox,999,5,mel_nevi,1341,1282,278,59,0.8217948717948718,0.9560029828486204,0.8838331609789728
fedprox,999,6,vascular,29,20,11,9,0.6451612903225806,0.6896551724137931,0.6666666666666667
fedprox,2024,0,actinic,66,39,48,27,0.4482758620689655,0.5909090909090909,0.5098039215686274
fedprox,2024,1,basal,103,46,43,57,0.5168539325842697,0.44660194174757284,0.4791666666666667
fedprox,2024,2,benign_kerat,220,75,52,145,0.5905511811023622,0.3409090909090909,0.43227665706051865
fedprox,2024,3,dermato,23,2,5,21,0.2857142857142857,0.08695652173913043,0.13333333333333333
fedprox,2024,4,melanoma,223,40,36,183,0.5263157894736842,0.17937219730941703,0.26755852842809363
fedprox,2024,5,mel_nevi,1341,1292,292,49,0.8156565656565656,0.9634601043997018,0.8834188034188034
fedprox,2024,6,vascular,29,21,14,8,0.6,0.7241379310344828,0.65625
fedprox,31337,0,actinic,66,30,47,36,0.38961038961038963,0.45454545454545453,0.4195804195804196
fedprox,31337,1,basal,103,41,31,62,0.5694444444444444,0.39805825242718446,0.4685714285714285
fedprox,31337,2,benign_kerat,220,65,38,155,0.6310679611650486,0.29545454545454547,0.40247678018575855
fedprox,31337,3,dermato,23,2,8,21,0.2,0.08695652173913043,0.12121212121212122
fedprox,31337,4,melanoma,223,60,73,163,0.45112781954887216,0.26905829596412556,0.33707865168539325
fedprox,31337,5,mel_nevi,1341,1285,289,56,0.8163913595933926,0.9582401193139448,0.8816466552315608
fedprox,31337,6,vascular,29,20,16,9,0.5555555555555556,0.6896551724137931,0.6153846153846154
fedprox,161803,0,actinic,66,31,29,35,0.5166666666666667,0.4696969696969697,0.4920634920634921
fedprox,161803,1,basal,103,48,33,55,0.5925925925925926,0.46601941747572817,0.5217391304347826
fedprox,161803,2,benign_kerat,220,84,71,136,0.5419354838709678,0.38181818181818183,0.448
fedprox,161803,3,dermato,23,5,7,18,0.4166666666666667,0.21739130434782608,0.2857142857142857
fedprox,161803,4,melanoma,223,56,53,167,0.5137614678899083,0.25112107623318386,0.3373493975903614
fedprox,161803,5,mel_nevi,1341,1282,277,59,0.8223220012828736,0.9560029828486204,0.8841379310344826
fedprox,161803,6,vascular,29,23,6,6,0.7931034482758621,0.7931034482758621,0.7931034482758621
fedprox,271828,0,actinic,66,27,22,39,0.5510204081632653,0.4090909090909091,0.4695652173913043
fedprox,271828,1,basal,103,33,22,70,0.6,0.32038834951456313,0.41772151898734183
fedprox,271828,2,benign_kerat,220,95,123,125,0.43577981651376146,0.4318181818181818,0.4337899543378996
fedprox,271828,3,dermato,23,9,25,14,0.2647058823529412,0.391304347826087,0.3157894736842105
fedprox,271828,4,melanoma,223,25,12,198,0.6756756756756757,0.11210762331838565,0.19230769230769232
fedprox,271828,5,mel_nevi,1341,1292,289,49,0.8172043010752689,0.9634601043997018,0.8843258042436687
fedprox,271828,6,vascular,29,22,9,7,0.7096774193548387,0.7586206896551724,0.7333333333333333
fedprox,8675309,0,actinic,66,32,36,34,0.47058823529411764,0.48484848484848486,0.4776119402985075
fedprox,8675309,1,basal,103,48,43,55,0.5274725274725275,0.46601941747572817,0.4948453608247423
fedprox,8675309,2,benign_kerat,220,68,46,152,0.5964912280701754,0.3090909090909091,0.40718562874251496
fedprox,8675309,3,dermato,23,5,10,18,0.3333333333333333,0.21739130434782608,0.26315789473684204
fedprox,8675309,4,melanoma,223,53,64,170,0.452991452991453,0.23766816143497757,0.31176470588235294
fedprox,8675309,5,mel_nevi,1341,1280,282,61,0.8194622279129321,0.9545115585384042,0.8818463658284533
fedprox,8675309,6,vascular,29,22,16,7,0.5789473684210527,0.7586206896551724,0.6567164179104478
