algorithm,regime,n,mean_std,sd_std
fedavg,drop-stragglers,6,0.0006850189979739734,0.0007573187573004651
fedavg,symmetric,22,0.023609388090253914,0.01241146366589072
fedavg,unequal_E (γ-inexact),2,0.020248168575562782,0.013513717300139928
fednova,symmetric,5,0.04806294047565152,0.03869705374746384
fednova,unequal_E (γ-inexact),2,0.060131118692678655,0.030935866826286886
fedprox,drop-stragglers,3,0.0024590532085548675,0.0015105307950516176
fedprox,symmetric,37,0.019075340080661016,0.01710676358283634
fedprox,unequal_E (γ-inexact),11,0.028474587220193092,0.009210056523701797
