algorithm,seed,c0_lr,c1_lr,ratio_label,ratio_order,macro_f1,balanced_accuracy,rare_avg_f1,f1_actinic,f1_basal,f1_benign_kerat,f1_dermato,f1_melanoma,f1_mel_nevi,f1_vascular,file
fedavg,42,0.01,0.01,1:1 (symmetric),0,0.47894693952011547,0.48769498987897775,0.3060741037318786,0.49411764705882355,0.5096153846153846,0.5450643776824035,0.07692307692307693,0.3129973474801061,0.8856088560885609,0.5283018867924528,test_at_best_fedavg_mu0.0_E20_s42.json
fedavg,123,0.01,0.01,1:1 (symmetric),0,0.4280145765040974,0.4373032999651604,0.15384615384615383,0.5398773006134969,0.5392156862745098,0.5756929637526652,0.0,0.05128205128205128,0.8797776233495483,0.41025641025641024,test_at_best_fedavg_mu0.0_E20_s123.json
fedavg,456,0.01,0.01,1:1 (symmetric),0,0.46504317326894473,0.4696617870240819,0.2300469483568075,0.5398773006134969,0.5663716814159292,0.5708154506437768,0.0,0.19014084507042253,0.8880969351389879,0.5,test_at_best_fedavg_mu0.0_E20_s456.json
fedavg,42,0.01,0.005,2:1,1,0.4135918367606634,0.4362091138148378,0.14323479932708483,0.4971751412429379,0.5225225225225225,0.5575757575757576,0.0,0.2191780821917808,0.8881650380021715,0.21052631578947367,test_at_best_fedavg_mu0.0_E20_lrPC-c0lr0.01-c1lr0.005_s42.json
fedavg,123,0.01,0.005,2:1,1,0.4202345042568318,0.44588859496595745,0.15531135531135531,0.5207100591715976,0.5267489711934157,0.5489443378119002,0.0,0.12307692307692308,0.8793040956868431,0.34285714285714286,test_at_best_fedavg_mu0.0_E20_lrPC-c0lr0.01-c1lr0.005_s123.json
fedavg,456,0.01,0.005,2:1,1,0.44100129193165094,0.453434420364577,0.19222047793476363,0.5263157894736842,0.5833333333333334,0.5199306759098787,0.0,0.21768707482993196,0.8807678110003692,0.358974358974359,test_at_best_fedavg_mu0.0_E20_lrPC-c0lr0.01-c1lr0.005_s456.json
fedavg,42,0.01,0.002,5:1,2,0.3608528954126406,0.3949096283559045,0.0,0.5095541401273885,0.5752212389380531,0.5575221238938053,0.0,0.0,0.8836727649292372,0.0,test_at_best_fedavg_mu0.0_E20_lrPC-c0lr0.01-c1lr0.002_s42.json
fedavg,123,0.01,0.002,5:1,2,0.37178809293347337,0.4003770685255487,0.03376623376623377,0.4868421052631579,0.549800796812749,0.5827505827505828,0.0,0.03463203463203463,0.8818244644091223,0.06666666666666667,test_at_best_fedavg_mu0.0_E20_lrPC-c0lr0.01-c1lr0.002_s123.json
fedavg,456,0.01,0.002,5:1,2,0.3914747468985338,0.4158774648424811,0.07375175808720112,0.5419354838709678,0.5539906103286385,0.5328330206378987,0.0,0.03375527426160337,0.8903088391906283,0.1875,test_at_best_fedavg_mu0.0_E20_lrPC-c0lr0.01-c1lr0.002_s456.json
fednova,42,0.01,0.01,1:1 (symmetric),0,0.5279076891196571,0.5181695298784007,0.3873215402150774,0.5256410256410257,0.5961538461538461,0.5205479452054794,0.25806451612903225,0.26239067055393583,0.8910463861920173,0.6415094339622641,test_at_best_fednova_mu0.0_E20_s42.json
