class_id,class_name,prevalence_pct,fedavg_mean,fedprox_mean,mean_delta,ci_lo,ci_hi,n_pairs
0,actinic,3.27,0.40390565912915166,0.47127510027749003,0.06736944114833834,0.019352144457900074,0.12793684242503006,10
1,basal,5.13,0.47472769983971164,0.4732819953084933,-0.0014457045312183947,-0.028971928500236895,0.029025142913871916,10
2,benign_kerat,10.97,0.44013966237664615,0.4437586948356236,0.0036190324589775004,-0.02475167290134911,0.029144158112260544,10
3,dermato,1.15,0.28323377970802976,0.296379679144385,0.013145899436355251,-0.05342868063041666,0.09312648090584193,10
4,melanoma,11.11,0.18662692770833053,0.30070484246145335,0.11407791475312276,0.059841249369726665,0.16625081976056874,10
5,mel_nevi,67.05,0.8836884927498687,0.8856166106303538,0.0019281178804850141,-0.0016455108103273193,0.005266351634612763,10
6,vascular,1.41,0.6975643671716864,0.6857201247996241,-0.011844242372062186,-0.07044935272365745,0.05086556431213871,10
