algorithm,seed,peak_round,peak_val_macro_f1,final_round,final_val_macro_f1,drop_peak_to_final,drop_pct_of_peak
fedavg,123,113,0.4996832344020613,150,0.4858927404221878,0.01379049397987353,0.0275984724530046
fedavg,161803,148,0.5166924814272659,150,0.4835286996896108,0.03316378173765505,0.06418475772290384
fedavg,2024,129,0.5003039759579468,150,0.4383050171969717,0.061998958760975165,0.12392257855289661
fedavg,271828,148,0.4974348559165196,150,0.489906940498976,0.007527915417543607,0.015133469896622917
fedavg,31337,139,0.5564782035796777,150,0.4852175723344148,0.07126063124526288,0.1280564643625968
fedavg,42,121,0.5194321928875816,150,0.4276724272543396,0.09175976563324195,0.17665398273283595
fedavg,456,138,0.5241352807684221,150,0.5087878392988576,0.01534744146956446,0.029281450863341895
fedavg,789,150,0.5260196475342384,150,0.5260196475342384,0.0,0.0
fedavg,8675309,70,0.5248368269098641,150,0.4352415887129677,0.08959523819689641,0.1707106544417158
fedavg,999,112,0.5231893786149764,150,0.4482506371271111,0.07493874148786528,0.14323444731666451
fedprox,123,115,0.499448448687106,150,0.4707363227240107,0.028712125963095247,0.057487666722302294
fedprox,161803,109,0.5660919739893491,150,0.4848987137222987,0.08119326026705037,0.14342768312871013
fedprox,2024,91,0.5634093586625433,150,0.4905120427386041,0.07289731592393917,0.12938605794015814
fedprox,271828,90,0.5236628003855116,150,0.5177789547695437,0.0058838456159678865,0.011235943457576707
fedprox,31337,124,0.5697414882190561,150,0.5409332930541687,0.028808195164887418,0.05056362536444098
fedprox,42,134,0.5656939103133675,150,0.5167203375640541,0.048973572749313354,0.08657256487379249
fedprox,456,119,0.5554199190180004,150,0.527663449928687,0.027756469089313396,0.04997384526357588
fedprox,789,132,0.5448902721996796,150,0.5206500649255179,0.02424020727416165,0.044486401227729434
fedprox,8675309,137,0.5524530686519202,150,0.4473318706348435,0.10512119801707676,0.19028077493277468
fedprox,999,131,0.5987309462889198,150,0.5970019166731281,0.0017290296157916885,0.002887824032662142
