source,partition,algorithm,mu,seed,unequal_E,drop_stragglers,file,std_last_K,mean_last_K,range_last_K,n_rounds
FedNova × E (L4 equal & unequal),L4,fedavg,0.0,42,True,False,history_fedavg_mu0.0_E20_sh-fixed_stragglers_s42.csv,0.02980380971752969,0.3980914287112429,0.08724291174305238,150
FedNova × E (L4 equal & unequal),L4,fedprox,0.01,42,True,False,history_fedprox_mu0.01_E20_sh-fixed_stragglers_s42.csv,0.03501789084935384,0.42223240993477484,0.08434356244355917,150
FedNova × E (L4 equal & unequal),L4,fednova,0.0,42,True,False,history_fednova_mu0.0_E20_sh-fixed_stragglers_s42.csv,0.03825615747792724,0.04651277492487839,0.1208154059967549,150
FedNova × E (L4 equal & unequal),L4,fedprox,0.01,42,False,False,history_fedprox_mu0.01_E20_s42.csv,0.017404014039207875,0.44077573105306855,0.058357531718224,150
FedNova × E (L4 equal & unequal),L4,fednova,0.0,42,False,False,history_fednova_mu0.0_E20_s42.csv,0.08655404292380012,0.42935724271558395,0.2314809989509063,150
FedNova × E (L4 equal & unequal),L4,fedavg,0.0,42,False,False,history_fedavg_mu0.0_E20_s42.csv,0.026123655104253678,0.4522153896375335,0.08013760285406712,150
Li 2020 §5.2 protocol,L4,fedavg,0.0,42,True,True,history_fedavg_mu0.0_E20_sh-fixed_stragglers_drop_s42.csv,0.001519503871531888,0.34467467411470265,0.004848293634840517,150
Li 2020 §5.2 protocol,L4,fedprox,0.01,42,True,True,history_fedprox_mu0.01_E20_sh-fixed_stragglers_drop_s42.csv,0.0017199164609805375,0.36149240336915966,0.0051856169868492175,150
Li 2020 §5.2 protocol,L4,fedprox,0.01,456,True,False,history_fedprox_mu0.01_E20_sh-fixed_stragglers_s456.csv,0.017081744169792946,0.48357244545688693,0.04992516022210142,150
Li 2020 §5.2 protocol,L4,fedavg,0.0,456,True,True,history_fedavg_mu0.0_E20_sh-fixed_stragglers_drop_s456.csv,0.00139185106619861,0.36767488478133786,0.003710962698841469,150
Li 2020 §5.2 protocol,L4,fedprox,0.01,42,True,False,history_fedprox_mu0.01_E20_sh-fixed_stragglers_s42.csv,0.022870229051520932,0.44607850173594965,0.07589059436203377,150
Li 2020 §5.2 protocol,L4,fedprox,0.01,123,True,False,history_fedprox_mu0.01_E20_sh-fixed_stragglers_s123.csv,0.0388552007208502,0.46656831295014395,0.11186170335272166,150
Li 2020 §5.2 protocol,L4,fedavg,0.0,123,True,True,history_fedavg_mu0.0_E20_sh-fixed_stragglers_drop_s123.csv,0.0011987590501133245,0.3709950713749345,0.003727912071508077,150
Li 2020 §5.2 protocol,L4,fedprox,0.01,123,True,True,history_fedprox_mu0.01_E20_sh-fixed_stragglers_drop_s123.csv,0.0014604253485772248,0.35090096076653193,0.005213263136937485,150
Li 2020 §5.2 protocol,L4,fedavg,0.0,456,False,False,history_fedavg_mu0.0_E20_s456.csv,0.02704142262979323,0.4529759270732939,0.07618446711088267,150
Li 2020 §5.2 protocol,L4,fedprox,0.01,456,True,True,history_fedprox_mu0.01_E20_sh-fixed_stragglers_drop_s456.csv,0.0041968178161068395,0.3598228580571194,0.009870014113581127,150
Li 2020 §5.2 protocol,L4,fedavg,0.0,123,False,False,history_fedavg_mu0.0_E20_s123.csv,0.04100085868585887,0.4456361477952232,0.13659981908727176,150
Li 2020 §5.2 protocol,L4,fedavg,0.0,42,False,False,history_fedavg_mu0.0_E20_s42.csv,0.022514870866605564,0.41916923230317427,0.07521492858089457,150
perfect-storm,L4,fedprox,1.0,42,True,False,history_fedprox_mu1.0_E20_sh-random_stragglers_s42.csv,0.02578332194250193,0.3526879249939904,0.08346636825071796,150
perfect-storm,L4,fedavg,0.0,456,True,True,history_fedavg_mu0.0_E20_sh-random_stragglers_drop_s456.csv,3.657118196434064e-18,0.030447599450170604,0.0,150
perfect-storm,L4,fedavg,0.0,123,True,True,history_fedavg_mu0.0_E20_sh-random_stragglers_drop_s123.csv,0.0,0.1147989734816082,0.0,150
perfect-storm,L4,fedprox,0.01,123,True,False,history_fedprox_mu0.01_E20_sh-random_stragglers_s123.csv,0.03723845509575381,0.45784960376164385,0.1340529640551374,150
perfect-storm,L4,fedavg,0.0,42,True,True,history_fedavg_mu0.0_E20_sh-random_stragglers_drop_s42.csv,1.4628472785736255e-17,0.11438830469351109,0.0,150
perfect-storm,L4,fedprox,0.01,456,True,False,history_fedprox_mu0.01_E20_sh-random_stragglers_s456.csv,0.03884743608188014,0.45616253123973394,0.1128663130477966,150
perfect-storm,L4,fedprox,1.0,123,True,False,history_fedprox_mu1.0_E20_sh-random_stragglers_s123.csv,0.01337730523908599,0.3379094695931968,0.04129372592234559,150
perfect-storm,L4,fedprox,1.0,456,True,False,history_fedprox_mu1.0_E20_sh-random_stragglers_s456.csv,0.02969084368791391,0.31991145110822716,0.0894557214589804,150
perfect-storm,L4,fedprox,0.01,42,True,False,history_fedprox_mu0.01_E20_sh-random_stragglers_s42.csv,0.03472299287563331,0.45357040571953255,0.1012331079934159,150
μ-sweep (L0),L0,fedprox,1.0,42,False,False,history_fedprox_mu1.0_E20_s42.csv,0.05282823418907704,0.5089468755572146,0.17805057923391293,150
μ-sweep (L0),L0,fedprox,0.001,42,False,False,history_fedprox_mu0.001_E20_s42.csv,0.0026146708111374818,0.6594772587338796,0.006966621512144999,150
μ-sweep (L0),L0,fedprox,0.1,42,False,False,history_fedprox_mu0.1_E20_s42.csv,0.001946857083538759,0.6083333228233924,0.0065603280776513895,150
μ-sweep (L0),L0,fedprox,0.01,42,False,False,history_fedprox_mu0.01_E20_s42.csv,0.002325689505363872,0.6060711658433509,0.007668543465798261,150
μ-sweep (L2),L2,fedprox,1.0,42,False,False,history_fedprox_mu1.0_E20_s42.csv,0.04450724894041682,0.4566025749095524,0.1328732692876971,150
μ-sweep (L2),L2,fedprox,0.001,42,False,False,history_fedprox_mu0.001_E20_s42.csv,0.015231644207330218,0.542844772329111,0.054207416650158935,150
μ-sweep (L2),L2,fedprox,0.1,42,False,False,history_fedprox_mu0.1_E20_s42.csv,0.006507157574832784,0.5398184407496702,0.019304276619083516,150
μ-sweep (L2),L2,fedprox,0.01,42,False,False,history_fedprox_mu0.01_E20_s42.csv,0.0054947358080632185,0.5577353506875495,0.015949775895248153,150
μ-sweep (L4),L4,fedprox,1.0,42,False,False,history_fedprox_mu1.0_E20_s42.csv,0.016888132569424792,0.3388442354183836,0.05931985004042739,150
μ-sweep (L4),L4,fedprox,0.001,42,False,False,history_fedprox_mu0.001_E20_s42.csv,0.016393165465434352,0.4162571057795955,0.0507490356907252,150
μ-sweep (L4),L4,fedprox,0.1,42,False,False,history_fedprox_mu0.1_E20_s42.csv,0.005255719944741205,0.40915422450956296,0.018688698717083507,150
μ-sweep (L4),L4,fedprox,0.01,42,False,False,history_fedprox_mu0.01_E20_s42.csv,0.018205524230380746,0.46196422445612073,0.06104020092094464,150
