algorithm,round,val_macro_f1_mean,val_macro_f1_std,val_macro_f1_count,val_loss_mean,val_loss_std,val_loss_count,val_balanced_accuracy_mean,val_balanced_accuracy_std,val_balanced_accuracy_count,val_accuracy_mean,val_accuracy_std,val_accuracy_count,train_loss_mean,train_loss_std,train_loss_count,val_f1_class_0_mean,val_f1_class_0_std,val_f1_class_0_count,val_f1_class_1_mean,val_f1_class_1_std,val_f1_class_1_count,val_f1_class_2_mean,val_f1_class_2_std,val_f1_class_2_count,val_f1_class_3_mean,val_f1_class_3_std,val_f1_class_3_count,val_f1_class_4_mean,val_f1_class_4_std,val_f1_class_4_count,val_f1_class_5_mean,val_f1_class_5_std,val_f1_class_5_count,val_f1_class_6_mean,val_f1_class_6_std,val_f1_class_6_count
fedavg,1,0.1145246629117596,0.0,10,2.106877605627446,0.200030699971016,10,0.1428571428571428,0.0,10,0.6689930209371885,0.0,10,0.5321671763004656,0.005612756786628079,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.8016726403823178,0.0,10,0.0,0.0,10
fedavg,2,0.1145246629117596,0.0,10,0.9438767449330475,0.052178912662118576,10,0.1428571428571428,0.0,10,0.6689930209371885,0.0,10,0.4692496724646483,0.014875653756782304,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.8016726403823178,0.0,10,0.0,0.0,10
fedavg,3,0.17276615305351825,0.020542947880514858,10,1.2517648344025656,0.1216316847788274,10,0.19562504240490183,0.02335376734551532,10,0.6772681954137587,0.004557977846724808,10,0.381000440732618,0.009997961341040392,10,0.0,0.0,10,0.1745292167590662,0.1346580272403971,10,0.00869963369963368,0.01670252017131188,10,0.0,0.0,10,0.0,0.0,10,0.8153077610880086,0.005327239471555255,10,0.21082645982791948,0.07870186313035045,10
fedavg,4,0.21232826115469008,0.026476207755877976,10,1.1032863923939964,0.09661813605408208,10,0.2377742154674239,0.02305106698459289,10,0.6869391824526421,0.006859344446842892,10,0.3247174956978637,0.014113375394708787,10,0.0284313725490196,0.054380106199561004,10,0.2521957725062617,0.10843415828934222,10,0.0933696570519327,0.04716372643530474,10,0.0,0.0,10,0.03601514181481401,0.029530367999926123,10,0.8359173179957518,0.006463600705911322,10,0.2403685661650509,0.0650963430621683,10
fedavg,5,0.2460634184727007,0.0293289981465568,10,1.1787987454759992,0.09180440906268408,10,0.26673179954210396,0.024165002092218047,10,0.6954137587238285,0.00901912046866857,10,0.26612662708861345,0.013383651560487066,10,0.06802095328411116,0.08396655946873806,10,0.2914338682272652,0.11940886699222268,10,0.13527326553382563,0.05619321351337499,10,0.019047619047619042,0.06023386019368338,10,0.061970850781748146,0.039590544081729545,10,0.8437109086376797,0.005579878537151497,10,0.30298646379665606,0.0858605514832855,10
fedavg,6,0.29537559155394505,0.032450850381187384,10,1.210380541684026,0.10007646083493849,10,0.30183629386205496,0.030468624019864,10,0.7050847457627119,0.009219563115666182,10,0.20413609134859212,0.015147646369076777,10,0.09718522251821983,0.0807591357162843,10,0.326216684280112,0.14024744156053656,10,0.18410878791889895,0.07545071342746569,10,0.09829778065072181,0.09094210339972657,10,0.14291044407935452,0.04668490411271214,10,0.8549360199194679,0.007745082005662063,10,0.36397420151084053,0.09540390335223119,10
fedavg,7,0.3204378989159011,0.04676417144741496,10,1.2969265449201597,0.140678806603194,10,0.33147222020758316,0.036054801399802834,10,0.7126620139581256,0.01259199484123203,10,0.15947240722372832,0.008314080059690459,10,0.12946907891661077,0.07441484431908085,10,0.3485871613937149,0.13858932709030766,10,0.22943822040008835,0.1170575716702343,10,0.14489688456766037,0.140410971690931,10,0.14781079929246552,0.05211089787526543,10,0.8599301268941918,0.00842249757441004,10,0.3829330209465761,0.12065829838216452,10
fedavg,8,0.3274775298245552,0.04815271004481,10,1.3960955015267593,0.05782348856649897,10,0.3340499359703107,0.03512202266677399,10,0.714556331006979,0.011608484499717193,10,0.11991925097231104,0.01310158564533447,10,0.13447423628532545,0.10185973450079237,10,0.35681621181433804,0.09727377692029966,10,0.20073098549707277,0.11430510723302724,10,0.15375137418481072,0.1640122989979232,10,0.19441156459672326,0.03774150240662744,10,0.8637494380799676,0.005579931258122672,10,0.38840889831364844,0.10220407280669067,10
fedavg,9,0.3260641210700915,0.0894488386756802,10,1.5800108025758597,0.4981254863793698,10,0.3243552225987823,0.07117967539436736,10,0.714456630109671,0.019679249916610683,10,0.09691077382637017,0.010112036219735582,10,0.14621094089179193,0.09981373864481298,10,0.3462110849268417,0.1533206887496309,10,0.20174932715593957,0.16835899157152837,10,0.1546904564969081,0.13898475767559457,10,0.17412912157259108,0.07818462704236581,10,0.8615627476632003,0.019533331201152717,10,0.3978951687833675,0.19104712131947588,10
fedavg,10,0.3452972543824798,0.07129419219583728,10,1.4452157100913294,0.14107284648789356,10,0.3530736469261059,0.05447773512251406,10,0.718544366899302,0.01328555764208348,10,0.08324081106655391,0.008662456110998314,10,0.18659900549033115,0.1304487302974928,10,0.368349273348319,0.07760126810078097,10,0.2092365754541412,0.1451426930702087,10,0.18273507005923884,0.17607488056598547,10,0.1977468633209136,0.0562640518274609,10,0.867512458230782,0.005396212569082216,10,0.4049015347736332,0.12899062663717792,10
fedavg,11,0.3646846371695259,0.06198783647841668,10,1.4376210825452778,0.10767163422320479,10,0.3609862360564936,0.05123859469582768,10,0.7223330009970089,0.01236585905958064,10,0.0662869025666397,0.009637046286937853,10,0.22894060585638415,0.11963884441842774,10,0.42087505606452214,0.08960054872547626,10,0.2356610002338992,0.12411213739605748,10,0.16344930875576033,0.1436891980221166,10,0.19926495851020617,0.050280090332089,10,0.8649257510581098,0.004808494113318144,10,0.4396757797077999,0.11494263571710883,10
fedavg,12,0.35747776451098834,0.04830060930874654,10,1.487344089937828,0.11352429731560097,10,0.3553008548090515,0.029106345539962983,10,0.7211365902293121,0.009814336751604948,10,0.05482379454111204,0.006225725868199679,10,0.20425662597760788,0.10338475458543468,10,0.4272220351599387,0.06874805886124273,10,0.20799786417829563,0.1368871730610409,10,0.1656943830163644,0.1305275049537742,10,0.19615842850017357,0.05986634451701781,10,0.865334938116186,0.005282139445613891,10,0.4356800766283525,0.09704256921418906,10
fedavg,13,0.3528334543381895,0.06224440800493133,10,1.467583707786153,0.08081257542298927,10,0.3596461861450152,0.04396049633497487,10,0.7202392821535394,0.012743700590183454,10,0.04627488701390603,0.004704493978848193,10,0.23340288910056345,0.11696339642541631,10,0.4288956889242382,0.05894885800477956,10,0.1505748027568447,0.1316207464705652,10,0.10228571428571427,0.1844464661255757,10,0.2200816498824767,0.06541233228690588,10,0.8686503734059443,0.006385173319078171,10,0.4659430620115449,0.11927587514832529,10
fedavg,14,0.36615584106805754,0.06570740071405817,10,1.440927375028521,0.11118420711023141,10,0.36827030702908925,0.05275617427660241,10,0.7229312063808575,0.015858050291093436,10,0.04516975013429803,0.006564607360395967,10,0.26871247832583,0.09749806904905878,10,0.41620321004922456,0.07130443115564843,10,0.21799929267634424,0.165144472451533,10,0.14269546194546193,0.12884314410397885,10,0.18263169868621962,0.08796111132299646,10,0.8699771798769639,0.007710584980821612,10,0.4648715659163588,0.13028295411322713,10
fedavg,15,0.37349127811926913,0.053322807619925576,10,1.5188026751026675,0.07988136294810351,10,0.3700749415152225,0.04227111682514171,10,0.725024925224327,0.0123796953646739,10,0.036397315705501185,0.004796000206537248,10,0.24705692557373232,0.08592727614159985,10,0.44670997409542146,0.04704233632875862,10,0.2450970558929968,0.14786187939307344,10,0.15991273900864694,0.16518291466317403,10,0.18001990547279612,0.07929651797000528,10,0.8654271927558067,0.007780771367452923,10,0.4702151540354841,0.12276820887347707,10
fedavg,16,0.38441269595224387,0.045032486715842486,10,1.4420944851809223,0.06754245250755411,10,0.3814823023253936,0.02766147561708457,10,0.7256231306081755,0.011548866588287262,10,0.034801089752775446,0.005137294676831119,10,0.29732233945627595,0.06594370180032719,10,0.428042687431551,0.08164630685906324,10,0.1917777816894811,0.1350987822531561,10,0.1948946222859266,0.13573185357331952,10,0.23304134505748303,0.038549119097227795,10,0.868274659946563,0.005987225881682059,10,0.4775354357984263,0.10319113766534135,10
fedavg,17,0.36695514891090547,0.055752740336082594,10,1.5262932144513992,0.07855272526271528,10,0.3661386297100583,0.04198272574062703,10,0.7231306081754736,0.012664150848662849,10,0.02922122160363828,0.0035681728614060312,10,0.27090055613950254,0.08178772555349326,10,0.41215755358473666,0.09015885231126677,10,0.19211232589816357,0.14111251255414184,10,0.13784493284493282,0.10626950709034662,10,0.2128791768049966,0.050658869602176915,10,0.86507574063825,0.007208989359877481,10,0.4777157564657565,0.12833699803932733,10
fedavg,18,0.4045800959723035,0.043077100393025626,10,1.4314733110360822,0.07673208843388724,10,0.39278682559713,0.03263140905777193,10,0.7286141575274178,0.012800773837588878,10,0.03119893232024414,0.008136488769848882,10,0.32813626041182065,0.08082492055036795,10,0.4599439850814925,0.045943759204026414,10,0.19787294778998915,0.14961788131948872,10,0.22813355763270873,0.17070127023090054,10,0.21112959382326588,0.07070953564509362,10,0.8665699892651784,0.008264256551474879,10,0.5402743378016694,0.1038437735465855,10
fedavg,19,0.404986639793299,0.04011399211157635,10,1.4184946655811126,0.07664060558004386,10,0.3941010672977886,0.03004366170345081,10,0.73160518444666,0.010725765505586859,10,0.027290943228875382,0.004602990536275629,10,0.30068339731460475,0.06559295929614747,10,0.44918448613652606,0.06673837427238702,10,0.26425889022081195,0.12049703426195973,10,0.2061284338296722,0.11716592057915987,10,0.21509599095174833,0.05198220131152954,10,0.8690115890926503,0.005225847368626237,10,0.5305436910070793,0.11805891109167996,10
fedavg,20,0.39295809969294365,0.03570461371204088,10,1.440972322415735,0.07282272062807951,10,0.39445453084797344,0.02935789337613217,10,0.72901296111665,0.008083359515737253,10,0.0231754674123212,0.0030396805681943955,10,0.3375402193362364,0.057588425271033535,10,0.4142365385946903,0.0674913304498529,10,0.22865752618786828,0.14095368977719258,10,0.1715744918622156,0.12375150344197144,10,0.22150204676476193,0.07782598165257021,10,0.8696317241027799,0.00612654114032216,10,0.507564151002053,0.14376500915376955,10
fedavg,21,0.3912858099117078,0.050951083000893536,10,1.4549602968267288,0.1150754462534462,10,0.38900971836569026,0.0367017778802632,10,0.7291126620139581,0.012906036298456929,10,0.02305592286497144,0.004402293668125565,10,0.3173795289399881,0.08766346825959642,10,0.45784654610236064,0.05507423665689916,10,0.22265678975693173,0.14884953954757055,10,0.17111665104405574,0.13691162853248603,10,0.19938122357220595,0.09251559858878887,10,0.869932885368222,0.007953873984641436,10,0.5006870445981907,0.1338427923640295,10
fedavg,22,0.38879051102849005,0.024811669729874235,10,1.4856712760799309,0.08477640755291287,10,0.3827116563416329,0.0159645407451357,10,0.7273180458624128,0.004979502846052419,10,0.023476210333147958,0.0019261362109087936,10,0.29572122289759417,0.0953759315174548,10,0.45316403881761913,0.06464492758010519,10,0.20289578928213267,0.13948712233840987,10,0.18233856786488362,0.12261814253541926,10,0.19360154574239924,0.10106374723918411,10,0.8676588127569916,0.005997649465340379,10,0.5261535998378103,0.08415187225512855,10
fedavg,23,0.40224638302943055,0.05970831774032817,10,1.4716782936724209,0.0756230736492127,10,0.40709942008536854,0.043810879322972465,10,0.7312063808574277,0.011873293680749299,10,0.01999534303929969,0.0027708808853875427,10,0.3295472430420887,0.08308845107850833,10,0.4740535835685441,0.06653899356112394,10,0.2235440786843926,0.160847626222602,10,0.15670057496682882,0.16262665427562975,10,0.1966724901835248,0.08502138310383274,10,0.8702180298733362,0.004901332779658596,10,0.5649886808872984,0.1341231249320773,10
fedavg,24,0.38578463887730996,0.06450746913845973,10,1.62535268661983,0.4984225608682129,10,0.39070364662870516,0.05042341471159026,10,0.7261216350947158,0.0184382277333062,10,0.019955326603486027,0.0022435711552592883,10,0.27176267050546893,0.1472176851196661,10,0.37530285412724435,0.15879402778047003,10,0.2334905630305924,0.146741905401684,10,0.21368876285005314,0.1277506968827233,10,0.1724692405187398,0.1167780523155231,10,0.8651012382909024,0.0164140344927067,10,0.5686771428181691,0.08135188214402485,10
