seed,algorithm,mu,local_epochs,round,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_f1_class_0,val_f1_class_1,val_f1_class_2,val_f1_class_3,val_f1_class_4,val_f1_class_5,val_f1_class_6,train_loss
123,fedprox,0.01,20,1,1.1174108226777073,0.748753738783649,0.36670078555324453,0.3504026964011982,0.4722222222222222,0.6,0.5077720207253886,0.0,0.0,0.8728246318607764,0.0,0.4691133896464112
123,fedprox,0.01,20,2,1.2957123322477369,0.748753738783649,0.374434581811631,0.33965296226192826,0.41379310344827586,0.543859649122807,0.5327102803738317,0.0,0.0,0.8872077028885832,0.0,0.3205785373502261
123,fedprox,0.01,20,3,1.4067584052756206,0.7507477567298105,0.37758007020302103,0.34855997258231897,0.4,0.6111111111111112,0.5405405405405406,0.0,0.0,0.888268156424581,0.0,0.21101200674990847
123,fedprox,0.01,20,4,1.6275065985182346,0.7517447657028913,0.4082837927100223,0.3589696646818183,0.47619047619047616,0.6115702479338843,0.5344129554655871,0.0,0.0,0.8906139731827806,0.0,0.11269170538757319
123,fedprox,0.01,20,5,1.908911658070261,0.7617148554336989,0.40629670875572516,0.3696220959555228,0.4935064935064935,0.6434782608695652,0.559322033898305,0.0,0.0,0.8910478834142956,0.0,0.03806172516751166
123,fedprox,0.01,20,6,1.8945576483801616,0.7577268195413759,0.4029107504517341,0.36591689849538095,0.48717948717948717,0.6371681415929203,0.5477178423236515,0.0,0.0,0.8893528183716075,0.0,0.014386536561745267
123,fedprox,0.01,20,7,1.8778865847250044,0.7607178464606181,0.40137785711556206,0.3671608442743937,0.48717948717948717,0.6428571428571429,0.5493562231759657,0.0,0.0,0.8907330567081605,0.0,0.010570133047286448
123,fedprox,0.01,20,8,1.821037248980369,0.7617148554336989,0.40629670875572516,0.372419517959855,0.5,0.6548672566371682,0.5641025641025641,0.0,0.0,0.8879668049792531,0.0,0.008944779574348553
123,fedprox,0.01,20,9,1.7697609683214608,0.7597208374875374,0.4006690031280195,0.36616807194171347,0.4675324675324675,0.6491228070175439,0.5579399141630901,0.0,0.0,0.8885813148788927,0.0,0.006613042093303576
123,fedprox,0.01,20,10,1.6781542895441635,0.7577268195413759,0.40277509375870035,0.36540190213767165,0.4864864864864865,0.625,0.5538461538461539,0.0,0.0,0.8924806746310612,0.0,0.006394170455498623
123,fedprox,0.01,20,11,1.664081001923543,0.7577268195413759,0.3961270969467691,0.36279831701751636,0.4473684210526316,0.6434782608695652,0.5627705627705628,0.0,0.0,0.8859709744298548,0.0,0.005605680002458083
123,fedprox,0.01,20,12,1.667913493701254,0.7577268195413759,0.396850144391128,0.3620291006090323,0.4533333333333333,0.6260869565217392,0.5666666666666667,0.0,0.0,0.8881167477414872,0.0,0.003992463300450198
123,fedprox,0.01,20,13,1.609217369425689,0.7557328015952144,0.3957012932422769,0.3580790158212715,0.44155844155844154,0.6271186440677966,0.5485232067510548,0.0,0.0,0.8893528183716075,0.0,0.005092153079561937
123,fedprox,0.01,20,14,1.6504903375686464,0.7557328015952144,0.39280419034517394,0.35981599839574935,0.4594594594594595,0.6140350877192983,0.5583333333333333,0.0,0.0,0.8868841082581541,0.0,0.0035254974230907324
123,fedprox,0.01,20,15,1.6437904771755367,0.7557328015952144,0.3876022884219606,0.3572825909805268,0.43243243243243246,0.625,0.5569620253164557,0.0,0.0,0.8865836791147994,0.0,0.0036586745377765006
123,fedprox,0.01,20,16,1.5748312760920729,0.7587238285144566,0.4000933492736771,0.3639153059539468,0.46153846153846156,0.631578947368421,0.5654008438818565,0.0,0.0,0.8888888888888888,0.0,0.003919167373372933
123,fedprox,0.01,20,17,1.6035750056073768,0.7547357926221336,0.3880209953980446,0.35667905832774915,0.46153846153846156,0.6194690265486725,0.5291479820627802,0.0,0.0,0.8865979381443299,0.0,0.0035091517150811617
123,fedprox,0.01,20,18,1.577832449112433,0.7577268195413759,0.39988044742143103,0.3620865921666452,0.46153846153846156,0.6206896551724138,0.5630252100840336,0.0,0.0,0.8893528183716075,0.0,0.0030087244677242564
123,fedprox,0.01,20,19,1.5426440760716127,0.7547357926221336,0.39960203730695526,0.3575352008853949,0.45,0.5964912280701754,0.5647058823529412,0.0,0.0,0.8915492957746479,0.0,0.004144305622792678
123,fedprox,0.01,20,20,1.6016800392898225,0.7547357926221336,0.3891982334605285,0.35487846696831504,0.43243243243243246,0.5964912280701754,0.5668016194331984,0.0,0.0,0.8884239888423989,0.0,0.0025313728585537355
123,fedprox,0.01,20,21,1.5877108257765309,0.7567298105682951,0.3942360917770754,0.3586321325828687,0.46153846153846156,0.5892857142857143,0.5702479338842975,0.0,0.0,0.8893528183716075,0.0,0.0036780496443739406
123,fedprox,0.01,20,22,1.556284541860297,0.7567298105682951,0.3964076906699857,0.35673342588920887,0.45,0.584070796460177,0.570281124497992,0.0,0.0,0.8927820602662929,0.0,0.00264141657446725
123,fedprox,0.01,20,23,1.604775102045814,0.7547357926221336,0.3881124340140734,0.3539015789164678,0.4266666666666667,0.5964912280701754,0.5655737704918032,0.0,0.0,0.8885793871866295,0.0,0.002251719996722266
123,fedprox,0.01,20,24,1.5862901131153582,0.7537387836490529,0.38730968485066847,0.35243370270848207,0.4358974358974359,0.584070796460177,0.5583333333333333,0.0,0.0,0.8887343532684284,0.0,0.002378868310259961
123,fedprox,0.01,20,25,1.5892537738366475,0.752741774675972,0.3815321290731127,0.34918522224351634,0.42105263157894735,0.5714285714285714,0.5643153526970954,0.0,0.0,0.8875,0.0,0.0021597179708469118
123,fedprox,0.01,20,26,1.632257362305821,0.7507477567298105,0.3787100877264812,0.3522745660528769,0.4473684210526316,0.6140350877192983,0.5238095238095238,0.0,0.0,0.8807089297886844,0.0,0.0025146806338082733
123,fedprox,0.01,20,27,1.546465642193141,0.7567298105682951,0.4016095925931991,0.3603361857818598,0.475,0.584070796460177,0.5714285714285714,0.0,0.0,0.8918539325842697,0.0,0.002581223814173438
123,fedprox,0.01,20,28,1.571953980183435,0.7557328015952144,0.3852011376601541,0.3531875910711073,0.4358974358974359,0.5818181818181818,0.5654008438818565,0.0,0.0,0.889196675900277,0.0,0.002408608478296013
123,fedprox,0.01,20,29,1.5434578053378394,0.7537387836490529,0.3881683889880611,0.35544313879413264,0.46153846153846156,0.584070796460177,0.5565217391304348,0.0,0.0,0.8859709744298548,0.0,0.002727248780737675
123,fedprox,0.01,20,30,1.5693156338879024,0.7557328015952144,0.38931724013691227,0.35524523126131297,0.45569620253164556,0.5765765765765766,0.5654008438818565,0.0,0.0,0.8890429958391124,0.0,0.0028068922077393653
123,fedprox,0.01,20,31,1.581738790629036,0.7557328015952144,0.3937960946157667,0.36004630974333407,0.4691358024691358,0.6,0.5652173913043478,0.0,0.0,0.8859709744298548,0.0,0.0023435489972468814
123,fedprox,0.01,20,32,1.5583769791385351,0.7577268195413759,0.3945729503106552,0.36642579416845206,0.48717948717948717,0.6126126126126126,0.5636363636363636,0.0,0.017543859649122806,0.8840082361015786,0.0,0.002310780631935645
123,fedprox,0.01,20,33,1.5594473862101288,0.7497507477567298,0.37555328293033213,0.35773648699296723,0.4533333333333333,0.5945945945945946,0.5096153846153846,0.0,0.06666666666666667,0.8799454297407913,0.0,0.0025429767691253656
123,fedprox,0.01,20,34,1.4807138691395372,0.7607178464606181,0.4079765973208596,0.37229399229113114,0.4819277108433735,0.5794392523364486,0.5826771653543307,0.0,0.06779661016949153,0.8942172073342737,0.0,0.0026929652996471177
123,fedprox,0.01,20,35,1.5271400323774618,0.7587238285144566,0.4022273915716538,0.36697858268826933,0.46153846153846156,0.584070796460177,0.5793650793650794,0.0,0.05217391304347826,0.8917018284106891,0.0,0.0020808453266169405
123,fedprox,0.01,20,36,1.4925846491354413,0.7587238285144566,0.411772491280688,0.36992313199929533,0.475,0.5892857142857143,0.5777777777777777,0.0,0.05217391304347826,0.895224518888097,0.0,0.0019546318180609866
123,fedprox,0.01,20,37,1.6442900726112981,0.7497507477567298,0.3633406321930912,0.3559721264702453,0.4411764705882353,0.6126126126126126,0.4973544973544973,0.0,0.06666666666666667,0.8739946380697051,0.0,0.003442466464635235
123,fedprox,0.01,20,38,1.4834923835718263,0.7577268195413759,0.4190311903426657,0.3791052880455025,0.4772727272727273,0.5961538461538461,0.5917602996254682,0.0,0.096,0.8925501432664756,0.0,0.0023868336989206554
123,fedprox,0.01,20,39,1.5227856803629714,0.7607178464606181,0.40906239676731476,0.37321025750146586,0.4819277108433735,0.5794392523364486,0.5905511811023622,0.0,0.06837606837606838,0.8921775898520085,0.0,0.0019947683147340904
