seed,algorithm,mu,local_epochs,round,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_f1_class_0,val_f1_class_1,val_f1_class_2,val_f1_class_3,val_f1_class_4,val_f1_class_5,val_f1_class_6,train_loss
42,fednova,0.0,20,1,6.653952494932196,0.6689930209371885,0.14285714285714285,0.11452466291175968,0.0,0.0,0.0,0.0,0.0,0.8016726403823178,0.0,0.5623712460754042
42,fednova,0.0,20,2,1.4672570371199938,0.6689930209371885,0.14285714285714285,0.11452466291175968,0.0,0.0,0.0,0.0,0.0,0.8016726403823178,0.0,0.7606954129858233
42,fednova,0.0,20,3,1.4776455331538039,0.6689930209371885,0.14285714285714285,0.11452466291175968,0.0,0.0,0.0,0.0,0.0,0.8016726403823178,0.0,0.5173368187549778
42,fednova,0.0,20,4,1.259299571706671,0.6689930209371885,0.14285714285714285,0.11452466291175968,0.0,0.0,0.0,0.0,0.0,0.8016726403823178,0.0,0.5196939659279929
42,fednova,0.0,20,5,1.295088531369583,0.6689930209371885,0.14285714285714285,0.11452466291175968,0.0,0.0,0.0,0.0,0.0,0.8016726403823178,0.0,0.4636220148791942
42,fednova,0.0,20,6,1.0221777810294512,0.6699900299102692,0.1456043956043956,0.11990101429793475,0.0,0.03571428571428571,0.0,0.0,0.0,0.8035928143712575,0.0,0.4668214544976708
42,fednova,0.0,20,7,1.1286474276159482,0.6699900299102692,0.15306122448979592,0.13067198935462407,0.0,0.0,0.0,0.0,0.0,0.8035928143712575,0.1111111111111111,0.4190628255050114
42,fednova,0.0,20,8,1.1347156013116046,0.6809571286141576,0.1808928776141891,0.16612567262628014,0.0,0.35,0.0,0.0,0.0,0.8128797083839611,0.0,0.39448774727397024
42,fednova,0.0,20,9,2.0390678216310465,0.6689930209371885,0.14285714285714285,0.11452466291175968,0.0,0.0,0.0,0.0,0.0,0.8016726403823178,0.0,0.3607108017129353
42,fednova,0.0,20,10,1.16711455001194,0.6909272183449651,0.20183095592931657,0.17348026555120288,0.0,0.0,0.36101083032490977,0.0,0.0,0.8533510285335103,0.0,0.486838356591174
42,fednova,0.0,20,11,1.324212373610389,0.6839481555333998,0.1942033376459606,0.17398616098800032,0.0,0.4,0.0,0.0,0.0,0.8179031269160024,0.0,0.37941303561861717
42,fednova,0.0,20,12,1.1462005978804881,0.6899302093718843,0.20452989633317503,0.19432269884902809,0.0,0.43478260869565216,0.09917355371900827,0.0,0.0,0.826302729528536,0.0,0.36817238146156617
