class_id,class_name,fedavg_mean,fedprox_mean,mean_diff,n_pairs,wilcoxon_p
0,actinic_keratoses,0.4141446650769966,0.44415208539860823,0.03000742032161166,10,0.232421875
1,basal_cell_carcinoma,0.4920919865019836,0.47308524061449103,-0.019006745887492515,10,0.322265625
2,benign_keratosis_like_lesions,0.4582228688636028,0.4348640983691049,-0.02335877049449784,10,0.232421875
3,dermatofibroma,0.22351407620708613,0.2316357937450936,0.008121717538007467,10,0.865234375
4,melanoma,0.29945534056010903,0.3766395543854878,0.07718421382537874,10,0.009765625
5,melanocytic_nevi,0.869260997541488,0.8599641831623502,-0.009296814379137897,10,0.431640625
6,vascular_lesions,0.6003224650102115,0.5919575900795554,-0.008364874930656019,10,0.921875
